t_landmark,n_v,n_u,rmst_v,rmst_u,delta_rmst
361,25.0,134088.0,715.1800000000001,717.0377811586422,-1.857781158642183
362,57.0,134049.0,724.1842105263156,716.0714514841584,8.112759042157222
363,93.0,134003.0,724.6989247311828,715.1216950366791,9.577229694503785
364,124.0,133962.0,718.0161290322583,714.1781661963842,3.837962835874123
365,136.0,133938.0,718.0735294117646,713.240771849662,4.832757562102643
366,139.0,133925.0,717.3093525179856,712.2937091655776,5.015643352408006
367,144.0,133911.0,716.6805555555554,711.3410100738549,5.3395454817004975
368,155.0,133896.0,716.4129032258064,710.3609965943713,6.051906631435145
369,192.0,133853.0,717.2604166666666,709.3885456433558,7.8718710233108595
370,242.0,133795.0,716.8161157024792,708.4270376321987,8.389078070280561
371,294.0,133737.0,716.0034013605441,707.4551806904593,8.548220670084788
372,359.0,133663.0,713.4345403899722,706.5029140450235,6.931626344948654
373,446.0,133565.0,712.3038116591929,705.5570471306103,6.7467645285826165
374,470.0,133534.0,710.7382978723404,704.5948522473677,6.143445624972628
375,489.0,133504.0,710.0981595092026,703.6507894894543,6.447370019748291
376,592.0,133381.0,708.6326013513515,702.7534131547961,5.879188196555333
377,725.0,133241.0,707.7448275862068,701.7839141105221,5.96091347568472
378,868.0,133082.0,704.1059907834102,700.8791609684256,3.226829814984626
379,1041.0,132891.0,701.3837656099904,699.9834375540854,1.4003280559049927
380,1215.0,132703.0,700.4419753086419,699.0549460072496,1.3870293013923174
381,1252.0,132658.0,699.097444089457,698.100042967631,0.9974011218259875
382,1263.0,132627.0,698.2185273159141,697.2041175627886,1.0144097531255056
383,1386.0,132494.0,695.909090909091,696.2695178649599,-0.3604269558688884
384,1495.0,132379.0,694.3391304347824,695.3078471660917,-0.9687167313093141
385,1600.0,132264.0,691.194375,694.3871650638114,-3.1927900638113442
386,1731.0,132124.0,688.105141536684,693.4650328479306,-5.359891311246656
387,1814.0,132033.0,686.6957001102533,692.5160831004371,-5.820382990183816
388,1829.0,132008.0,685.8622197922359,691.5669429125503,-5.704723120314384
389,1839.0,131986.0,684.5364328439371,690.6348211173919,-6.098388273454816
390,1889.0,131928.0,684.1736368448916,689.6699032805776,-5.496266435686039
391,1972.0,131841.0,681.9662778904667,688.7123694450133,-6.746091554546638
392,2020.0,131787.0,681.0509900990098,687.7449293177622,-6.693939218752348
393,2061.0,131734.0,680.4677341096558,686.8031829292356,-6.335448819579824
394,2099.0,131685.0,679.8394473558842,685.8564908683595,-6.017043512475311
395,2104.0,131671.0,678.887357414449,684.9028791457501,-6.015521731301192
396,2107.0,131656.0,677.9159943046985,683.9650414717145,-6.049047167015942
397,2125.0,131623.0,676.4992941176471,683.0505762670657,-6.5512821494186255
398,2146.0,131593.0,675.4345293569434,682.0994391798952,-6.664909822951813
399,2182.0,131545.0,674.8684692942255,681.156330533277,-6.2878612390514945
400,2209.0,131507.0,674.2480760525123,680.2082436676378,-5.960167615125556
401,2239.0,131471.0,672.944618133095,679.245845091313,-6.301226958217967
402,2242.0,131460.0,671.9714540588757,678.2868895481513,-6.315435489275615
403,2242.0,131454.0,670.9714540588757,677.3179172942622,-6.346463235386523
404,2249.0,131429.0,669.8312583370387,676.4134513691798,-6.582193032141163
405,2274.0,131395.0,668.688874230431,675.4635450359596,-6.774670805528558
406,2306.0,131351.0,667.4802688638335,674.5305974069477,-7.050328543114119
407,2351.0,131298.0,665.7288387920036,673.58759844019,-7.858759648186492
408,2400.0,131241.0,665.0504166666667,672.6257419556389,-7.575325288972181
409,2409.0,131224.0,664.4136571191366,671.6606451563739,-7.246988037237315
410,2414.0,131207.0,663.7400579950289,670.7164099476397,-6.976351952610798
411,2450.0,131154.0,662.4963265306121,669.8098685514736,-7.313542020861519
412,2503.0,131087.0,660.5721134638429,668.9020345266894,-8.329921062846438
413,2557.0,131026.0,659.0797809933518,667.9508608978365,-8.871079904484645
414,2636.0,130934.0,658.2463960546283,667.0192081506721,-8.772812096043708
415,2708.0,130854.0,657.7378138847857,666.0546716187507,-8.31685773396498
416,2723.0,130832.0,656.8802791039291,665.088353766663,-8.208074662733907
417,2729.0,130811.0,656.1751557347013,664.1588666090777,-7.9837108743763565
418,2799.0,130735.0,655.1611289746342,663.1939610662795,-8.032832091645332
419,2866.0,130658.0,654.6482903000701,662.2381905432501,-7.5899002431799545
420,2981.0,130533.0,654.1756122106675,661.2835796312047,-7.107967420537193
421,3122.0,130389.0,652.823510570147,660.3149690541386,-7.491458483991551
422,3266.0,130230.0,651.6922841396204,659.4026376410968,-7.7103535014764475
423,3277.0,130209.0,650.7604516325911,658.4522536844611,-7.691802051870013
424,3289.0,130187.0,649.8342961386438,657.5017321237908,-7.667435985146994
425,3482.0,129979.0,649.2350660539923,656.578289569853,-7.3432235158607
426,3753.0,129700.0,648.9714894750866,655.6128720123353,-6.64138253724866
427,4029.0,129411.0,648.8926532638368,654.6642634706484,-5.7716102068116015
428,4333.0,129095.0,648.4337641357026,653.7206127270612,-5.286848591358535
429,4555.0,128856.0,647.6340285400656,652.8089378841497,-5.174909344084085
430,4668.0,128730.0,646.9456940874034,651.8681503922935,-4.922456304890147
431,4799.0,128587.0,646.2607834965618,650.9223094091939,-4.661525912632101
432,4983.0,128385.0,645.7499498294202,650.0013319313011,-4.2513821018809494
433,5204.0,128147.0,645.2510568793234,649.0745745120837,-3.823517632760286
434,5463.0,127880.0,644.5296540362436,648.1110494213324,-3.58139538508874
435,5715.0,127621.0,643.7256342957129,647.1449565510385,-3.4193222553255964
436,6003.0,127317.0,643.124687656172,646.2152501237076,-3.0905624675356194
437,6068.0,127240.0,642.2148978246539,645.2735342659544,-3.0586364413004503
438,6121.0,127171.0,641.3429995098838,644.3498871598088,-3.00688764992492
439,6326.0,126951.0,640.2910211824224,643.4335097793629,-3.1424885969405523
440,6598.0,126668.0,639.6367838739018,642.4781752297341,-2.841391355832343
441,6867.0,126386.0,638.9891510120866,641.5311901634666,-2.5420391513799814
442,7138.0,126108.0,638.1197114037545,640.5649284740065,-2.4452170702519425
443,7471.0,125761.0,637.5103734439833,639.6195481906154,-2.1091747466321067
444,7551.0,125670.0,636.6821613031382,638.6665910718548,-1.984429768716609
445,7589.0,125623.0,635.717419949928,637.7108730089242,-1.9934530589962378
446,7827.0,125371.0,634.7205187172608,636.7857000422746,-2.065181325013782
447,8096.0,125096.0,633.715723814229,635.8210534309646,-2.1053296167356166
448,8406.0,124771.0,633.0067213894835,634.8831659600392,-1.876444570555691
449,8698.0,124467.0,632.2003334099791,633.9353081539689,-1.7349747439898238
450,9038.0,124112.0,631.3208121265768,633.0079484659017,-1.6871363393248657
451,9119.0,124020.0,630.3270095405201,632.0647798742139,-1.7377703336937884
