Datum_1,n_real_dose1
2020-12-21/2020-12-27,27
2020-12-28/2021-01-03,137
2021-01-04/2021-01-10,343
2021-01-11/2021-01-17,798
2021-01-18/2021-01-24,588
2021-01-25/2021-01-31,274
2021-02-01/2021-02-07,137
2021-02-08/2021-02-14,175
2021-02-15/2021-02-21,322
2021-02-22/2021-02-28,569
2021-03-01/2021-03-07,1535
2021-03-08/2021-03-14,1348
2021-03-15/2021-03-21,1492
2021-03-22/2021-03-28,1635
2021-03-29/2021-04-04,1832
2021-04-05/2021-04-11,2970
2021-04-12/2021-04-18,8642
2021-04-19/2021-04-25,23524
2021-04-26/2021-05-02,21695
2021-05-03/2021-05-09,11908
2021-05-10/2021-05-16,8683
2021-05-17/2021-05-23,4713
2021-05-24/2021-05-30,3062
2021-05-31/2021-06-06,2445
2021-06-07/2021-06-13,1896
2021-06-14/2021-06-20,1242
2021-06-21/2021-06-27,906
2021-06-28/2021-07-04,850
2021-07-05/2021-07-11,660
2021-07-12/2021-07-18,917
2021-07-19/2021-07-25,816
2021-07-26/2021-08-01,731
2021-08-02/2021-08-08,538
2021-08-09/2021-08-15,368
2021-08-16/2021-08-22,382
2021-08-23/2021-08-29,347
2021-08-30/2021-09-05,269
2021-09-06/2021-09-12,268
2021-09-13/2021-09-19,249
2021-09-20/2021-09-26,214
2021-09-27/2021-10-03,136
2021-10-04/2021-10-10,159
2021-10-11/2021-10-17,128
2021-10-18/2021-10-24,223
2021-10-25/2021-10-31,359
2021-11-01/2021-11-07,622
2021-11-08/2021-11-14,532
2021-11-15/2021-11-21,535
2021-11-22/2021-11-28,619
2021-11-29/2021-12-05,516
2021-12-06/2021-12-12,320
2021-12-13/2021-12-19,263
2021-12-20/2021-12-26,89
2021-12-27/2022-01-02,47
2022-01-03/2022-01-09,129
2022-01-10/2022-01-16,94
2022-01-17/2022-01-23,85
2022-01-24/2022-01-30,38
2022-01-31/2022-02-06,24
2022-02-07/2022-02-13,17
2022-02-14/2022-02-20,10
2022-02-21/2022-02-27,6
2022-02-28/2022-03-06,7
2022-03-07/2022-03-13,12
2022-03-14/2022-03-20,10
2022-03-21/2022-03-27,5
2022-03-28/2022-04-03,8
2022-04-04/2022-04-10,5
2022-04-11/2022-04-17,6
2022-04-18/2022-04-24,1
2022-04-25/2022-05-01,5
2022-05-09/2022-05-15,2
2022-05-16/2022-05-22,3
2022-05-23/2022-05-29,3
2022-05-30/2022-06-05,4
2022-06-06/2022-06-12,3
2022-06-20/2022-06-26,3
2022-06-27/2022-07-03,3
2022-07-04/2022-07-10,1
2022-07-11/2022-07-17,6
2022-07-18/2022-07-24,2
2022-07-25/2022-07-31,3
2022-08-01/2022-08-07,4
2022-08-08/2022-08-14,3
2022-08-15/2022-08-21,4
2022-08-22/2022-08-28,4
2022-08-29/2022-09-04,2
2022-09-05/2022-09-11,3
2022-09-12/2022-09-18,1
2022-09-19/2022-09-25,8
2022-09-26/2022-10-02,5
2022-10-03/2022-10-09,5
2022-10-10/2022-10-16,8
2022-10-17/2022-10-23,4
2022-10-24/2022-10-30,1
2022-10-31/2022-11-06,1
2022-11-07/2022-11-13,3
2022-11-14/2022-11-20,2
2022-11-21/2022-11-27,1
2022-11-28/2022-12-04,1
2022-12-05/2022-12-11,2
2023-01-02/2023-01-08,1
2023-01-16/2023-01-22,2
2023-01-30/2023-02-05,2
2023-02-06/2023-02-12,1
2023-03-06/2023-03-12,1
2023-09-25/2023-10-01,1
2023-10-02/2023-10-08,5
2023-10-09/2023-10-15,5
2023-10-16/2023-10-22,9
2023-10-23/2023-10-29,6
2023-10-30/2023-11-05,2
2023-11-06/2023-11-12,1
2023-11-13/2023-11-19,2
2023-11-20/2023-11-26,3
2023-11-27/2023-12-03,3
2023-12-04/2023-12-10,2
2023-12-11/2023-12-17,2
2023-12-18/2023-12-24,1
2024-01-01/2024-01-07,1
2024-01-08/2024-01-14,2
2024-01-29/2024-02-04,1
2024-02-12/2024-02-18,1
2024-02-26/2024-03-03,1
