t_landmark,n_v,n_u,rmst_v,rmst_u,delta_rmst,delta_rmst_CI_lower,delta_rmst_CI_upper
361,6,87967,682.6666666666667,667.5736924073799,15.092974259286848,-26.868001426449,35.86214499651207
391,1427,86035,596.4936930623687,642.1390015691295,-45.645308506760784,-53.54907628359072,-35.66672612071199
421,2581,84424,578.787872917474,615.7826802804892,-36.994807363015184,-43.330981703714755,-30.646482268536634
451,42716,43723,595.9471275400319,581.4621251972653,14.48500234276662,13.234056316731923,15.809594534244837
481,60171,25838,566.7555466919282,549.2537735118823,17.501773180045916,16.077386782709734,18.94835246517439
511,67482,18199,537.8320811475656,517.889856585527,19.942224562038632,18.308226153131056,21.64765061696694
541,70037,15376,508.6323728886162,489.7136121227891,18.91876076582713,17.142704564836755,20.76894317937232
571,71106,14030,479.79158580147975,461.77287954383473,18.01870625764502,16.23872180487301,19.900719341399146
601,71801,13016,451.1081530897902,434.53199907805805,16.57615401173217,14.835355505662296,18.522303671535724
631,72126,12401,422.29752793722065,406.9872187726793,15.310309164541366,13.697599814914378,17.19596954220532
661,72193,12033,393.48176415996016,379.6212498961191,13.860514263841083,12.48507744997622,15.481304201242258
691,72867,10948,364.8992273594357,353.0300511508949,11.869176208540807,10.440532792719939,13.603038003096012
721,73503,9860,336.2306640545286,327.8509634888436,8.37970056568497,7.201166071196963,9.972742635688169
751,73452,9554,307.3424481293906,301.1021038308563,6.240344298534296,5.21668575257309,7.387916283049077
781,73244,9401,278.4173993774235,273.8596425912136,4.557756786209893,3.6918388826546833,5.357067205583554
811,73039,9295,249.22703624091253,246.3060247444863,2.9210114964262175,2.2266826775690625,3.6831666065215147
841,72770,9216,220.14626906692314,217.9371202256944,2.209148841228739,1.6769119703492699,2.8721076559922936
871,72530,9156,190.84906245691434,189.14717125382276,1.7018912030915772,1.2952133261411198,2.2076674372372502
901,72301,9097,161.422767319954,160.18692975706273,1.2358375628912768,0.9299239473731611,1.5942557728500588
931,72094,9039,131.85176297611454,131.05498395840246,0.7967790177120833,0.5470474231501548,1.037511758454189
961,71821,8977,102.31707996268497,101.74000222791572,0.5770777347692473,0.38447805685069236,0.7731491347238749
991,71560,8906,72.64598937954162,72.36144172468,0.28454765486161193,0.175741095755021,0.40742583613900685
1021,71289,8823,42.879048661083736,42.82755298651251,0.05149567457122828,0.0024620663608937226,0.10325740388726744
1051,71040,8775,12.98298141891892,12.977264957264953,0.0057164616539662205,-0.0025178902396739027,0.015620635079689076
