t_landmark,n_v,n_u,rmst_v,rmst_u,delta_rmst,delta_rmst_CI_lower,delta_rmst_CI_upper
361,27,134086,638.5000000000001,688.2339543278199,-49.73395432781979,-131.38297451838122,14.757556727082521
391,2013,131800,647.3099850968704,659.9246282245828,-12.614643127712384,-17.653119677692366,-7.6939967723072495
421,3165,130346,621.9338072669825,631.4212864222916,-9.487479155309074,-12.878244945424395,-6.478127282464691
451,9218,123921,600.5390540247342,603.098691908555,-2.5596378838207556,-3.9912921619448865,-1.0717103030452957
481,51111,81714,576.6157089471936,572.8865188339817,3.7291901132119847,3.260642795815207,4.388490268845919
511,94905,37732,547.4356040250772,539.2859906710476,8.149613354029611,7.450881419800441,8.81790838199493
541,102594,29861,517.7423046182041,509.33342821740763,8.408876400796487,7.644776235371786,9.162565400475046
571,105840,26449,488.0463529856386,480.18607508790456,7.860277897734022,7.150458443508076,8.65863785228041
601,107905,24203,458.5504888559384,450.7508573317357,7.799631524202709,6.962794932554246,8.55421208143694
631,108937,22994,428.92719645299564,421.97399321562136,6.953203237374282,6.15808812432004,7.676776477560579
661,109497,22225,399.4076778359226,393.2591226096739,6.148555226248675,5.457140791313283,6.835899880937255
691,111503,19960,369.92352223706973,364.66886272545094,5.254659511618797,4.585604814461085,5.842672213953413
721,113009,18157,340.46683892433356,336.5943988544361,3.8724400698974364,3.211702468181096,4.3583857854389905
751,113215,17729,310.9013381619041,307.8231146708783,3.078223491025824,2.5438688783607746,3.51471651672384
781,113153,17558,281.2984233736621,279.17362455860587,2.124798815056238,1.7058178575854241,2.516722337402705
811,113054,17454,251.61802324552878,250.19284977655548,1.4251734689732984,1.0394149626599536,1.8235717945485435
841,112921,17378,221.9476492415052,220.91282080791802,1.0348284335871654,0.771516734319657,1.3835129343506387
871,112793,17301,192.2006418838048,191.72232818912204,0.478313694682754,0.2852655336669308,0.6969980432623991
901,112675,17253,162.402720213002,162.11079232597228,0.29192788702971484,0.15629378663023133,0.453445767814916
931,112550,17210,132.58665926254992,132.3601394538059,0.22651980874400124,0.11378157518098533,0.3497069599353047
961,112400,17165,102.7622286476868,102.56632682784738,0.19590181983942045,0.11168983216174304,0.2918795029848589
991,112263,17113,72.87676705593114,72.78373166598492,0.09303538994622329,0.05207651316189619,0.1405035287224358
1021,112135,17043,42.95906719579079,42.92703749339906,0.03202970239172487,0.012002980467159396,0.0521995603061729
1051,112001,16995,12.9952634351479,12.989349808767283,0.005913626380616321,0.0016147123345420678,0.010853855579408789
