t_landmark,n_v,n_u,rmst_v_unres,rmst_u_unres,delta_rmst_unres,rmst_v_fixed,rmst_u_fixed,delta_rmst_fixed,effective_horizon_days,delta_rmst_unres_CI_lower,delta_rmst_unres_CI_upper,delta_rmst_fixed_CI_lower,delta_rmst_fixed_CI_upper
361,27,134086,639.4444444444446,689.2137285026032,-49.76928405815863,338.1111111111111,360.66756410065193,-22.556452989540844,704,-131.50513821710794,14.777860039114103,-60.46653868212493,4.304173513951071
368,161,133890,663.6024844720496,682.5439166479941,-18.941432175944556,349.8136645962733,360.6873702292926,-10.873705633019256,697,-40.21236090303157,2.103727679932959,-21.472343336910228,-0.4142274569592016
375,499,133494,671.3246492985971,675.8319549942312,-4.507305695634045,357.6012024048096,360.68606828771306,-3.0848658829034434,690,-12.341439155420138,3.529594275326218,-6.884479480521607,0.6475223040461219
382,1294,132596,661.5401854714066,669.4088056954961,-7.8686202240894545,356.8191653786709,360.8368201152374,-4.017654736566499,683,-14.04269342640965,-3.1020322002279657,-6.5409883768045285,-1.5702392263056686
389,1880,131945,650.2941489361701,662.8324529159875,-12.538303979817329,355.8478723404255,360.89172761377836,-5.043855273352847,676,-17.198040702748496,-8.139802409600053,-7.567105739103672,-3.141238362217741
396,2150,131613,644.2837209302329,656.1526368975708,-11.868915967337898,356.1386046511629,360.91283535820946,-4.77423070704657,669,-16.34992649944464,-7.208714109824461,-6.831090064274555,-2.6289236899913146
403,2283,131413,638.3031099430575,649.4802112424195,-11.177101299361993,356.5295663600526,360.9411549846668,-4.411588624614183,662,-15.452934142009479,-7.0566117901603045,-6.462593747156804,-2.505061850098468
410,2450,131171,633.0559183673469,642.8315252609195,-9.775606893572672,357.3824489795918,360.9841352128142,-3.601686233222381,655,-13.348111824208903,-6.45483779837154,-5.187899673440784,-1.9468977769527682
417,2766,130774,626.1583514099786,636.2494303148937,-10.091078904915094,357.27801879971094,361.06659580650575,-3.78857700679481,648,-13.499082202109571,-6.527025346330273,-5.43474462009077,-2.191131730366979
424,3333,130143,620.0645064506448,629.5814680774229,-9.516961626778084,357.4197419741974,361.10503062016414,-3.68528864596675,641,-12.739974028809707,-6.424274668127006,-5.086027954513791,-2.1985331254072293
431,4862,128524,616.6279308926365,622.9986150446604,-6.370684152023841,358.55265322912373,361.2070741651363,-2.6544209360125706,634,-8.686895267767635,-3.797838979792817,-3.6791929955436586,-1.5549748187517791
438,6201,127091,611.78890501532,616.4189281695792,-4.63002315425922,359.4536365102403,361.3072444154189,-1.8536079051785919,627,-6.760931698419375,-2.6036238139623404,-2.7580445518495296,-0.9440479843453642
445,7680,125532,606.35625,609.7686486314253,-3.412398631425276,360.1714843750001,361.3643055157254,-1.1928211407253002,620,-4.994448826863831,-1.7278856463623349,-1.9426447014135164,-0.4121888546463592
452,9305,123824,600.4088124664163,603.1410711978298,-2.7322587314134807,360.57678667383135,361.4403185166045,-0.8635318427731704,613,-4.204910535156446,-1.2371405993916622,-1.5216646797302602,-0.24310998801758066
459,11129,121881,594.387546050858,596.679121438124,-2.2915753872659934,360.8689010692783,361.6290808247389,-0.7601797554605696,606,-3.639119725321234,-1.0066663261364595,-1.3348933256799314,-0.19738954612635512
466,14092,118839,588.1357507805849,590.0422504396695,-1.9064996590846022,361.1354669315925,361.70451619417827,-0.5690492625857928,599,-2.8779780295811888,-0.8612239183899045,-1.0117530526889253,-0.03904096134865377
473,22727,110147,582.8021296255556,583.1518516164764,-0.34972199092078426,361.680468165618,361.66099848384437,0.01946968177361441,592,-1.1563741224452968,0.4678404524485336,-0.320686713643974,0.4222269254756014
480,46249,86582,578.3033795325307,575.1990252015428,3.104354330987917,362.5529200631365,361.16249335889665,1.3904267042398715,585,2.6263016315351053,3.742662992739619,1.141385869192412,1.6916470889369477
487,67933,64845,572.1718899503923,566.7184979566659,5.453391993726314,362.8234731279349,360.4327858740072,2.3906872539276947,578,4.9247237249936635,6.06998173758465,2.120363593074636,2.7031020829534427
494,79831,52904,565.3772719870731,558.6405753818237,6.736696605249335,362.840425398655,359.82466354150915,3.015761857145833,571,6.12608824942175,7.450369440603163,2.7166883365593777,3.3818252615054547
501,88506,44186,558.4505570243832,550.7120128547507,7.738544169632519,362.7840598377514,359.29022767392405,3.493832163827335,564,7.008531837705192,8.42914086019928,3.172350472979299,3.8681258521759885
508,93207,39442,551.4510820002791,543.3850971046087,8.065984895670454,362.7181434870773,358.9657978804318,3.7523456066455196,557,7.373292930646315,8.7320461586741,3.3998054193996183,4.121204508186844
515,96257,36362,544.4756225521256,536.0895715307188,8.386051021406843,362.6450128302355,358.64600407018304,3.9990087600524475,550,7.6435249715452525,9.07102257624445,3.6235209584917185,4.384286894143917
522,98682,33892,537.5620680569909,528.945267319721,8.616800737269955,362.6209339089194,358.37628348872863,4.244650420190794,543,7.929771430306431,9.399051804342227,3.853454422706119,4.694143349259704
529,100562,31967,530.6068296175495,522.0380705102139,8.568759107335609,362.5613352956386,358.2578909500423,4.303444345596347,536,7.836606054621302,9.325102435158085,3.932029611577937,4.76195908792706
536,101782,30702,523.6975103652902,515.1578073089696,8.539703056320604,362.5307716492109,358.130284672008,4.400486977202945,529,7.739213491894185,9.355036956082781,3.9937091938830704,4.851611021663371
543,102672,29774,516.7586586411095,508.34583865117213,8.412819989937361,362.4820301542776,358.02280513199435,4.459225022283249,522,7.643068588269136,9.201133556350502,4.038781498721818,4.9283387914744905
550,103506,28901,509.81691882596135,501.576070032179,8.240848793782334,362.42825536683824,357.94913670807256,4.479118658765685,515,7.489397512363595,9.054019612203469,4.059190494041664,4.9592864693679415
557,104146,28228,502.8801202158504,494.7384157574037,8.141704458446725,362.3763274633686,357.82109961740093,4.555227845967693,508,7.413935766580802,8.907461535805414,4.107322207274097,5.012107279976408
564,105048,27294,495.9199032823087,487.8920275518427,8.027875730466008,362.31006777853923,357.68579174910235,4.624276029436885,501,7.355048326945732,8.8296799720809,4.213189435906559,5.1239864364130225
571,105840,26449,489.0355536659107,481.16117811637446,7.874375549536239,362.2946900982616,357.64656508752677,4.648125010734816,494,7.163257318739073,8.673826985519945,4.234420878585314,5.147110938431209
578,106549,25700,482.1389032276233,474.2604669260694,7.878436301553904,362.2689842232214,357.48151750972715,4.787466713494268,487,7.199391233106844,8.670246555850124,4.334718921763508,5.298924540207945
585,107065,25145,475.227366553029,467.45341022072006,7.7739563323089556,362.2337084948399,357.3712069994036,4.862501495436277,480,6.98295499862284,8.533886257998907,4.379457713376614,5.403117703500743
592,107403,24765,468.3620103721494,460.55053502927524,7.811475342874189,362.2318557209759,357.1891378962245,5.042717824751378,473,7.015964851848231,8.566749174892598,4.549985568001793,5.597297596468296
599,107756,24370,461.48924421841923,453.6643003693066,7.824943849112628,362.2255930064218,357.01945014361934,5.206142862802437,466,7.017520039575923,8.595350672981102,4.675866942881536,5.774177936401533
606,108070,24009,454.62098639770466,446.8515973176724,7.769389080032283,362.2270472841674,356.8938731309091,5.3331741532582555,459,6.979963941278183,8.580904153799237,4.7669856659885905,5.92098365725563
613,108320,23720,447.69884601181707,440.14346543001625,7.555380581800819,362.1850904726738,356.8574620573351,5.3276284153386655,452,6.798953844928102,8.336731443306565,4.776831287006116,5.908261674682402
