t_landmark,n_v,n_u,events_v,events_u,rmst_v,rmst_u,delta_rmst,horizon_len
365,1,95894,0,72,690.0,689.7807266356601,0.21927336433986966,691
395,57,95837,0,71,660.0,659.7875507371893,0.2124492628106509,661
425,129,95761,0,67,630.0,629.814365973622,0.18563402637801119,631
455,409,95479,2,63,597.8459657701712,599.8360424805454,-1.9900767103741828,601
485,980,94908,5,60,568.0841836734694,569.8455556960425,-1.7613720225731413,571
515,2082,93804,6,57,538.9654178674351,539.8586360922775,-0.8932182248423715,541
545,23667,72214,12,46,509.860438585372,509.8688758412496,-0.008437255877595362,511
575,41425,54454,21,35,479.87235968617983,479.8806974694238,-0.008337783243973718,481
605,49097,46778,21,31,449.90371102104007,449.888868698961,0.014842322079061887,451
635,52265,43608,21,29,419.9153544437004,419.8939300128417,0.02142443085870127,421
665,54922,40949,19,29,389.93460726120685,389.8870424186182,0.04756484258865612,391
695,64138,31732,22,25,359.9419376968412,359.86986322954743,0.07207446729375988,361
725,67151,28715,22,21,329.9528972018287,329.88488594811076,0.06801125371794114,331
755,68502,27361,23,17,299.95789174038714,299.90374986294364,0.05414187744349874,301
785,68869,26991,22,15,269.9621310023378,269.92340039272347,0.03873060961433339,271
815,68985,26872,21,13,239.96578241646736,239.9416306936588,0.024151722808568366,241
845,69075,26777,18,11,209.9757220412595,209.95781827687944,0.017903764380065468,211
875,69148,26701,16,10,179.98161913576683,179.96513239204523,0.016486743721600305,181
905,69185,26662,14,10,149.98651441786515,149.9650813892431,0.021433028622055872,151
935,69214,26627,11,7,119.9921764382928,119.9804146167424,0.011761821550408058,121
965,69255,26582,9,5,89.99548769041947,89.98835678278535,0.007130907634120831,91
995,69281,26552,7,3,59.99765447958314,59.99448252485689,0.003171954726248316,61
1025,69298,26530,5,0,29.99902594591475,30.0,-0.000974054085251197,31
1055,69307,26518,2,0,0.0,0.0,0.0,1
