t_landmark,n_v,n_u,rmst_v,rmst_u,delta_rmst,delta_rmst_CI_lower,delta_rmst_CI_upper
361,34,134079,505.82352941176475,688.2701951834372,-182.44666577167243,-297.4239387671426,-91.80024783804274
391,2040,131773,633.1338235294118,660.1466764815244,-27.012852952112667,-32.90065693321719,-21.440420133978552
421,3197,130314,610.9097591492022,631.6940697085496,-20.784310559347432,-25.437937593549627,-16.17962415449916
451,9178,123961,598.0169426890388,603.2846016085704,-5.267658919531527,-6.850487328295046,-3.6591122145684407
481,50786,82039,576.2409423856968,573.1332902643865,3.107652121310366,2.5505643631341512,3.776806617046779
511,94250,38387,547.2207798408484,539.9524969390677,7.268282901780708,6.480633172581458,7.935444407125459
541,101910,30545,517.3992198999117,510.6663938451469,6.732826054764814,6.008527969717116,7.467530921607734
571,105123,27166,487.74604035273,481.5556394021938,6.19040095053623,5.4584790182139855,6.89212085982691
601,107155,24953,458.28149409733487,452.14042399711457,6.141070100220304,5.346389040897177,6.859004022465197
631,108165,23766,428.7050940692463,423.21070015989204,5.494393909354244,4.8041556818414985,6.143029023367918
661,108707,23015,399.24497502460713,394.23867043232667,5.006304592280458,4.4095347512063965,5.638348013427932
691,110688,20775,369.80983936831456,365.4806979542722,4.32914141404234,3.7441207540654515,4.878631518386892
721,112210,18956,340.299915337314,337.745726946613,2.5541883907010288,1.9877728921214726,3.004038692899705
751,112414,18530,310.76049691319577,308.8106044252563,1.9498924879394508,1.5077130205566263,2.399401864340581
781,112343,18368,281.18477786777987,279.96240744773525,1.2223704200446264,0.8980673104574407,1.614474063111119
811,112227,18281,251.54711878603194,250.69260434330732,0.8545144427246214,0.5500387670696917,1.1701223640249667
841,112090,18209,221.888718886609,221.3228074029325,0.5659114836765013,0.32092844203390813,0.8372598645924711
871,111950,18144,192.1667976775346,191.9533730158731,0.21342466166149165,0.052625046291330344,0.4062277229826144
901,111827,18101,162.37806611998877,162.27678028838187,0.10128583160690141,-0.015764013713445022,0.24115914704065702
931,111700,18060,132.56581915846016,132.49969545957916,0.06612369888100034,-0.02886874632887597,0.1626588490714525
961,111546,18019,102.7467726319187,102.67129141461791,0.0754812173007906,-0.0011443975427141582,0.16004517686469094
991,111401,17975,72.86853349610864,72.83922114047289,0.02931235563575285,-0.004384858509121157,0.06948689794164054
1021,111264,17914,42.95662568306011,42.94375907111756,0.0128666119425489,-0.005168184858051816,0.031580053969987885
1051,111124,17872,12.994992080918614,12.991327215756492,0.003664865162122055,-0.00022885850249729778,0.007930252496866564
