t_landmark,n_v,n_u,rmst_v,rmst_u,delta_rmst,delta_rmst_CI_lower,delta_rmst_CI_upper
579,1,120390,449.0,448.9607857795498,0.03921422045021927,0.013002871797584702,0.049511085938661374
609,1,120387,419.0,418.9717951273809,0.02820487261908511,0.0052991419481145385,0.04175914288127842
639,1,120386,389.0,388.9751964514147,0.024803548585282442,0.0035959788985906018,0.03930843765463122
669,1,120384,359.0,358.98119351408826,0.018806485911738946,0.0030554198198728955,0.030614843035914406
699,4,120380,329.0,328.98398820402065,0.016011795979352428,0.00233442731785658,0.024669313238632636
729,4282,116102,299.0,298.9833982188076,0.016601781192377985,0.0024207553877261035,0.025580835666653454
759,12639,107743,269.0,268.9873170414784,0.012682958521622822,0.001037955924113021,0.020031266091950783
789,14271,106109,239.0,238.99205062718517,0.007949372814834987,0.0009925991387511601,0.013865489040726684
819,14834,105544,209.0,208.99620537406201,0.0037946259379850744,4.73758516648104e-06,0.007361541007571758
849,15403,104974,179.0,178.99807571398634,0.0019242860136614581,4.759266764153835e-06,0.004399872630744992
879,15947,104430,149.0,148.99806568993586,0.001934310064143574,4.7841808218151986e-06,0.004421999787157913
909,16207,104170,119.0,118.9980608620524,0.001939137947601921,4.796259701400629e-06,0.004434425792420879
939,16438,103939,89.0,88.99805655240095,0.0019434475990465216,4.80800094617706e-06,0.004541265594986752
969,16608,103767,59.0,58.99974943864621,0.00025056135378775934,4.814075588144285e-06,0.0007518053231221344
999,16755,103620,29.0,28.999749083188576,0.0002509168114244176,4.821507787156065e-06,0.0007536990558122625
