t_landmark,n_v,n_u,rmst_v,rmst_u,delta_rmst
361,30,133882,703.0,690.0807912938258,12.919208706174231
391,1937,131751,663.8505420753743,661.1760176393346,2.6745244360396327
421,3082,130387,633.2008436080467,632.2535030332785,0.9473405747681909
451,8864,124389,603.8537906137183,603.238256598252,0.6155340154663236
481,49300,83739,574.1767951318458,574.25600377363,-0.07920864178424836
511,91580,41274,545.0576053723526,544.8978049135051,0.15980045884748506
541,98964,33715,515.7726799644313,515.525300311434,0.24737965299732423
571,101992,30468,486.5536659738018,486.4945024287781,0.05916354502369359
601,103896,28365,457.24329136829107,457.2814912744582,-0.03819990616710811
631,104820,27245,427.9132226674301,427.8993760322995,0.013846635130619234
661,105300,26554,398.561994301994,398.61327860209377,-0.05128430009978047
691,107237,24384,369.2409243078414,369.2916871719162,-0.05076286407478392
721,108668,22757,339.7994671844518,339.69319330315955,0.10627388129228166
751,108894,22329,310.3038092089555,310.1882753370056,0.11553387194987863
781,108783,22216,280.8206015645827,280.6502970831832,0.17030448139951204
811,108655,22134,251.23089595508702,251.1670732809253,0.06382267416171317
841,108483,22060,221.64405482886724,221.77468268359019,-0.13062785472294536
871,108319,22015,191.9808805472724,192.10592777651607,-0.12504722924367684
901,108121,21985,162.3103606144966,162.32403911758016,-0.013678503083554006
931,107980,21941,132.5166466012225,132.56850189143614,-0.05185529021363777
961,107816,21898,102.70954218297841,102.73652845008677,-0.026986267108355833
991,107664,21857,72.84446983207016,72.84483231916549,-0.00036248709533026613
1021,107498,21784,42.95102699585108,42.96049853103195,-0.009471535180871626
1051,107347,21749,12.992160936029881,12.995540024828728,-0.003379088798846297
