t_landmark,n_v,n_u,events_v,events_u,rmst_v,rmst_u,delta_rmst,horizon_len
361,6,87777,0,8460,703.0,670.6377012201369,32.36229877986307,704
391,1366,86059,113,7989,646.8136896046852,643.271034987624,3.5426546170612028,674
421,2488,84582,215,7532,615.3756028938909,615.909903998487,-0.5343011045961248,644
451,40370,46361,3454,3954,588.1885558583117,588.2939647548592,-0.10540889654748753,614
481,56770,29663,4641,2469,560.3606834595732,559.9708390924718,0.389844367101432,584
511,63533,22547,4967,1790,532.5313380447953,532.2809686432781,0.25036940151721865,554
541,65813,19943,4908,1525,504.53191618677175,504.0620769192204,0.4698392675513787,524
571,66667,18702,4697,1349,476.6863065684669,476.4864720350766,0.19983453339028756,494
601,67260,17790,4493,1234,448.4512934879571,448.0966835300732,0.3546099578838948,464
631,67479,17230,4245,1141,420.2275745046609,419.73055716773047,0.49701733693041206,434
661,67450,16886,3973,1040,391.9931282431434,391.64603813810226,0.3470901050411612,404
691,68042,15943,3740,922,363.57414538079416,363.1899266135607,0.38421876723344894,374
721,68594,15038,3504,805,335.027502405458,334.7385623088178,0.2889400966402036,344
751,68517,14786,3250,730,306.2735890362975,306.1105775733803,0.16301146291721125,314
781,68307,14662,2987,659,277.41699972184387,277.446187423271,-0.02918770142713356,284
811,68036,14592,2701,604,248.53324710447416,248.4099163925438,0.12333071193035039,254
841,67775,14506,2428,530,219.47698266322385,219.59813180752803,-0.12114914430418366,224
871,67497,14446,2145,475,190.33920026075236,190.37699017028945,-0.03778990953708217,194
901,67235,14386,1877,421,161.04224734141445,161.03972612261921,0.0025212187952377008,164
931,66941,14323,1580,361,131.69350622189688,131.657578719542,0.035927502354894614,134
961,66655,14250,1286,296,102.21224214237496,102.19354385964911,0.01869828272585039,104
991,66359,14180,982,234,72.61080637140401,72.57644569816644,0.03436067323757186,74
1021,66087,14112,701,175,42.85908726375838,42.82553854875285,0.03354871500553003,44
1051,65811,14030,422,96,12.982882800747594,12.984354953670705,-0.0014721529231103148,14
