t_landmark,n_v,n_u,rmst_v_unres,rmst_u_unres,delta_rmst_unres,rmst_v_fixed,rmst_u_fixed,delta_rmst_fixed,effective_horizon_days,delta_rmst_unres_CI_lower,delta_rmst_unres_CI_upper,delta_rmst_fixed_CI_lower,delta_rmst_fixed_CI_upper
361,25,134088,687.3600000000001,689.2040525624964,-1.8440525624962447,361.91999999999996,360.66278861643104,1.2572113835689152,704,-39.92512066564525,15.096104922437624,-5.857753116281647,4.493298694190974
368,155,133896,688.174193548387,682.5146232897171,5.659570258669987,362.2387096774193,360.6724995518909,1.5662101255284142,697,-4.286032467824944,13.66916824114448,-3.377793301656919,4.412948035727186
375,489,133504,681.8220858895706,675.7931672459259,6.028918643644715,363.0122699386504,360.66601749760343,2.3462524410469427,690,1.7010765162178758,10.456174111948693,0.582101994549089,3.8757568960006314
382,1263,132627,670.2842438638161,669.3236972863742,0.9605465774418462,361.3570863024544,360.7926666515866,0.5644196508677624,683,-3.482480194530157,5.174191793720692,-1.287478998017825,2.090418655878853
389,1839,131986,657.1207177814031,662.7334414256063,-5.612723644203243,359.49211528004355,360.83938448017227,-1.3472692001287214,676,-10.076389707822695,-2.0814195867728427,-3.399611149356416,0.125088840883953
396,2107,131656,650.4926435690554,656.0493938749472,-5.556750305891796,359.4969150450878,360.85753023029724,-1.36061518520944,669,-9.144443051431718,-1.8458714474347557,-2.98128180040235,0.19027224206977153
403,2242,131454,643.5847457627115,649.3866447578617,-5.801898995150282,359.4402319357715,360.89013647359513,-1.4499045378236133,662,-9.098693445468587,-2.404444043158108,-2.95816185753243,-0.053294551244100236
410,2414,131207,636.3947804473901,642.7674133239839,-6.372632876593798,359.2531068765534,360.94872986959524,-1.6956229930418658,655,-9.347369102066008,-2.9701186241727924,-3.1152900764347775,-0.3705011563203777
417,2729,130811,628.8607548552584,636.190198072028,-7.329443216769619,358.7266397947966,361.0353028415042,-2.3086630467075793,648,-10.588542327929241,-3.8225459111538145,-3.6544547438902186,-0.8489234063656348
424,3289,130187,622.466099118273,629.517578560071,-7.051479441798051,358.74460322286404,361.0703142402851,-2.3257110174210425,641,-10.474841496130342,-4.365481941545939,-3.713671180897954,-1.0239507931603042
431,4799,128587,618.6507605751196,622.9199996889267,-4.269239113807089,359.64888518441336,361.1648611445948,-1.5159759601814358,634,-6.836658816944487,-2.107466642368797,-2.655248501049351,-0.5044615621637275
438,6121,127171,613.6193432445677,616.3279128103109,-2.708569565743119,360.46413984643016,361.2574407687288,-0.7933009222986698,627,-4.700097628644807,-0.8466518935699682,-1.664289591929635,0.12855376652111092
445,7589,125623,607.9430755040194,609.6703151492966,-1.7272396452772227,361.0538937936489,361.3101342906955,-0.25624049704657637,620,-3.3061958870452712,-0.11008600318020502,-0.9781327181435998,0.4886822529686954
452,9205,123924,601.3760999456815,603.0670168813142,-1.6909169356326856,361.1178707224333,361.3994302959878,-0.28155957355454575,613,-3.0586897316203734,-0.1574432957183829,-0.8463360519921792,0.4552642930272911
459,11018,121992,595.0068978035943,596.6210981047934,-1.614200301199162,361.2111090942096,361.5974818020852,-0.38637270787563693,606,-2.888019387662882,-0.4162071271261595,-0.925920595790464,0.24027362519720877
466,13963,118968,588.4688104275588,590.0010927308178,-1.5322823032590804,361.3133280813579,361.6830240064553,-0.36969592509740323,599,-2.4919136588187003,-0.502291122822228,-0.833691665643245,0.12101799386732527
473,22533,110341,583.0045266941818,583.1099047498224,-0.10537805564058544,361.7793458483113,361.6408406666611,0.13850518165020276,592,-0.9166420120633291,0.6830206301902002,-0.2166898746159191,0.5074603441369335
480,45877,86954,578.5006430237371,575.1082296386601,3.3924133850770204,362.6439174313925,361.12043149251355,1.5234859388789346,585,2.8545333963227533,4.0334786205608655,1.2736112548981993,1.8377489402405558
487,67393,65385,572.3610167228046,566.5686013611685,5.792415361636131,362.9084177881974,360.3649766766078,2.5434411115896296,578,5.242137000973392,6.410022930240217,2.2664765078769307,2.867693082899976
494,79188,53547,565.5984745163407,558.3943451547237,7.204129361616992,362.9467469818659,359.70364352811544,3.24310345375045,571,6.623151899526116,7.918952912560787,2.935388385824207,3.6117540831430945
501,87782,44910,558.6771319860565,550.3938989089286,8.283233077127875,362.89961495523005,359.12068581607645,3.778929139153604,564,7.563392729686686,9.043395330375992,3.453160432767304,4.162746144031294
508,92447,40202,551.6620874663319,543.052360579076,8.609726887255874,362.82886410592016,358.78212526739975,4.046738838520412,557,7.892863245605,9.39466011267955,3.6945071813230754,4.4298716091475425
515,95474,37145,544.6767706391272,535.7493336922864,8.927436946840771,362.75329409053785,358.4519854623769,4.301308628160939,550,8.151874759856526,9.709109554831247,3.916325900556731,4.722474950132494
522,97881,34693,537.7468047935761,528.6230075231315,9.123797270444584,362.7225508525661,358.1875882742916,4.534962578274474,543,8.391233338753597,9.935849055599462,4.129467740971481,4.977774386852163
529,99743,32786,530.782089971226,521.7189349112425,9.063155059983501,362.660367143559,358.0641127310438,4.596254412515179,536,8.334630612506809,9.855054666579983,4.2111397928212995,5.057066659761828
536,100947,31537,523.861996889457,514.8574055870887,9.00459130236834,362.6248427392593,357.94568284871775,4.679159890541541,529,8.252073931483935,9.853507938988216,4.305711208464777,5.141229079298233
543,101826,30620,516.9112898473866,508.0707054212932,8.840584426093358,362.571091862589,357.849836708034,4.721255154555024,522,8.153838475267708,9.628726020639501,4.3433593437572,5.183329380667428
550,102655,29752,509.9634601334567,501.30616429147614,8.657295841980556,362.5160196775609,357.7744353320785,4.7415843454824085,515,7.975081364644663,9.473745493511347,4.360471398984991,5.201911992902801
557,103291,29083,503.0260816528061,494.459374892549,8.566706760257091,362.4665846976019,357.6344599938109,4.83212470379101,508,7.865354872853457,9.38057179374253,4.441593432406468,5.270236513987416
564,104184,28158,496.05966367196487,487.62124440656305,8.43841926540182,362.39880403900787,357.4993607500533,4.899443288954558,501,7.776934264875488,9.302296543219166,4.4995555477585025,5.390864707352589
571,104968,27321,489.1748437619079,480.87734709564074,8.297496666267136,362.3859271396994,357.4443834413089,4.94154369839049,494,7.559154427965107,9.083394438700857,4.49372388516962,5.4250219934618915
