t_landmark,n_v,n_u,rmst_v_unres,rmst_u_unres,delta_rmst_unres,rmst_v_fixed,rmst_u_fixed,delta_rmst_fixed,effective_horizon_days,delta_rmst_unres_CI_lower,delta_rmst_unres_CI_upper,delta_rmst_fixed_CI_lower,delta_rmst_fixed_CI_upper
361,25,134088,687.3600000000001,648.8749996687859,38.48500033121422,361.91999999999996,355.79800884537457,6.121991154625391,704,0.30450711345693504,56.089795616222226,-0.959037614899535,9.439408893255386
368,155,133896,688.174193548387,642.1955086471241,45.97868490126291,362.2387096774193,355.429604483922,6.809105193497317,697,36.06396779030904,54.19313340674402,1.625660918856518,9.77355640076596
375,489,133504,681.8220858895706,635.5870830257561,46.23500286381454,363.0122699386504,355.04926147308606,7.9630084655643145,690,41.80644276122025,51.01780855901548,6.176490442030579,9.58367629356746
382,1263,132627,670.2842438638161,629.4675559303889,40.81668793342715,361.3570863024544,354.8292958031828,6.527790499271589,683,35.78775645494728,45.088958124722424,4.599311439706438,8.109894793319313
389,1839,131986,657.1207177814031,623.4184048639992,33.7023129174039,359.49211528004355,354.5451720655716,4.946943214471958,676,28.949237827456514,38.00424533115878,2.826328609726565,6.52414859317903
396,2107,131656,650.4926435690554,616.8910799281023,33.601563640953145,359.4969150450878,354.1650587609679,5.331856284119908,669,29.335145048118996,37.66158168133681,3.56548162534272,6.961124288082044
403,2242,131454,643.5847457627115,610.3192071470692,33.2655386156423,359.4402319357715,353.76881114550594,5.671420790265586,662,29.573475391247875,37.078511256399075,4.112512982858777,7.134210525587148
410,2414,131207,636.3947804473901,603.8234684167538,32.57131203063625,359.2531068765534,353.3911345813349,5.861972295218493,655,28.771053201608037,36.155926691696386,4.4240919117654505,7.269061190737105
417,2729,130811,628.8607548552584,597.4329810283671,31.427773826891325,358.7266397947966,353.0491247564588,5.677515038337788,648,27.628656654322434,35.18888028095522,4.281932385872423,7.425519364978911
424,3289,130187,622.466099118273,591.062216995522,31.40388212275093,358.74460322286404,352.6700547452414,6.07454847762267,641,27.53993594160538,34.715319570505024,4.646763828755678,7.489572942419123
431,4799,128587,618.6507605751196,584.9274604544194,33.72330012070029,359.64888518441336,352.38263939335746,7.266245791055894,634,30.596097659693783,36.37697154693677,6.129792044011493,8.425338809807744
438,6121,127171,613.6193432445677,578.8454922062322,34.77385103833558,360.46413984643016,352.092380398573,8.37175944785713,627,32.242555230582624,37.39184103079277,7.361726337599191,9.478234192652172
445,7589,125623,607.9430755040194,572.7935144195532,35.1495610844662,361.0538937936489,351.76863400389004,9.285259789758868,620,32.86754767098719,37.33333585229374,8.467032194583636,10.294100345264567
452,9205,123924,601.3760999456815,566.9252389400438,34.45086100563776,361.1178707224333,351.55647245070924,9.561398271724045,613,32.26340014952783,36.62134032301668,8.8017811354594,10.549566558833245
459,11018,121992,595.0068978035943,561.1315607197894,33.87533708380488,361.2111090942096,351.4291556928483,9.78195340136125,606,31.903220891397652,35.85823434088173,8.949292026755511,10.665711768983456
466,13963,118968,588.4688104275588,555.7216185822925,32.74719184526623,361.3133280813579,351.3412489607172,9.972079120640672,599,31.031411665517545,34.49039758415884,9.300529380590387,10.757035398882907
473,22533,110341,583.0045266941818,551.5501492484564,31.454377445725413,361.7793458483113,351.651235147587,10.128110700724335,592,29.945013432431864,32.962234549375864,9.497958671930572,10.778501016119256
480,45877,86954,578.5006430237371,549.1632939682398,29.33734905549727,362.6439174313925,352.52538637689867,10.118531054493815,585,28.132497329376335,30.837558753103494,9.587935491115417,10.813842235851427
487,67393,65385,572.3610167228046,546.3847175047441,25.97629921806049,362.9084177881974,353.4260693224789,9.48234846571853,578,24.680668676276614,27.38933971258144,8.937836878663038,10.062857274537016
494,79188,53547,565.5984745163407,542.120902185906,23.477572330434782,362.9467469818659,353.89953296297165,9.047214018894238,571,22.190967435991222,24.7554479739037,8.451133891127094,9.70854420631345
501,87782,44910,558.6771319860565,537.4893334672913,21.187798518765135,362.89961495523005,354.40342231763464,8.496192637595414,564,20.003130112588394,22.455956444389013,7.894037636631966,9.125354049137975
508,92447,40202,551.6620874663319,532.3598215321646,19.30226593416728,362.82886410592016,354.7321158808636,8.096748225056558,557,18.0911629908353,20.457086533860032,7.552118632916799,8.6791540236523
515,95474,37145,544.6767706391272,526.5644358622781,18.11233477684914,362.75329409053785,354.8739134037081,7.879380686829734,550,17.016130592676124,19.197989543602493,7.2971229382081875,8.457042365231448
522,97881,34693,537.7468047935761,520.7130853263219,17.033719467254173,362.7225508525661,355.0013765996983,7.721174252867797,543,15.949399135076508,18.265063052963672,7.183419995232538,8.317285756807296
529,99743,32786,530.782089971226,514.8299871864933,15.952102784732688,362.660367143559,355.2060772539179,7.454289889641075,536,14.864948333460825,17.101913967445142,6.92683015321195,8.035939822334338
536,100947,31537,523.861996889457,508.6204441060745,15.24155278338253,362.6248427392593,355.26230908872105,7.362533650538239,529,14.26631143714866,16.41398336608281,6.881636471482651,7.946325963660903
543,101826,30620,516.9112898473866,502.3455217371643,14.56576811022228,362.571091862589,355.2895582699218,7.281533592667188,522,13.601724814908492,15.685745721461995,6.773454919596361,7.861363139732179
550,102655,29752,509.9634601334567,496.05766759018184,13.905792543274856,362.5160196775609,355.3386534761645,7.17736620139641,515,12.969657727702872,15.014346915398226,6.677688227075104,7.754938752379141
557,103291,29083,503.0260816528061,489.6023722554403,13.423709397365826,362.4665846976019,355.29857292710165,7.168011770500243,508,12.47529618665677,14.494968842449985,6.656788078489349,7.737393913364471
564,104184,28158,496.05966367196487,483.2819272313469,12.777736440617957,362.39880403900787,355.3374178307356,7.061386208272268,501,11.894186193111555,13.926452892872305,6.577418804372367,7.717739749633661
571,104968,27321,489.1748437619079,476.9658639538632,12.20897980804466,362.3859271396994,355.4237241967652,6.962202942934198,494,11.28401493539079,13.275303683896293,6.413305145383762,7.567674501307461
578,105670,26579,482.27609539131333,470.44871461404364,11.827380777269695,362.3610296205171,355.38708087015334,6.973948750363775,487,11.005433348022622,12.879440444745468,6.466187607841826,7.6124881400407505
585,106178,26032,475.3683625609828,463.9172350712931,11.451127489689725,362.331349243723,355.34965957062974,6.981689673093285,480,10.526281234359775,12.466786663001411,6.4229779305678445,7.6106488858955
592,106514,25654,468.49467675610754,457.24317485539126,11.251501900716278,362.32584448992657,355.23135902582237,7.094485464104196,473,10.317506994660675,12.253727207091583,6.501705911717868,7.748840575535546
599,106863,25263,461.6091537763307,450.6036485799947,11.005505196336003,362.3122128332539,355.1470945084676,7.165118324786306,466,10.108496724951525,12.02317626237067,6.5388286726145255,7.819753117775048
606,107170,24909,454.73956331062806,443.9855855668277,10.753977743800363,362.31471493888216,355.0757058527453,7.239009086136889,459,9.850384353815196,11.737577046347765,6.626791064752739,7.947282156741406
613,107417,24623,447.81768248973594,437.41058514199705,10.407097347738897,362.2753847156407,355.0563889939997,7.218995721641022,452,9.542705959610071,11.35186778348661,6.599994631660368,7.904874060350872
620,107661,24340,440.9019143422406,430.8048829502109,10.097031392029692,362.2414337596714,355.0176921372775,7.223741622393902,445,9.205520434645223,11.046024317178373,6.617551444935391,7.9109185412318554
627,107882,24075,433.99082330694637,424.2569598881241,9.733863418822295,362.2109248994271,355.03799216130585,7.172932738121233,438,8.84450263661092,10.636771505103145,6.474310379741621,7.836139915004435
634,108071,23839,427.07444180214895,417.76455700923475,9.309884792914204,362.1757548278449,355.1176975167617,7.058057311083189,431,8.393441652208207,10.131212218535426,6.31619251283788,7.710085986366617
641,108180,23685,420.1679977814755,411.1681503095889,8.999847471886596,362.1493436864487,355.1215104288143,7.02783325763437,424,8.203204509674737,9.890916842331148,6.358740069262822,7.744778689615035
648,108311,23518,413.268680004801,404.3747336130698,8.89394639173122,362.12967288641045,354.9619131933018,7.167759693108621,417,8.104726097621649,9.71705276954037,6.478386748878329,7.876785230940844
655,108406,23365,406.3883825618509,397.84906513997146,8.539317421879446,362.12779735439005,355.04585820387456,7.081939150515495,410,7.6994419316609735,9.368768780444313,6.372836639014819,7.7772546449333415
662,108599,23123,399.4895717271795,391.27319017685977,8.216381550319738,362.11077450068575,355.0950664995435,7.0157080011422295,403,7.4052870467822745,8.991580031163327,6.340790826614979,7.712237762393626
669,108925,22735,392.5990543952262,384.88389529844204,7.715159096784134,362.10256598577007,355.3268012964564,6.775764689313689,396,6.94699784271244,8.431734083938899,6.088920527886401,7.418486765999416
676,109509,22097,385.7205252536318,378.34135363610267,7.379171617529153,362.106831401985,355.43442296465906,6.672408437325942,389,6.607889604278417,8.083842418031832,5.9518394364253355,7.328897018157109
683,109998,21544,378.8420880379641,371.93202851028224,6.910059527681881,362.1136929762357,355.6821717193499,6.431521256885787,382,6.187297149378909,7.578504897966486,5.734478268850755,7.065511295235463
690,110491,20982,371.96166203582186,365.6144248126475,6.347237223174375,362.1203355929442,356.0397723602394,6.080563232704776,375,5.632062016250839,6.959422211364218,5.381789910075194,6.666684147202294
697,111060,20342,365.09285071132695,359.2725401844034,5.820310526923549,362.14098685395254,356.3965718891354,5.744414964817167,368,5.17980572058796,6.433057541318829,5.11076314811301,6.350952559525015
704,111531,19806,358.2005361737992,352.9260724482135,5.27446372558569,358.2005361737992,352.9260724482135,5.27446372558569,361,4.621565447848664,5.8997403462046325,4.621565447848664,5.8997403462046325
711,111802,19452,351.3408615230497,346.67242076955614,4.668440753493542,351.3408615230497,346.67242076955614,4.668440753493542,354,4.035565309631776,5.318304140096973,4.035565309631776,5.318304140096973
718,112022,19162,344.4590973201692,340.2828612099514,4.176236110217758,344.4590973201692,340.2828612099514,4.176236110217758,347,3.5550697599338834,4.764074784111087,3.5550697599338834,4.764074784111087
725,112077,19059,337.56100716471724,333.55242063896947,4.0085865257477735,337.56100716471724,333.55242063896947,4.0085865257477735,340,3.3765588134795053,4.614070015825524,3.3765588134795053,4.614070015825524
732,112087,18994,330.66956025230394,326.88204678214856,3.7875134701553748,330.66956025230394,326.88204678214856,3.7875134701553748,333,3.1629888172969176,4.325754907895851,3.1629888172969176,4.325754907895851
739,112179,18846,323.77617022793913,320.2336869093343,3.542483318604809,323.77617022793913,320.2336869093343,3.542483318604809,326,2.9842959213488043,4.0724173794734915,2.9842959213488043,4.0724173794734915
746,112237,18735,316.87640439427264,313.5482512332997,3.3281531609729313,316.87640439427264,313.5482512332997,3.3281531609729313,319,2.7915859105774046,3.843679304449226,2.7915859105774046,3.843679304449226
753,112292,18631,309.95719196380867,306.89134065118753,3.0658513126211346,309.95719196380867,306.89134065118753,3.0658513126211346,312,2.5498787706293498,3.5887793307527063,2.5498787706293498,3.5887793307527063
760,112302,18571,303.034389414258,300.25035544302705,2.78403397123094,303.034389414258,300.25035544302705,2.78403397123094,305,2.253535404964903,3.2559708246336116,2.253535404964903,3.2559708246336116
767,112292,18523,296.12564563815766,293.63475709774764,2.490888540410026,296.12564563815766,293.63475709774764,2.490888540410026,298,1.9764243295041013,2.939018687105302,1.9764243295041013,2.939018687105302
774,112275,18491,289.2115965263861,286.8890462805857,2.3225502458003575,289.2115965263861,286.8890462805857,2.3225502458003575,291,1.8335469983622814,2.7227951945540343,1.8335469983622814,2.7227951945540343
781,112251,18460,282.298349235196,280.2107492051787,2.087600030017313,282.298349235196,280.2107492051787,2.087600030017313,284,1.7199916029494617,2.4960138286412885,1.7199916029494617,2.4960138286412885
788,112222,18443,275.3832314519434,273.3895919542888,1.9936394976546126,275.3832314519434,273.3895919542888,1.9936394976546126,277,1.5726007355651503,2.43164022875722,1.5726007355651503,2.43164022875722
