age_group,sex,n_at_risk,n_vacc,calendar_day,hazard
"[0,40)",0,73575,6,2020-12-27,8.154943934760448e-05
"[0,40)",1,69474,8,2020-12-27,0.00011515099173791634
"[40,60)",0,47838,4,2020-12-27,8.361553576654542e-05
"[40,60)",1,46172,16,2020-12-27,0.0003465303647232089
"[60,80)",0,31837,4,2020-12-27,0.00012563997864120362
"[60,80)",1,38484,6,2020-12-27,0.00015590894917368256
"[80,200)",0,4557,1,2020-12-27,0.00021944261575597982
"[80,200)",1,8835,0,2020-12-27,0.0
,0,3368,0,2020-12-27,0.0
,1,2930,0,2020-12-27,0.0
"[0,40)",0,73575,16,2020-12-28,0.00021746517159361195
"[0,40)",1,69474,11,2020-12-28,0.00015833261363963497
"[40,60)",0,47838,14,2020-12-28,0.000292654375182909
"[40,60)",1,46170,16,2020-12-28,0.00034654537578514185
"[60,80)",0,31832,2,2020-12-28,6.282985674792661e-05
"[60,80)",1,38481,5,2020-12-28,0.00012993425326784648
"[80,200)",0,4553,1,2020-12-28,0.00021963540522732265
"[80,200)",1,8834,0,2020-12-28,0.0
,0,3368,0,2020-12-28,0.0
,1,2930,0,2020-12-28,0.0
"[0,40)",0,73575,10,2020-12-29,0.00013591573224600747
"[0,40)",1,69474,18,2020-12-29,0.00025908973141031176
"[40,60)",0,47838,9,2020-12-29,0.0001881349554747272
"[40,60)",1,46170,35,2020-12-29,0.0007580680095299979
"[60,80)",0,31830,7,2020-12-29,0.00021991831605403707
"[60,80)",1,38480,11,2020-12-29,0.0002858627858627859
"[80,200)",0,4548,1,2020-12-29,0.00021987686895338611
"[80,200)",1,8830,7,2020-12-29,0.0007927519818799547
,0,3368,0,2020-12-29,0.0
,1,2930,0,2020-12-29,0.0
"[0,40)",0,73575,9,2020-12-30,0.00012232415902140674
"[0,40)",1,69473,21,2020-12-30,0.00030227570423042047
"[40,60)",0,47838,15,2020-12-30,0.00031355825912454536
"[40,60)",1,46169,41,2020-12-30,0.0008880417596222574
"[60,80)",0,31826,6,2020-12-30,0.00018852510525985044
"[60,80)",1,38478,10,2020-12-30,0.00025988876760746403
"[80,200)",0,4545,1,2020-12-30,0.00022002200220022002
"[80,200)",1,8826,8,2020-12-30,0.0009064128710627691
,0,3368,0,2020-12-30,0.0
,1,2930,0,2020-12-30,0.0
"[0,40)",0,73575,6,2020-12-31,8.154943934760448e-05
"[0,40)",1,69473,2,2020-12-31,2.878816230765909e-05
"[40,60)",0,47836,2,2020-12-31,4.1809515845806506e-05
"[40,60)",1,46169,15,2020-12-31,0.00032489332669106974
"[60,80)",0,31825,10,2020-12-31,0.00031421838177533385
"[60,80)",1,38473,8,2020-12-31,0.00020793803446572922
"[80,200)",0,4542,2,2020-12-31,0.00044033465433729633
"[80,200)",1,8822,3,2020-12-31,0.00034005894355021535
,0,3368,0,2020-12-31,0.0
,1,2930,0,2020-12-31,0.0
"[0,40)",0,72996,1,2021-01-01,1.3699380787988383e-05
"[0,40)",1,68782,0,2021-01-01,0.0
"[40,60)",0,48372,1,2021-01-01,2.0673116679070536e-05
"[40,60)",1,46551,2,2021-01-01,4.29636312861163e-05
"[60,80)",0,32834,0,2021-01-01,0.0
"[60,80)",1,39139,1,2021-01-01,2.554996295255372e-05
"[80,200)",0,5339,0,2021-01-01,0.0
"[80,200)",1,10025,0,2021-01-01,0.0
,0,1598,0,2021-01-01,0.0
,1,1361,0,2021-01-01,0.0
"[0,40)",0,72996,7,2021-01-02,9.589566551591868e-05
"[0,40)",1,68782,4,2021-01-02,5.8154749789189035e-05
"[40,60)",0,48370,5,2021-01-02,0.00010336985734959685
"[40,60)",1,46550,11,2021-01-02,0.00023630504833512352
"[60,80)",0,32832,3,2021-01-02,9.137426900584795e-05
"[60,80)",1,39138,5,2021-01-02,0.00012775307884920026
"[80,200)",0,5333,0,2021-01-02,0.0
"[80,200)",1,10015,0,2021-01-02,0.0
,0,1598,0,2021-01-02,0.0
,1,1361,0,2021-01-02,0.0
"[0,40)",0,72996,1,2021-01-03,1.3699380787988383e-05
"[0,40)",1,68782,5,2021-01-03,7.269343723648629e-05
"[40,60)",0,48368,8,2021-01-03,0.00016539861065167054
"[40,60)",1,46550,7,2021-01-03,0.00015037593984962405
"[60,80)",0,32826,3,2021-01-03,9.139097057210747e-05
"[60,80)",1,39136,0,2021-01-03,0.0
"[80,200)",0,5328,0,2021-01-03,0.0
"[80,200)",1,10011,0,2021-01-03,0.0
,0,1598,0,2021-01-03,0.0
,1,1361,0,2021-01-03,0.0
"[0,40)",0,72996,7,2021-01-04,9.589566551591868e-05
"[0,40)",1,68782,17,2021-01-04,0.00024715768660405336
"[40,60)",0,48366,16,2021-01-04,0.00033081090021916225
"[40,60)",1,46550,38,2021-01-04,0.0008163265306122449
"[60,80)",0,32820,9,2021-01-04,0.0002742230347349177
"[60,80)",1,39134,14,2021-01-04,0.00035774518321664023
"[80,200)",0,5326,0,2021-01-04,0.0
"[80,200)",1,10008,1,2021-01-04,9.992006394884092e-05
,0,1598,0,2021-01-04,0.0
,1,1361,0,2021-01-04,0.0
"[0,40)",0,72996,15,2021-01-05,0.00020549071181982575
"[0,40)",1,68782,17,2021-01-05,0.00024715768660405336
"[40,60)",0,48366,18,2021-01-05,0.0003721622627465575
"[40,60)",1,46550,46,2021-01-05,0.0009881847475832438
"[60,80)",0,32815,3,2021-01-05,9.142160597287826e-05
"[60,80)",1,39128,20,2021-01-05,0.0005111429155591903
"[80,200)",0,5323,0,2021-01-05,0.0
"[80,200)",1,10002,0,2021-01-05,0.0
,0,1598,0,2021-01-05,0.0
,1,1361,0,2021-01-05,0.0
"[0,40)",0,72996,13,2021-01-06,0.00017809195024384898
"[0,40)",1,68782,31,2021-01-06,0.000450699310866215
"[40,60)",0,48365,18,2021-01-06,0.00037216995761397704
"[40,60)",1,46547,81,2021-01-06,0.001740176595698971
"[60,80)",0,32810,14,2021-01-06,0.0004266991770801585
"[60,80)",1,39122,18,2021-01-06,0.0004600991769336946
"[80,200)",0,5317,0,2021-01-06,0.0
"[80,200)",1,9997,0,2021-01-06,0.0
,0,1598,0,2021-01-06,0.0
,1,1361,0,2021-01-06,0.0
"[0,40)",0,72996,17,2021-01-07,0.0002328894733958025
"[0,40)",1,68781,51,2021-01-07,0.0007414838400139573
"[40,60)",0,48364,20,2021-01-07,0.0004135307253328922
"[40,60)",1,46546,82,2021-01-07,0.001761698105100331
"[60,80)",0,32807,15,2021-01-07,0.0004572194958393026
"[60,80)",1,39122,34,2021-01-07,0.0008690762230969787
"[80,200)",0,5315,6,2021-01-07,0.0011288805268109125
"[80,200)",1,9994,4,2021-01-07,0.00040024014408645187
,0,1598,0,2021-01-07,0.0
,1,1361,0,2021-01-07,0.0
"[0,40)",0,72996,24,2021-01-08,0.0003287851389117212
"[0,40)",1,68781,46,2021-01-08,0.000668789345894942
"[40,60)",0,48364,35,2021-01-08,0.0007236787693325614
"[40,60)",1,46546,139,2021-01-08,0.00298629312937739
"[60,80)",0,32799,15,2021-01-08,0.000457331016189518
"[60,80)",1,39121,38,2021-01-08,0.0009713453132588635
"[80,200)",0,5311,3,2021-01-08,0.000564865373752589
"[80,200)",1,9990,21,2021-01-08,0.002102102102102102
,0,1598,0,2021-01-08,0.0
,1,1361,0,2021-01-08,0.0
"[0,40)",0,72996,7,2021-01-09,9.589566551591868e-05
"[0,40)",1,68781,11,2021-01-09,0.00015992788706183393
"[40,60)",0,48364,13,2021-01-09,0.00026879497146637993
"[40,60)",1,46546,20,2021-01-09,0.00042968246465861727
"[60,80)",0,32793,6,2021-01-09,0.00018296587686396487
"[60,80)",1,39120,12,2021-01-09,0.00030674846625766873
