quantile,T_q,vax_pre_mortality,comp_pre_mortality,rate_diff,n_vax,n_comp
1,2021-02-22,0.0016229891641605806,0.0,0.0016229891641605806,20949,199201
2,2021-03-23,4.773497541648766e-05,0.0,4.773497541648766e-05,20949,178805
3,2021-04-21,0.0,0.0,0.0,20948,157919
4,2021-05-06,4.773497541648766e-05,0.0,4.773497541648766e-05,20949,136200
5,2021-05-17,0.0,0.0,0.0,20949,116163
6,2021-05-29,0.0,0.0,0.0,20948,94931
7,2021-06-12,0.0,0.0,0.0,20949,73547
8,2021-07-08,0.0,0.0,0.0,20948,53034
9,2021-08-26,4.773497541648766e-05,0.0,4.773497541648766e-05,20949,31445
10,2021-11-26,0.0,0.0,0.0,20949,11055
