rel_day,n,median_censor_time,prop_censored_before_tau,min_Y,flag_median_censor_lt_tau,flag_prop_censored_gt_50pct,flag_unreliable
-30,209486,983.0,1.9094354754016975e-05,,False,False,False
-29,209486,982.0,1.9094354754016975e-05,,False,False,False
-28,209486,981.0,1.9094354754016975e-05,209482.0,False,False,False
-27,209486,980.0,1.9094354754016975e-05,209479.0,False,False,False
-26,209486,979.0,1.9094354754016975e-05,209478.0,False,False,False
-25,209485,978.0,1.4320834427285963e-05,209476.0,False,False,False
-24,209485,977.0,1.4320834427285963e-05,209473.0,False,False,False
-23,209484,976.0,9.547268526474575e-06,209468.0,False,False,False
-22,209484,975.0,9.547268526474575e-06,209464.0,False,False,False
-21,209484,974.0,9.547268526474575e-06,209461.0,False,False,False
-20,209484,973.0,9.547268526474575e-06,209458.0,False,False,False
-19,209484,972.0,9.547268526474575e-06,209451.0,False,False,False
-18,209484,971.0,9.547268526474575e-06,209447.0,False,False,False
-17,209484,970.0,1.4320902789711864e-05,209445.0,False,False,False
-16,209484,969.0,1.909453705294915e-05,209439.0,False,False,False
-15,209483,968.0,1.4320971152790442e-05,209437.0,False,False,False
-14,209483,967.0,1.4320971152790442e-05,209431.0,False,False,False
-13,209483,966.0,1.4320971152790442e-05,209428.0,False,False,False
-12,209483,965.0,1.4320971152790442e-05,209422.0,False,False,False
-11,209483,964.0,1.9094628203720587e-05,209417.0,False,False,False
-10,209483,963.0,2.3868285254650734e-05,209407.0,False,False,False
-9,209483,962.0,2.3868285254650734e-05,209398.0,False,False,False
-8,209483,961.0,2.3868285254650734e-05,209392.0,False,False,False
-7,209483,960.0,2.3868285254650734e-05,209388.0,False,False,False
-6,209483,959.0,2.8641942305580884e-05,209381.0,False,False,False
-5,209483,958.0,2.8641942305580884e-05,209375.0,False,False,False
-4,209483,957.0,3.8189256407441174e-05,209366.0,False,False,False
-3,209483,956.0,3.8189256407441174e-05,209362.0,False,False,False
-2,209482,955.0,3.818943871072455e-05,209356.0,False,False,False
-1,209482,954.0,3.818943871072455e-05,209354.0,False,False,False
0,209482,953.0,3.818943871072455e-05,209350.0,False,False,False
1,209482,952.0,3.818943871072455e-05,209346.0,False,False,False
2,209479,951.0,3.818998563101791e-05,209339.0,False,False,False
3,209478,950.0,4.296393893392146e-05,209334.0,False,False,False
4,209476,949.0,5.251198227959289e-05,209328.0,False,False,False
5,209473,948.0,6.683438915755253e-05,209318.0,False,False,False
6,209468,947.0,6.68359844940516e-05,209308.0,False,False,False
7,209464,946.0,6.683726081808807e-05,209299.0,False,False,False
8,209461,945.0,7.63865349635493e-05,209290.0,False,False,False
9,209458,944.0,8.116185583744713e-05,209284.0,False,False,False
10,209451,943.0,8.593895469584772e-05,209275.0,False,False,False
11,209447,942.0,8.594059595028814e-05,209268.0,False,False,False
12,209446,941.0,8.594100627369346e-05,209267.0,False,False,False
13,209440,940.0,8.116883116883117e-05,209260.0,False,False,False
14,209437,939.0,7.639528832059283e-05,209254.0,False,False,False
15,209431,938.0,7.639747697332296e-05,209248.0,False,False,False
16,209428,937.0,7.639857134671581e-05,209239.0,False,False,False
17,209422,936.0,9.072590272273209e-05,209229.0,False,False,False
18,209418,935.0,9.072763563781528e-05,209221.0,False,False,False
19,209408,934.0,9.073196821515892e-05,209215.0,False,False,False
20,209398,933.0,8.596070640598286e-05,209210.0,False,False,False
21,209392,932.0,8.596316955757622e-05,209204.0,False,False,False
22,209388,931.0,9.074063461134354e-05,209197.0,False,False,False
23,209382,930.0,9.074323485304372e-05,209191.0,False,False,False
24,209375,929.0,9.074626865671642e-05,209182.0,False,False,False
25,209368,928.0,9.074930266325322e-05,209176.0,False,False,False
26,209362,927.0,9.075190340176346e-05,209173.0,False,False,False
27,209357,926.0,9.075407079772828e-05,209162.0,False,False,False
28,209354,925.0,8.597877279631629e-05,209158.0,False,False,False
29,209350,924.0,9.553379508000956e-05,209150.0,False,False,False
30,209346,923.0,0.00010508918250169576,209146.0,False,False,False
31,209339,922.0,0.00011464657803849259,209143.0,False,False,False
32,209335,921.0,0.00011942580074999402,209139.0,False,False,False
33,209330,920.0,0.00012898294558830555,209130.0,False,False,False
34,209321,919.0,0.00011943378829644421,209125.0,False,False,False
35,209308,918.0,0.00010510826150935464,209120.0,False,False,False
36,209299,917.0,0.00010511278123641298,209115.0,False,False,False
37,209292,916.0,0.00011467232383464251,209104.0,False,False,False
38,209285,915.0,0.00010989798599995221,209099.0,False,False,False
39,209276,914.0,0.00012423784858273286,209090.0,False,False,False
40,209268,913.0,0.00011946403654643806,209086.0,False,False,False
41,209267,912.0,0.00011946460741540711,209076.0,False,False,False
42,209260,911.0,0.00011946860365096053,209070.0,False,False,False
43,209254,910.0,0.00012425091037686256,209064.0,False,False,False
44,209248,909.0,0.00012425447316103378,209055.0,False,False,False
