rel_day,rmst_sim0,rmst_sim1,rmst_sim2,rmst_sim3,rmst_sim4,rmst_placebo_mean,rmst_placebo_lower,rmst_placebo_upper
-30,29.941480004889485,29.932201949388578,29.93494809688581,29.93163564306343,29.938639846471446,29.935781108139746,29.931692273695944,29.94119598904768
-29,29.939953776240177,29.931432419834103,29.935692262516515,29.929059324535146,29.93732627996143,29.934692812617477,29.929296634065043,29.9396910266123
-28,29.94156942063486,29.933214914784262,29.934573753985564,29.927702460519935,29.937863784705996,29.934984866926122,29.928253705946368,29.94119885704197
-27,29.940127306605625,29.936454527108374,29.93592514109477,29.92884858709405,29.936465408082604,29.935564193997084,29.929556242494122,29.939761116753324
-26,29.94182797042688,29.937310917166155,29.93608359912708,29.930079517411578,29.935655850880607,29.936191571002457,29.930637150758482,29.941376265100807
-25,29.945449865086598,29.93932847921023,29.93695433176629,29.931374203620095,29.935456470787898,29.93771267009422,29.931782430336874,29.94483772649896
-24,29.942867930098593,29.93896108205424,29.939208195138338,29.93083804540467,29.93401516348326,29.937178083235818,29.93115575721253,29.942501956602566
-23,29.941446284723813,29.937390120441233,29.939577166131304,29.932175491168465,29.93196316956339,29.93651044640564,29.931984401723895,29.94125937286456
-22,29.941311937642286,29.93636772581838,29.94120364537399,29.93425079680014,29.934226275481237,29.93747207622321,29.934228727613128,29.941301108415455
-21,29.943710969817076,29.935302784529775,29.941636039063326,29.933251709870817,29.931520879003283,29.937084476456857,29.931693962090037,29.9435034767417
-20,29.941739987864572,29.934765377926457,29.941460648196774,29.93482254080189,29.93049906167691,29.93665752329332,29.930925693301866,29.941712053897792
-19,29.940993302575457,29.935579919258423,29.942564231843875,29.936541791612107,29.930108750270612,29.937157599112094,29.930655867169392,29.942407138917034
-18,29.938958334965672,29.93385952283584,29.94173880157997,29.936449269240516,29.931045448326966,29.93641027538979,29.931326855777854,29.94146075491854
-17,29.937493091351886,29.933997901809718,29.945968097850074,29.94010900794321,29.93328891093434,29.938171401977844,29.933359810021877,29.945382188859387
-16,29.939216595963973,29.93413631866557,29.94596128381361,29.943960780999067,29.932520029303102,29.93915900174906,29.93268165823935,29.945761233532156
-15,29.940983090238475,29.935585271026497,29.944737561221707,29.945451855609104,29.931182085620097,29.93958797274318,29.931622404160738,29.945380426170363
-14,29.940341690850147,29.939043569099606,29.944793659469806,29.946331564818532,29.93492390539323,29.941086877926267,29.93533587176387,29.946177774283658
-13,29.94601931184863,29.93952185882685,29.9441991505824,29.9485200845666,29.93307997858203,29.942268076881298,29.93372416660651,29.948270007294802
-12,29.944934570908405,29.940042675468817,29.945514572906593,29.9489364401404,29.93182598500676,29.942250848886193,29.932647654052968,29.94859425341702
-11,29.945012246161028,29.941875380023983,29.944983070096114,29.948804161644357,29.930529451143972,29.942240861813893,29.931664044031972,29.948424970096024
-10,29.94570312948044,29.94129676578918,29.94193236308573,29.948650706370024,29.93115171672513,29.941746936290105,29.932166221631533,29.948355948681066
-9,29.945210022052645,29.942686183568842,29.94200917083842,29.949130673886376,29.93379959055916,29.94256712818109,29.934620548587088,29.948738608703003
-8,29.945287753863614,29.942912101811118,29.94336685319982,29.94771020624008,29.93341043418138,29.9425374698592,29.934360600944352,29.947467961002435
-7,29.94280608499222,29.944450671749532,29.942876980369885,29.949415025281898,29.931797455574415,29.942269243593593,29.932898318516195,29.94891858992866
-6,29.94537968423799,29.946117043441753,29.944298310220738,29.952472649554565,29.93208332384314,29.94407020225964,29.9333048224809,29.951837088943282
-5,29.94300336425898,29.94719102235602,29.94456487425024,29.952446457292805,29.932981309913295,29.944037405614267,29.93398351534786,29.951920913799125
-4,29.947651964608323,29.948307757489633,29.948676925667854,29.95180748391465,29.936497783407102,29.946588383017513,29.937613201527224,29.95149442808997
-3,29.949339440592063,29.948174869954794,29.949196791376306,29.95241522374158,29.938960379275315,29.94761734098801,29.939881828343264,29.952107645426626
-2,29.94982078853047,29.948698893309544,29.94917038659143,29.9530866288424,29.94155129345019,29.94846559814481,29.942266053436125,29.952760044811207
-1,29.951636510192397,29.948587304310678,29.947861610057068,29.95380055049756,29.939156575493264,29.94820851011019,29.940027078949644,29.953584146467044
0,29.949725292208484,29.951019084325186,29.94972725932478,29.95392271042879,29.941156541808706,29.94911017761919,29.942013416848685,29.95363234781843
1,29.949677528852682,29.951056341057082,29.951067952984786,29.954108428631937,29.942016094875054,29.949585269280306,29.942782238272816,29.953804381067222
2,29.94895187982687,29.948613365818886,29.95243010933912,29.955034523658227,29.944757466638425,29.949957469056308,29.94514305655647,29.954774082226315
3,29.948904025293352,29.948629132307403,29.953203683023954,29.95534749729924,29.94566023345974,29.950348914276738,29.945957123344506,29.95513311587171
4,29.95076295960375,29.953798039977805,29.952105019174844,29.956316335826113,29.946669209255028,29.95193031276751,29.9470785842899,29.956064506241283
5,29.951457129099833,29.95286036214984,29.95035401035624,29.957370171832952,29.947086247086258,29.951825584105023,29.947413023413255,29.956919190864642
6,29.95280854767038,29.951922562081688,29.953631491959914,29.959122695486325,29.946255245199847,29.952748108479632,29.94682197688803,29.958573575133684
7,29.95172280167441,29.95403922025322,29.9550369828494,29.959055652100194,29.948534243381314,29.953677780051702,29.948853099210623,29.958653785175112
8,29.952565954634174,29.955604981395364,29.955874581129603,29.960300974989398,29.949650201399205,29.954799338709545,29.949941776722703,29.959858335603418
9,29.954087879235892,29.95910278465832,29.956691303184115,29.95974733450622,29.954662086222623,29.956858277561434,29.954145299934567,29.959682879521427
10,29.954380322568273,29.957655514173986,29.95693977061501,29.958579756226808,29.95541982142479,29.956595037001772,29.954484272453925,29.958487332021527
11,29.955309087494044,29.96000820552075,29.960410805826157,29.959338562195267,29.954970623793667,29.958007456965976,29.955004470163704,29.960370545795616
12,29.956280572765984,29.961257597228297,29.960175420240308,29.961960896670174,29.956491302503185,29.95923315788159,29.956301645739703,29.961890566725987
13,29.955300487207303,29.963187035697292,29.960572019389925,29.961470759187456,29.95614816700611,29.959335693697618,29.955385255187185,29.963015408046306
14,29.956823667232822,29.96392746856267,29.960357696639058,29.961594723174393,29.955190630768247,29.959578837275437,29.955353934414703,29.96369419402384
15,29.95588589973155,29.96411577012838,29.959426814958654,29.96366757375831,29.95482611555517,29.959584434826418,29.954932093972808,29.964070950491372
16,29.956794074388363,29.963624145955542,29.961024544032686,29.964554616805863,29.957025530018463,29.960604582240183,29.956817219951372,29.964461569720832
17,29.957150762524414,29.96432224029711,29.96081018991555,29.964212935274784,29.95806006579646,29.96091123876166,29.957241692851618,29.96431130979488
18,29.96005492905716,29.965041752512512,29.961881625144706,29.963277975654012,29.95975205909825,29.96200166829333,29.95978234609414,29.964865374826662
19,29.96177112424856,29.96450746835197,29.96236307049815,29.964885780815717,29.959578804347828,29.962621249652443,29.9597980363379,29.964847949569343
20,29.961045686275863,29.963335511363574,29.961010441686234,29.96592178502104,29.95813341259395,29.96188936738813,29.958421115503178,29.965663157655296
21,29.963484662370856,29.962779770328353,29.96157631186708,29.967551519603237,29.958596088922867,29.962797670618478,29.95889411121729,29.96714483388
22,29.965329633243982,29.96281904213665,29.962817162252808,29.9685668189472,29.958443930095765,29.96359531733528,29.958881253311468,29.968243100376878
23,29.964710488645167,29.96164677247149,29.962835103451802,29.968988649687162,29.9583342181826,29.963303046487646,29.95866547361149,29.968560833582963
24,29.964771235424323,29.963025312480575,29.962199186155587,29.970746662110095,29.960854697223933,29.9643194186789,29.9609891461171,29.97014911944152
25,29.96230349833484,29.96385147288755,29.9614998289678,29.971359841761583,29.960915096543964,29.96398594769915,29.960973569786347,29.97060900487418
26,29.961684062054665,29.96540101853812,29.960715899167045,29.972651977470118,29.95976633032396,29.964043857510784,29.959861287208266,29.97192688157692
27,29.962318203582853,29.96580255067663,29.95936244637496,29.972735147027766,29.95989037745985,29.96402174502441,29.959415239483448,29.972041887392653
28,29.961741210547252,29.967523037893407,29.960540183645016,29.97341235151284,29.961266329721788,29.96489662266406,29.960612798252694,29.9728234201509
29,29.961801706297834,29.968690871913687,29.95924986426358,29.974132144720596,29.961475524064625,29.965070022252064,29.959472430243686,29.973588017439905
30,29.961904772780823,29.968007882189315,29.958507816083635,29.97362128567768,29.961069306043033,29.9646222125549,29.958763965079577,29.973059945328842
31,29.963899766565756,29.967324831551682,29.959664575284837,29.97185844447336,29.963825696050314,29.965314662785186,29.960080687361383,29.971405083181192
32,29.962833848704534,29.968578069453844,29.960315313434904,29.973236075833483,29.96607356055894,29.966207373597136,29.960567166961866,29.97277027519552
33,29.963681374504816,29.96793754021234,29.960966180159158,29.974019738152162,29.96524304190799,29.966369574987294,29.961237699593724,29.97341151835818
34,29.96329577845371,29.96659463610088,29.961047402056366,29.973572471750398,29.966281084782352,29.966158274628743,29.9612722396961,29.972874688185446
35,29.964228654889272,29.966485903472424,29.96053762807671,29.97369820111563,29.96740439729867,29.966470956970547,29.960906730757966,29.973068820733936
36,29.96326887593458,29.97022982864701,29.96382805108361,29.97382394108583,29.9698450817283,29.968199155695867,29.963324793449484,29.973464529841948
37,29.962351602854515,29.9708878564426,29.964078672082405,29.97333407783928,29.97045924809307,29.968222291462375,29.962524309777304,29.97308945569961
38,29.962689097178558,29.97290902890272,29.966251324804453,29.972207315553167,29.970478602201016,29.96890707372798,29.96304531994115,29.972838857567766
39,29.963686103482864,29.973141773069297,29.96599538241033,29.971674843945994,29.971156720614267,29.96913096470455,29.963917031375612,29.972995080156966
40,29.964747219457575,29.973417181382406,29.96510568944942,29.97050547786723,29.971239931073114,29.969003099845953,29.96478306645676,29.973199456351477
41,29.965234119669734,29.9717331027615,29.966666351750813,29.973093858421365,29.970048014075758,29.969355089335835,29.965377342877844,29.972957782855378
42,29.968317516439154,29.972540819050487,29.967086525726618,29.9744512480901,29.971385090940824,29.970756240049433,29.96720962479787,29.97426020518614
43,29.969635198845157,29.97277358473597,29.967549075568073,29.97521424625393,29.97151086833115,29.971336594746855,29.96775768789578,29.974970180102133
44,29.969718430956306,29.97172826675423,29.97063255776609,29.974766709614688,29.972869590979442,29.97194311121415,29.969809843637286,29.974576997751164
45,29.971760483162903,29.973793048084858,29.97067295039011,29.974956352201623,29.972952902353402,29.972827147238576,29.970781703667388,29.974840021789948
46,29.971268993756716,29.9765189765598,29.970692178737433,29.975209799913465,29.973100067736063,29.973358003340696,29.970749860239362,29.976388058895164
47,29.972715310972692,29.97741277032705,29.970669074753612,29.974167405877235,29.974523108268734,29.973897534039867,29.97087369837552,29.977123804121216
48,29.974247205721536,29.9783280458523,29.97128024707166,29.97374097903037,29.97603159159749,29.974725613854673,29.971526320267532,29.97809840042682
49,29.97390491669391,29.978646624338023,29.970686335697007,29.97393056804009,29.976966107135652,29.974826910380937,29.9710081937967,29.978478572617785
50,29.974840702474562,29.979007909812964,29.969436887878967,29.976648645392753,29.97666699171176,29.975320227454205,29.969977269338525,29.978773818002843
51,29.977076330872308,29.980605824247746,29.969477182382537,29.97819863954817,29.97766554312725,29.9766047040356,29.970237097231514,29.98036510577779
52,29.977501253955502,29.979666604943507,29.970173041911664,29.97849489536181,29.977451578199215,29.976657474874337,29.97090089554042,29.979549433985337
53,29.976690312208166,29.979324325594742,29.971545847496895,29.977494594499145,29.975961093368774,29.976203234633545,29.971987372084083,29.979141352485183
54,29.977136566525903,29.97893933943873,29.973638248643212,29.975835366658927,29.97695969453853,29.97650184316106,29.973857960444782,29.978759062147446
55,29.9775828711236,29.977935965700585,29.976408290897194,29.9753662398869,29.976128645002863,29.976684402522228,29.975442480398495,29.977900656242888
56,29.97873269863128,29.97620753549917,29.974777591784985,29.97487579252248,29.975935886025894,29.976105900892765,29.974787411858735,29.97848018231807
57,29.978646375602736,29.97573703148228,29.974395223181148,29.976319671311284,29.977636984459494,29.97654705720739,29.97452940401126,29.97854543648841
58,29.97917822265123,29.97530916762724,29.974647630802426,29.9759355640374,29.9768909997618,29.976392316976018,29.97471378448491,29.978949500362287
59,29.979091900319613,29.97490260786528,29.976868436125255,29.975572697497874,29.97733668635277,29.976754465632162,29.974969616828538,29.97891637892293
60,29.980817737672528,29.97451735446818,29.977311737729146,29.974572023310564,29.978421021354354,29.977127974906956,29.97452282135242,29.98057806604071
61,29.980049121709886,29.973449658556316,29.975871189434113,29.974209120348174,29.978292199347397,29.97637425787918,29.973525604735503,29.97987342947364
62,29.97994151847793,29.97427978606421,29.97760583135127,29.974526596910074,29.97818466697736,29.976907679956167,29.974304467148794,29.97976583332787
63,29.980409708317563,29.97579261146468,29.977541268306442,29.974248775173884,29.979333216226753,29.977465115897864,29.974403158802964,29.98030205910848
64,29.979598334469273,29.976089896270473,29.977519075364544,29.97592733955185,29.978587004254162,29.97754432998206,29.97594359522371,29.97949720144776
65,29.980706386411228,29.975768605705767,29.97811088052336,29.97639397756591,29.97909692375878,29.97801535479301,29.97583114289178,29.980545440145985
66,29.979233740306082,29.976748627495372,29.97870275283662,29.976265166241525,29.979628213154204,29.97811570000676,29.97631351236691,29.97958876586939
67,29.979616578600478,29.97518998962256,29.97927349779208,29.976157654499367,29.979563332735516,29.977960210650004,29.97528675611024,29.97961125401398
68,29.98004215535882,29.97350323968686,29.979230148010323,29.976709560568167,29.97951975511716,29.97780097174827,29.97382387177499,29.979989915334652
69,29.979785124310247,29.972371024723692,29.979864604207506,29.976644653868025,29.979454911738266,29.977624063769547,29.972798387638125,29.97985665621778
70,29.979528069489916,29.97375605431572,29.98242684342599,29.977834938689796,29.980050335800026,29.978719248344287,29.97416394275313,29.982189192663395
71,29.979249642075725,29.973925193131112,29.98123972903703,29.97970637709101,29.980049449017923,29.97883407807056,29.974457638025573,29.981120701035117
72,29.978373885663512,29.972856831058234,29.981281255278997,29.980343871819976,29.980048560342155,29.978580880832578,29.97340853651876,29.981187516933094
73,29.978735412638017,29.972961849239432,29.980051685333134,29.979747123057315,29.981964961245748,29.978692206302732,29.97353920557929,29.981773633654488
74,29.97788091790542,29.974411366627,29.980093185413992,29.979767513819006,29.98392440736986,29.979215478227058,29.97475832175484,29.983541285174272
75,29.979608072793887,29.975882551588157,29.981384715829908,29.978489645609105,29.98275177993893,29.979623353152,29.976143260990252,29.982615073528027
76,29.978753481744686,29.97609460032467,29.983375812075025,29.97970179020712,29.98345426593427,29.98027599005716,29.976360488466675,29.983446420548347
77,29.977856144707197,29.976306673502062,29.984074443849508,29.979658266175814,29.982899520773103,29.980159009801536,29.976461620622576,29.983956951541867
78,29.97817500208359,29.975942414101564,29.98352269341808,29.98029593842632,29.982941414515672,29.980175492509044,29.976165672899768,29.98346456552784
79,29.97787504371278,29.974980405893444,29.98424259506031,29.98159367179764,29.98298331092206,29.980335005477247,29.975269869675376,29.984116666646482
80,29.9782366476622,29.97655892342409,29.98309735720654,29.98165673172513,29.982385844917243,29.98038710098704,29.9767266958479,29.98302620597761
81,29.97736047728306,29.977561258931186,29.983202597994342,29.982997350910182,29.9817457026871,29.980573477561176,29.977380555447873,29.983182073285928
82,29.97650562741522,29.977987201301147,29.983350264625994,29.984380809830242,29.981723571687528,29.980789494972026,29.976653784803815,29.984277755309815
83,29.97618418673354,29.979118045970804,29.98286204991861,29.98455056177593,29.982298242620715,29.98100261740392,29.976477572657267,29.984381710590196
84,29.97648164661551,29.978390858651274,29.984260524083858,29.98604093427858,29.980954615253374,29.98122571577652,29.976672567819087,29.985862893259107
85,29.974879571338047,29.9802054419868,29.986316558220576,29.986935088883037,29.9802077334869,29.981708878783074,29.97541215840292,29.98687323581679
86,29.97451529820371,29.979542310501557,29.985934369903482,29.98661506873506,29.98073969797799,29.981469349064362,29.975017999433494,29.9865469988519
87,29.974748588099533,29.978216938128604,29.98620953027538,29.986145847553058,29.979395955976457,29.980943372006607,29.97509542310244,29.98620316200315
88,29.974405630219547,29.97746823876285,29.985233589341025,29.98569792015079,29.981228268521082,29.980806729399056,29.974711891073877,29.985651487069813
89,29.977307692307697,29.976698142143864,29.984236432299397,29.985825152259338,29.981824387746393,29.98117836135134,29.976759097160247,29.985666280263345
90,29.97709303816402,29.97782923424452,29.984511584486125,29.985291936063263,29.981184000000006,29.981181958591588,29.97716665777207,29.98521390090555
