rel_day,rmst,n,rmst_se,rmst_ci_lower,rmst_ci_upper,method,rmst_km
-30,29.999670622380492,209486,,,,mean,30.0
-29,29.99965152802574,209486,,,,mean,30.0
-28,30.0,209486,0.0,30.0,30.0,IF,30.0
-27,29.999985678960485,209486,3.94684997556716e-11,29.999985678883128,29.99998567903784,IF,29.99998567896048
-26,29.99996658424113,209486,8.216014348117747e-11,29.999966584080095,29.999966584402163,IF,29.999966584241125
-25,29.999937942162095,209485,1.3090235619623177e-10,29.999937941905525,29.999937942418665,IF,29.99993794216209
-24,29.999894979043546,209485,1.879070372659993e-10,29.999894978675247,29.999894979411845,IF,29.99989497904354
-23,29.999828147525804,209484,2.5578349412660137e-10,29.99982814702447,29.999828148027138,IF,29.999828147525797
-22,29.999742221288702,209484,3.3489641088657005e-10,29.999742220632307,29.999742221945098,IF,29.9997422212887
-21,29.999641974012086,209484,4.2324320007254174e-10,29.99964197318253,29.99964197484164,IF,29.999641974012082
-20,29.999527405695954,209484,5.191122124043201e-10,29.999527404678492,29.999527406713415,IF,29.99952740569595
-19,29.99937942162095,209484,6.231954918627234e-10,29.99937942039949,29.999379422842413,IF,29.999379421620947
-18,29.999212342826592,209484,7.358880888329558e-10,29.99921234138425,29.999212344268933,IF,29.99921234282659
-17,29.999040490352392,209484,8.553073955459455e-10,29.99904048867599,29.999040492028794,IF,29.99904049035239
-16,29.99884476936504,209484,9.805821358910347e-10,29.9988447674431,29.99884477128698,IF,29.99884476936503
-15,29.99863950092684,209483,1.1113734486243843e-09,29.998639498748545,29.99863950310513,IF,29.998639500926828
-14,29.9984055901361,209483,1.247599849590496e-09,29.998405587690804,29.9984055925814,IF,29.99840559013608
-13,29.998157358169088,209483,1.3893483045640795e-09,29.998157355445965,29.99815736089221,IF,29.998157358169067
-12,29.99788048384953,209483,1.5366084436042588e-09,29.99788048083778,29.997880486861284,IF,29.99788048384951
-11,29.997584514628283,209483,1.6894757717550428e-09,29.99758451131691,29.997584517939657,IF,29.997584514628258
-10,29.997245581673063,209483,1.8483803409321096e-09,29.997245578050237,29.99724558529589,IF,29.997245581673035
-9,29.996863684778702,209483,2.0142113250874485e-09,29.99686368083085,29.996863688726556,IF,29.99686368477867
-8,29.99645314525825,209483,2.187173968211676e-09,29.99645314097139,29.99645314954511,IF,29.996453145258215
-7,29.996023510653735,209483,2.3668019454257135e-09,29.996023506014804,29.996023515292666,IF,29.996023510653696
-6,29.99556523342312,209483,2.5527024904732977e-09,29.995565228419824,29.99556523842642,IF,29.995565233423086
-5,29.995078313429623,209483,2.7447346820352225e-09,29.995078308049944,29.995078318809302,IF,29.995078313429584
-4,29.99455797687942,209483,2.942842638462569e-09,29.994557971111448,29.994557982647393,IF,29.994557976879378
-3,29.99401854497155,209483,3.1467876429140898e-09,29.994018538803846,29.994018551139252,IF,29.9940185449715
-2,29.993455243866592,209482,3.3562159131271795e-09,29.99345523728841,29.993455250444775,IF,29.99345524386654
-1,29.992882395037192,209482,3.570645434612043e-09,29.992882388038726,29.992882402035658,IF,29.992882395037135
0,29.992290450758915,209482,3.789648274691949e-09,29.992290443331203,29.992290458186627,IF,29.992290450758855
