age_group,sex,n_at_risk,n_vacc,calendar_day,hazard
"[0,40)",0,49075,3,2020-12-27,6.113092205807438e-05
"[0,40)",1,46386,5,2020-12-27,0.00010779114387961886
"[40,60)",0,32028,3,2020-12-27,9.366804046459348e-05
"[40,60)",1,30802,14,2020-12-27,0.00045451594052334265
"[60,80)",0,21148,2,2020-12-27,9.457159069415548e-05
"[60,80)",1,25503,2,2020-12-27,7.842214641414736e-05
"[80,200)",0,2992,0,2020-12-27,0.0
"[80,200)",1,5877,0,2020-12-27,0.0
,0,2240,0,2020-12-27,0.0
,1,1983,0,2020-12-27,0.0
"[0,40)",0,49072,12,2020-12-28,0.0002445386371046625
"[0,40)",1,46381,5,2020-12-28,0.00010780276406287057
"[40,60)",0,32025,10,2020-12-28,0.000312256049960968
"[40,60)",1,30788,14,2020-12-28,0.00045472261920228663
"[60,80)",0,21143,0,2020-12-28,0.0
"[60,80)",1,25500,4,2020-12-28,0.00015686274509803922
"[80,200)",0,2989,1,2020-12-28,0.00033456005352960856
"[80,200)",1,5877,0,2020-12-28,0.0
,0,2240,0,2020-12-28,0.0
,1,1983,0,2020-12-28,0.0
"[0,40)",0,49060,9,2020-12-29,0.00018344883815735833
"[0,40)",1,46376,15,2020-12-29,0.00032344316025530444
"[40,60)",0,32015,7,2020-12-29,0.00021864750898016556
"[40,60)",1,30774,26,2020-12-29,0.0008448690452979788
"[60,80)",0,21142,5,2020-12-29,0.00023649607416516885
"[60,80)",1,25495,8,2020-12-29,0.00031378701706216906
"[80,200)",0,2986,1,2020-12-29,0.0003348961821835231
"[80,200)",1,5875,4,2020-12-29,0.0006808510638297873
,0,2240,0,2020-12-29,0.0
,1,1983,0,2020-12-29,0.0
"[0,40)",0,49051,4,2020-12-30,8.154777680373489e-05
"[0,40)",1,46360,12,2020-12-30,0.0002588438308886972
"[40,60)",0,32008,7,2020-12-30,0.0002186953261684579
"[40,60)",1,30747,29,2020-12-30,0.0009431814485966111
"[60,80)",0,21134,3,2020-12-30,0.00014195135800132487
"[60,80)",1,25485,6,2020-12-30,0.00023543260741612713
"[80,200)",0,2984,0,2020-12-30,0.0
"[80,200)",1,5868,6,2020-12-30,0.0010224948875255625
,0,2240,0,2020-12-30,0.0
,1,1983,0,2020-12-30,0.0
"[0,40)",0,49047,4,2020-12-31,8.155442738597672e-05
"[0,40)",1,46348,1,2020-12-31,2.1575904030378873e-05
"[40,60)",0,32001,2,2020-12-31,6.249804693603325e-05
"[40,60)",1,30718,9,2020-12-31,0.0002929878247281724
"[60,80)",0,21130,8,2020-12-31,0.0003786086133459536
"[60,80)",1,25474,4,2020-12-31,0.00015702284682421293
"[80,200)",0,2983,0,2020-12-31,0.0
"[80,200)",1,5859,3,2020-12-31,0.0005120327700972862
,0,2240,0,2020-12-31,0.0
,1,1983,0,2020-12-31,0.0
"[0,40)",0,48657,1,2021-01-01,2.0552027457508685e-05
"[0,40)",1,45896,0,2021-01-01,0.0
"[40,60)",0,32315,1,2021-01-01,3.094538140182578e-05
"[40,60)",1,30954,2,2021-01-01,6.461200491051237e-05
"[60,80)",0,21840,0,2021-01-01,0.0
"[60,80)",1,25964,1,2021-01-01,3.851486673856109e-05
"[80,200)",0,3497,0,2021-01-01,0.0
"[80,200)",1,6637,0,2021-01-01,0.0
,0,1074,0,2021-01-01,0.0
,1,909,0,2021-01-01,0.0
"[0,40)",0,48656,4,2021-01-02,8.220979940808945e-05
"[0,40)",1,45896,2,2021-01-02,4.3576782290395675e-05
"[40,60)",0,32313,4,2021-01-02,0.00012378918701451427
"[40,60)",1,30952,8,2021-01-02,0.0002584647195657793
"[60,80)",0,21838,2,2021-01-02,9.158347834050737e-05
"[60,80)",1,25962,4,2021-01-02,0.00015407133502811802
"[80,200)",0,3493,0,2021-01-02,0.0
"[80,200)",1,6633,0,2021-01-02,0.0
,0,1074,0,2021-01-02,0.0
,1,909,0,2021-01-02,0.0
"[0,40)",0,48652,1,2021-01-03,2.0554139603716188e-05
"[0,40)",1,45894,2,2021-01-03,4.3578681309103584e-05
"[40,60)",0,32307,5,2021-01-03,0.00015476522115950104
"[40,60)",1,30944,3,2021-01-03,9.694932781799379e-05
"[60,80)",0,21832,1,2021-01-03,4.580432392817882e-05
"[60,80)",1,25957,0,2021-01-03,0.0
"[80,200)",0,3490,0,2021-01-03,0.0
"[80,200)",1,6631,0,2021-01-03,0.0
,0,1074,0,2021-01-03,0.0
,1,909,0,2021-01-03,0.0
"[0,40)",0,48651,6,2021-01-04,0.00012332737251032866
"[0,40)",1,45892,11,2021-01-04,0.00023969319271332693
"[40,60)",0,32300,9,2021-01-04,0.0002786377708978328
"[40,60)",1,30941,23,2021-01-04,0.0007433502472447562
"[60,80)",0,21828,6,2021-01-04,0.0002748763056624519
"[60,80)",1,25956,10,2021-01-04,0.0003852673755586377
"[80,200)",0,3489,0,2021-01-04,0.0
"[80,200)",1,6629,1,2021-01-04,0.0001508523155830442
,0,1074,0,2021-01-04,0.0
,1,909,0,2021-01-04,0.0
"[0,40)",0,48645,9,2021-01-05,0.00018501387604070305
"[0,40)",1,45881,12,2021-01-05,0.0002615461737974325
"[40,60)",0,32291,13,2021-01-05,0.0004025889566752346
"[40,60)",1,30918,35,2021-01-05,0.0011320266511417297
"[60,80)",0,21820,2,2021-01-05,9.165902841429881e-05
"[60,80)",1,25943,10,2021-01-05,0.00038546043248660524
"[80,200)",0,3486,0,2021-01-05,0.0
"[80,200)",1,6624,0,2021-01-05,0.0
,0,1074,0,2021-01-05,0.0
,1,909,0,2021-01-05,0.0
"[0,40)",0,48636,10,2021-01-06,0.00020560901389916935
"[0,40)",1,45869,20,2021-01-06,0.0004360243301576228
"[40,60)",0,32278,13,2021-01-06,0.00040275109982031105
"[40,60)",1,30882,59,2021-01-06,0.0019104980247393304
"[60,80)",0,21815,8,2021-01-06,0.0003667201466880587
"[60,80)",1,25928,12,2021-01-06,0.00046282011724776306
"[80,200)",0,3483,0,2021-01-06,0.0
"[80,200)",1,6621,0,2021-01-06,0.0
,0,1074,0,2021-01-06,0.0
,1,909,0,2021-01-06,0.0
"[0,40)",0,48626,7,2021-01-07,0.00014395590836178176
"[0,40)",1,45848,38,2021-01-07,0.0008288256848717502
"[40,60)",0,32265,15,2021-01-07,0.00046490004649000463
"[40,60)",1,30822,57,2021-01-07,0.0018493284017909286
"[60,80)",0,21804,10,2021-01-07,0.000458631443771785
