quantile,T_q,vax_pre_mortality,comp_pre_mortality,rate_diff,n_vax,n_comp
1,2021-02-22,0.0017185821697099893,0.0,0.0017185821697099893,13965,132689
2,2021-03-23,7.161271841879118e-05,0.0,7.161271841879118e-05,13964,119194
3,2021-04-21,0.0,0.0,0.0,13964,105346
4,2021-05-06,0.0,0.0,0.0,13965,90940
5,2021-05-17,0.0,0.0,0.0,13964,77586
6,2021-05-29,0.0,0.0,0.0,13964,63358
7,2021-06-12,0.0,0.0,0.0,13965,49056
8,2021-07-08,0.0,0.0,0.0,13964,35389
9,2021-08-25,7.161271841879118e-05,0.0,7.161271841879118e-05,13964,21121
10,2021-11-26,0.0,0.0,0.0,13965,7323
