rel_day,n,median_censor_time,prop_censored_before_tau,min_Y,flag_median_censor_lt_tau,flag_prop_censored_gt_50pct,flag_unreliable
-30,139588,708.0,3.581969796830673e-05,,False,False,False
-29,139588,707.0,4.2983637561968075e-05,,False,False,False
-28,139588,706.0,4.2983637561968075e-05,139582.0,False,False,False
-27,139586,705.0,2.865616895677217e-05,139582.0,False,False,False
-26,139586,704.0,2.865616895677217e-05,139581.0,False,False,False
-25,139586,703.0,2.865616895677217e-05,139579.0,False,False,False
-24,139586,702.0,2.865616895677217e-05,139577.0,False,False,False
-23,139586,701.0,2.865616895677217e-05,139573.0,False,False,False
-22,139586,700.0,2.865616895677217e-05,139570.0,False,False,False
-21,139586,699.0,2.865616895677217e-05,139567.0,False,False,False
-20,139586,698.0,2.865616895677217e-05,139565.0,False,False,False
-19,139585,697.0,2.1492280689185802e-05,139559.0,False,False,False
-18,139585,696.0,2.8656374252247734e-05,139559.0,False,False,False
-17,139585,695.0,2.8656374252247734e-05,139555.0,False,False,False
-16,139585,694.0,2.8656374252247734e-05,139551.0,False,False,False
-15,139585,693.0,2.8656374252247734e-05,139549.0,False,False,False
-14,139585,692.0,2.8656374252247734e-05,139545.0,False,False,False
-13,139584,691.0,2.1492434662998625e-05,139542.0,False,False,False
-12,139584,690.0,2.1492434662998625e-05,139538.0,False,False,False
-11,139584,689.0,2.1492434662998625e-05,139536.0,False,False,False
-10,139584,688.0,2.1492434662998625e-05,139531.0,False,False,False
-9,139584,687.0,2.1492434662998625e-05,139524.0,False,False,False
-8,139584,686.0,2.8656579550664832e-05,139517.0,False,False,False
-7,139584,685.0,2.8656579550664832e-05,139513.0,False,False,False
-6,139584,684.0,3.582072443833104e-05,139509.0,False,False,False
-5,139584,683.0,3.582072443833104e-05,139506.0,False,False,False
-4,139584,682.0,3.582072443833104e-05,139501.0,False,False,False
-3,139584,681.0,3.582072443833104e-05,139498.0,False,False,False
-2,139583,680.0,2.8656784852023526e-05,139496.0,False,False,False
-1,139583,679.0,3.582098106502941e-05,139494.0,False,False,False
0,139583,678.0,3.582098106502941e-05,139491.0,False,False,False
1,139582,677.0,2.865699015632388e-05,139488.0,False,False,False
2,139581,676.0,2.8657195463565957e-05,139483.0,False,False,False
3,139581,675.0,3.582149432945745e-05,139480.0,False,False,False
4,139579,674.0,3.5822007608594415e-05,139476.0,False,False,False
5,139577,673.0,3.582252090244095e-05,139472.0,False,False,False
6,139573,672.0,3.582354753426522e-05,139465.0,False,False,False
7,139570,671.0,4.298918105610088e-05,139457.0,False,False,False
8,139567,670.0,4.2990105110806994e-05,139453.0,False,False,False
9,139565,669.0,4.2990721169347615e-05,139448.0,False,False,False
10,139559,668.0,4.2992569450913233e-05,139443.0,False,False,False
11,139556,667.0,4.2993493651294104e-05,139443.0,False,False,False
12,139555,666.0,3.582816810576475e-05,139437.0,False,False,False
13,139551,665.0,5.0160873085825257e-05,139430.0,False,False,False
14,139549,664.0,5.73275336978409e-05,139423.0,False,False,False
15,139545,663.0,5.732917696800315e-05,139419.0,False,False,False
16,139542,662.0,6.449671066775594e-05,139410.0,False,False,False
17,139538,661.0,6.449855953217045e-05,139405.0,False,False,False
18,139536,660.0,6.449948400412796e-05,139399.0,False,False,False
19,139531,659.0,6.450179529996919e-05,139396.0,False,False,False
20,139524,658.0,7.167225710272068e-05,139391.0,False,False,False
21,139518,657.0,7.167533938273198e-05,139386.0,False,False,False
22,139513,656.0,6.451011733673564e-05,139380.0,False,False,False
23,139510,655.0,6.451150455164505e-05,139378.0,False,False,False
24,139506,654.0,5.734520379051797e-05,139371.0,False,False,False
25,139501,653.0,5.7347259159432546e-05,139371.0,False,False,False
26,139498,652.0,5.734849245150468e-05,139367.0,False,False,False
27,139496,651.0,6.451797901015083e-05,139358.0,False,False,False
