rel_day,rmst_real,real_lower,real_upper,rmst_placebo,placebo_lower,placebo_upper,rmst_diff
-30,29.99933375361779,,,30.0,30.0,30.0,-0.0006662463822095788
-29,29.999290769980227,,,29.99986940530705,29.999807850115445,29.999944362097594,-0.0005786353268213418
-28,30.0,30.0,30.0,29.99961387610684,29.99944631461984,29.99978800908652,0.00038612389316128315
-27,29.99999283575246,29.999992835651867,29.999992835853057,29.99925592414747,29.998963276876538,29.999538743982253,0.0007369116049922297
-26,29.999985671504923,29.999985671303733,29.999985671706114,29.998779781875736,29.99839193088837,29.999201133826475,0.0012058896291868848
-25,29.999964178762305,29.99996417842867,29.99996417909594,29.998191024467836,29.997717808500067,29.9986947185928,0.0017731542944687817
-24,29.99992835752461,29.999928357011676,29.999928358037543,29.99749307106661,29.996962302334097,29.998096900963617,0.002435286457998842
-23,29.999863879296758,29.999863878550737,29.999863880042778,29.99666683062714,29.99600923644702,29.997449566513808,0.0031970486696160094
-22,29.999777908326287,29.999777907295524,29.99977790935705,29.995724666637663,29.99489562768995,29.99670554516476,0.004053241688623643
-21,29.9996704446132,29.999670443256154,29.99967044597025,29.994666489231093,29.99360802579805,29.99584643609852,0.005003955382107961
-20,29.99954865240504,29.999548650689096,29.999548654120982,29.99347998797843,29.9922141734655,29.994865048047888,0.006068664426610582
-19,29.99938387471164,29.99938387260165,29.99938387682163,29.99221017483186,29.99077431335735,29.9938189962049,0.007173699879778894
-18,29.999197604275626,29.999197601734892,29.99919760681636,29.990819904301123,29.989233521617837,29.992690638691094,0.008377699974502661
-17,29.999011333839608,29.999011330842155,29.99901133683706,29.98932947260131,29.987529797522622,29.991507837332403,0.00968186123829895
-16,29.99879640620809,29.998796402732374,29.998796409683806,29.987706201539304,29.985660404079727,29.99020033571685,0.011090204668786185
-15,29.998567149978822,29.998567146003435,29.99856715395421,29.985950058295835,29.9835881257656,29.988791892726287,0.01261709168298708
-14,29.99830923655405,29.99830923205798,29.99830924105012,29.98409147937803,29.981414100816,29.98731456252749,0.01421775717602003
-13,29.998029830232653,29.998029825194344,29.998029835270962,29.982131562357864,29.97919727825406,29.985684062061058,0.015898267874788985
-12,29.997721766715756,29.997721761113645,29.997721772317867,29.980075951657266,29.976892679664346,29.98395262021962,0.017645815058489944
-11,29.997399374601105,29.9973993684146,29.99739938078761,29.977912249559303,29.97447781583915,29.982097672839984,0.0194871250418025
-10,29.99704116099208,29.9970411542007,29.997041167783458,29.975640466349027,29.971995484390824,29.98014297880401,0.021400694643052276
-9,29.996632797290925,29.996632789871036,29.996632804710814,29.97327183428045,29.96937821769622,29.97809683339662,0.02336096301047519
-8,29.996181447796516,29.99618143972186,29.996181455871174,29.970823268620272,29.96651351816197,29.97600089762869,0.025358179176244278
-7,29.995701440901204,29.995701432145633,29.995701449656774,29.96829023473261,29.963522961297286,29.973903835311642,0.02741120616859405
-6,29.995199940955214,29.995199931494483,29.995199950415945,29.965682913769967,29.96044210421176,29.971763988867284,0.029517027185246292
-5,29.994676947804482,29.994676937616408,29.994676957992557,29.96300355436751,29.957270851730435,29.96953738737957,0.03167339343697151
-4,29.99411813264585,29.994118121708983,29.994118143582714,29.960235269869695,29.953971511615652,29.96725493746611,0.03388286277615293
-3,29.993537824282473,29.993537812576026,29.99353783598892,29.957373519176492,29.950581776105068,29.964857241922253,0.03616430510598079
-2,29.99294318711594,29.992943174620844,29.992943199611037,29.95442962562445,29.947146890484063,29.96239063558542,0.038513561491491544
-1,29.992341385547828,29.992341372247424,29.992341398848232,29.951415929508993,29.943620528876583,29.95983372542635,0.040925456038834795
0,29.991718090620893,29.991718076499875,29.99171810474191,29.952252996382235,29.945049502560828,29.960567013960627,0.03946509423865763
1,29.99107330233514,29.991073287378594,29.991073317291683,29.95297712670731,29.94507061867892,29.961883123095106,0.03809617562782819
2,29.990607551921027,29.990607536404422,29.990607567437632,29.953085267652362,29.945397585839547,29.960514094330723,0.03752228426866466
3,29.989919771784802,29.989919755406383,29.98991978816322,29.953695111349372,29.946038113118078,29.96093799553946,0.03622466043542971
4,29.98963304281404,29.989633026094772,29.98963305953331,29.954171932151375,29.944823732965983,29.962188435946068,0.03546111066266633
5,29.989331975590716,29.989331958513073,29.989331992668358,29.954574497153327,29.945878134754018,29.96233525916967,0.0347574784373883
6,29.98942479978386,29.98942478285845,29.989424816709267,29.955586673535315,29.94796969902024,29.961947621335074,0.03383812624854343
7,29.989281262109035,29.989281245075112,29.989281279142958,29.956274592514195,29.949147773092513,29.962198862751244,0.03300666959484033
8,29.9891305520133,29.989130534859438,29.989130569167163,29.95700250683776,29.94862089494553,29.96364171452899,0.03212804517553991
9,29.988750629012067,29.988750611465047,29.988750646559087,29.958134766062404,29.948056103433295,29.963900589163536,0.030615862949662898
10,29.989208715369426,29.989208698450316,29.989208732288535,29.95796322125571,29.949199982153555,29.963662700850854,0.031245494113715466
11,29.989022158992444,29.989022141945156,29.989022176039732,29.958924087503753,29.95199887802894,29.96536806801138,0.030098071488691147
12,29.988212428935032,29.988212410969403,29.98821244690066,29.959330310402994,29.951779409848665,29.966639038496428,0.028882118532038703
13,29.98822640799881,29.98822639008633,29.98822642591129,29.960745407211988,29.953991981080247,29.96858750901961,0.02748100078682114
14,29.98779626585727,29.98779624749621,29.98779628421833,29.962236351412493,29.9554519545825,29.970705845877152,0.02555991444477712
15,29.987781565202216,29.987781546859974,29.987781583544457,29.962869196131823,29.954244760012873,29.971588419600472,0.024912369070392515
16,29.987523293841765,29.987523275269535,29.987523312413995,29.963508566485636,29.954830717898798,29.971097370758123,0.024014727356128418
17,29.987465579983326,29.98746556140734,29.98746559855931,29.964018141565454,29.955741855129123,29.97077775175112,0.02344743841787178
18,29.986963710748082,29.986963691679982,29.986963729816182,29.964932994426505,29.956444419788625,29.9707695641575,0.02203071632157716
19,29.987099385746305,29.987099366871913,29.987099404620697,29.965890542358785,29.95883427025469,29.97141339318205,0.021208843387519494
20,29.98767208640841,29.9876720682346,29.98767210458222,29.966534672043316,29.960565471924564,29.97252054216485,0.021137414365092866
21,29.988044235274117,29.98804421761664,29.988044252931594,29.966706927923802,29.95975290799719,29.973340828353013,0.021337307350314916
22,29.987986520918362,29.98798650329886,29.987986538537864,29.967024504205618,29.959144738088334,29.972503541061684,0.020962016712744003
23,29.98772818639483,29.987728168552323,29.987728204237335,29.967050899008917,29.958883830696667,29.97290386166844,0.02067728738591157
24,29.987441169748145,29.98744115166394,29.98744118783235,29.967021009118326,29.95970600103071,29.97331280272943,0.02042016062981844
25,29.98757689097941,29.987576873137947,29.98757690882087,29.967498529959187,29.96243148042915,29.973454206974253,0.020078361020221536
26,29.98731852722011,29.98731850912632,29.9873185453139,29.9681372734467,29.963382573681375,29.974574338792358,0.019181253773410845
27,29.986809338567358,29.98680931995697,29.986809357177748,29.9684617636511,29.96255835483642,29.97440013039908,0.018347574916258935
28,29.986078001948343,29.986077982560936,29.98607802133575,29.968443536838635,29.963237028150644,29.973849405361346,0.01763446510970823
29,29.985762242436888,29.985762222706967,29.98576226216681,29.968151039779514,29.962269153646776,29.97364026166929,0.017611202657374037
30,29.98546797656964,29.98546795648163,29.98546799665765,29.968264712644384,29.96331856496607,29.97242281752473,0.017203263925257062
31,29.985625153400267,29.9856251333911,29.985625173409435,29.968164721761532,29.9630776252567,29.973277795674047,0.01746043163873523
32,29.985158905503948,29.98515888491101,29.985158926096886,29.96827700213762,29.96275915461441,29.973832481539784,0.016881903366329
33,29.9851154383282,29.98511541757048,29.98511545908592,29.968738759699043,29.96168135157017,29.973760932211786,0.016376678629157482
