rel_day,rmst,n,rmst_se,rmst_ci_lower,rmst_ci_upper,method,rmst_km
-30,29.99933375361779,139588,,,,mean,30.0
-29,29.999290769980227,139588,,,,mean,30.0
-28,30.0,139588,0.0,30.0,30.0,IF,30.0
-27,29.99999283575246,139586,5.1324420425792425e-11,29.999992835651867,29.999992835853057,IF,29.99999283575246
-26,29.999985671504923,139586,1.0264884085158485e-10,29.999985671303733,29.999985671706114,IF,29.999985671504923
-25,29.999964178762305,139586,1.7022284733013252e-10,29.99996417842867,29.99996417909594,IF,29.999964178762305
-24,29.99992835752461,139586,2.617008319629811e-10,29.999928357011676,29.999928358037543,IF,29.999928357524613
-23,29.999863879296758,139586,3.8062261901980226e-10,29.999863878550737,29.999863880042778,IF,29.99986387929676
-22,29.999777908326287,139586,5.258997185340903e-10,29.999777907295524,29.99977790935705,IF,29.999777908326294
-21,29.9996704446132,139586,6.923719331004006e-10,29.999670443256154,29.99967044597025,IF,29.99967044461321
-20,29.99954865240504,139586,8.754808917739764e-10,29.999548650689096,29.999548654120982,IF,29.999548652405043
-19,29.99938387471164,139585,1.0765253334751798e-09,29.99938387260165,29.99938387682163,IF,29.999383874711643
-18,29.999197604275626,139585,1.2962935481357805e-09,29.999197601734892,29.99919760681636,IF,29.999197604275626
-17,29.999011333839608,139585,1.5293128448560688e-09,29.999011330842155,29.99901133683706,IF,29.99901133383961
-16,29.99879640620809,139585,1.7733248106518946e-09,29.998796402732374,29.998796409683806,IF,29.998796406208093
-15,29.998567149978822,139585,2.028258633049512e-09,29.998567146003435,29.99856715395421,IF,29.998567149978825
-14,29.99830923655405,139585,2.2939125093930664e-09,29.99830923205798,29.99830924105012,IF,29.99830923655405
-13,29.998029830232653,139584,2.570566778609174e-09,29.998029825194344,29.998029835270962,IF,29.99802983023265
-12,29.997721766715756,139584,2.8582192203732528e-09,29.997721761113645,29.997721772317867,IF,29.99772176671575
-11,29.997399374601105,139584,3.1563799018609676e-09,29.9973993684146,29.99739938078761,IF,29.9973993746011
-10,29.99704116099208,139584,3.4649887681055427e-09,29.9970411542007,29.997041167783458,IF,29.997041160992072
-9,29.996632797290925,139584,3.785657437145582e-09,29.996632789871036,29.996632804710814,IF,29.996632797290918
-8,29.996181447796516,139584,4.119723024037946e-09,29.99618143972186,29.996181455871174,IF,29.99618144779651
-7,29.995701440901204,139584,4.467128637806577e-09,29.995701432145633,29.995701449656774,IF,29.995701440901193
-6,29.995199940955214,139584,4.826903613139796e-09,29.995199931494483,29.995199950415945,IF,29.9951999409552
-5,29.994676947804482,139584,5.197997743612339e-09,29.994676937616408,29.994676957992557,IF,29.99467694780447
-4,29.99411813264585,139584,5.5800333306135715e-09,29.994118121708983,29.994118143582714,IF,29.994118132645838
-3,29.993537824282473,139584,5.972677040394186e-09,29.993537812576026,29.99353783598892,IF,29.99353782428246
-2,29.99294318711594,139583,6.375048347457098e-09,29.992943174620844,29.992943199611037,IF,29.992943187115923
-1,29.992341385547828,139583,6.785920772690785e-09,29.992341372247424,29.992341398848232,IF,29.992341385547807
0,29.991718090620893,139583,7.204599989977369e-09,29.991718076499875,29.99171810474191,IF,29.991718090620875
1,29.99107330233514,139582,7.630889429989068e-09,29.991073287378594,29.991073317291683,IF,29.99107330233512
2,29.990607551921027,139581,7.916634267174141e-09,29.990607536404422,29.990607567437632,IF,29.990607551920984
3,29.989919771784802,139581,8.35633678148317e-09,29.989919755406383,29.98991978816322,IF,29.98991977178476
4,29.98963304281404,139579,8.530239372168171e-09,29.989633026094772,29.98963305953331,IF,29.98963304281402
5,29.989331975590716,139577,8.713082707112167e-09,29.989331958513073,29.989331992668358,IF,29.989331975590687
6,29.98942479978386,139573,8.63541294819382e-09,29.98942478285845,29.989424816709267,IF,29.989424799783844
7,29.989281262109035,139570,8.690776294315059e-09,29.989281245075112,29.989281279142958,IF,29.989281262109014
8,29.9891305520133,139567,8.751970100749955e-09,29.989130534859438,29.989130569167163,IF,29.989130552013297
9,29.988750629012067,139565,8.952561354081538e-09,29.988750611465047,29.988750646559087,IF,29.988750629012056
10,29.989208715369426,139559,8.632198635955911e-09,29.989208698450316,29.989208732288535,IF,29.989208715369408
11,29.989022158992444,139556,8.697595499989862e-09,29.989022141945156,29.989022176039732,IF,29.989022158992444
12,29.988212428935032,139555,9.166136934741298e-09,29.988212410969403,29.98821244690066,IF,29.988212428935036
13,29.98822640799881,139551,9.139021190723788e-09,29.98822639008633,29.98822642591129,IF,29.988226407998827
14,29.98779626585727,139549,9.367887074811183e-09,29.98779624749621,29.98779628421833,IF,29.987796265857288
15,29.987781565202216,139545,9.358285718982981e-09,29.987781546859974,29.987781583544457,IF,29.98778156520223
16,29.987523293841765,139542,9.475627506107745e-09,29.987523275269535,29.987523312413995,IF,29.987523293841807
17,29.987465579983326,139538,9.477543761167489e-09,29.98746556140734,29.98746559855931,IF,29.98746557998334
18,29.986963710748082,139536,9.7286226221718e-09,29.986963691679982,29.986963729816182,IF,29.98696371074814
19,29.987099385746305,139531,9.629792390020517e-09,29.987099366871913,29.987099404620697,IF,29.98709938574632
