age_group,sex,n_at_risk,n_vacc,calendar_day,hazard
"[60,80)",0,1097496,0,2020-12-27,0.0
"[60,80)",1,1295100,0,2020-12-27,0.0
,0,4239474,0,2020-12-27,0.0
,1,4179441,0,2020-12-27,0.0
"[60,80)",0,1097412,0,2020-12-28,0.0
"[60,80)",1,1295038,0,2020-12-28,0.0
,0,4239392,0,2020-12-28,0.0
,1,4179346,0,2020-12-28,0.0
"[60,80)",0,1097328,0,2020-12-29,0.0
"[60,80)",1,1294975,0,2020-12-29,0.0
,0,4239306,0,2020-12-29,0.0
,1,4179239,0,2020-12-29,0.0
"[60,80)",0,1097224,0,2020-12-30,0.0
"[60,80)",1,1294936,0,2020-12-30,0.0
,0,4239236,0,2020-12-30,0.0
,1,4179131,0,2020-12-30,0.0
"[60,80)",0,1097135,0,2020-12-31,0.0
"[60,80)",1,1294883,0,2020-12-31,0.0
,0,4239158,0,2020-12-31,0.0
,1,4179006,0,2020-12-31,0.0
"[60,80)",0,1128910,0,2021-01-01,0.0
"[60,80)",1,1312818,0,2021-01-01,0.0
,0,4207196,0,2021-01-01,0.0
,1,4160950,0,2021-01-01,0.0
"[60,80)",0,1128832,0,2021-01-02,0.0
"[60,80)",1,1312756,0,2021-01-02,0.0
,0,4207121,0,2021-01-02,0.0
,1,4160832,0,2021-01-02,0.0
"[60,80)",0,1128764,0,2021-01-03,0.0
"[60,80)",1,1312693,0,2021-01-03,0.0
,0,4207021,0,2021-01-03,0.0
,1,4160697,0,2021-01-03,0.0
"[60,80)",0,1128674,0,2021-01-04,0.0
"[60,80)",1,1312647,0,2021-01-04,0.0
,0,4206932,0,2021-01-04,0.0
,1,4160593,0,2021-01-04,0.0
"[60,80)",0,1128584,0,2021-01-05,0.0
"[60,80)",1,1312597,0,2021-01-05,0.0
,0,4206863,0,2021-01-05,0.0
,1,4160466,0,2021-01-05,0.0
"[60,80)",0,1128509,0,2021-01-06,0.0
"[60,80)",1,1312563,0,2021-01-06,0.0
,0,4206773,0,2021-01-06,0.0
,1,4160354,0,2021-01-06,0.0
"[60,80)",0,1128414,0,2021-01-07,0.0
"[60,80)",1,1312507,0,2021-01-07,0.0
,0,4206700,0,2021-01-07,0.0
,1,4160236,0,2021-01-07,0.0
"[60,80)",0,1128328,0,2021-01-08,0.0
"[60,80)",1,1312457,0,2021-01-08,0.0
,0,4206617,0,2021-01-08,0.0
,1,4160132,0,2021-01-08,0.0
