quantile,T_q,vax_pre_risk,compA_pre_risk,compB_pre_risk,risk_diffA,risk_diffB,n_vax,n_compA,n_compB
1,2021-02-12,0.0012155703036346756,0.0,0.0,0.0012155703036346756,0.0012155703036346756,581620,6692538,10374953
2,2021-03-16,5.158015814476487e-05,0.0,0.0,5.158015814476487e-05,5.158015814476487e-05,581619,6142263,9809372
3,2021-04-13,5.673807640727623e-05,0.0,0.0,5.673807640727623e-05,5.673807640727623e-05,581620,5537332,9193617
4,2021-04-28,1.7193386048254958e-05,0.0,0.0,1.7193386048254958e-05,1.7193386048254958e-05,581619,4969981,8622323
5,2021-05-08,1.7193356487053404e-06,0.0,0.0,1.7193356487053404e-06,1.7193356487053404e-06,581620,4380116,8030176
6,2021-05-18,5.158006946116021e-06,0.0,0.0,5.158006946116021e-06,5.158006946116021e-06,581620,3803452,7451542
7,2021-05-28,1.7193386048254957e-06,0.0,0.0,1.7193386048254957e-06,1.7193386048254957e-06,581619,3226222,6872628
8,2021-06-09,5.158015814476487e-06,0.0,0.0,5.158015814476487e-06,5.158015814476487e-06,581619,2624416,6268964
9,2021-06-24,1.3754685189642723e-05,0.0,0.0,1.3754685189642723e-05,1.3754685189642723e-05,581620,2053924,5696384
10,2021-07-23,8.596693024127479e-06,0.0,0.0,8.596693024127479e-06,8.596693024127479e-06,581619,1455899,5094751
11,2021-10-02,0.0001788109074653554,0.0,0.0,0.0001788109074653554,0.0001788109074653554,581620,872557,4503808
12,2021-12-02,6.361541900209759e-05,0.0,0.0,6.361541900209759e-05,6.361541900209759e-05,581620,291280,3914204
