rel_day,n,median_censor_time,prop_censored_before_tau,prop_at_tau,min_Y,flag_median_censor_lt_tau,flag_prop_censored_gt_50pct,flag_unreliable
-60,6979435,738.0,0.0,1.0,,False,False,False
-59,6979435,737.0,0.0,1.0,,False,False,False
-58,6979435,736.0,0.0,1.0,,False,False,False
-57,6979435,735.0,0.0,1.0,,False,False,False
-56,6979435,734.0,0.0,1.0,,False,False,False
-55,6979435,733.0,0.0,1.0,,False,False,False
-54,6979435,732.0,0.0,1.0,,False,False,False
-53,6979435,731.0,0.0,1.0,,False,False,False
-52,6979435,730.0,0.0,1.0,,False,False,False
-51,6979435,729.0,0.0,1.0,,False,False,False
-50,6979435,728.0,0.0,1.0,,False,False,False
-49,6979435,727.0,0.0,1.0,,False,False,False
-48,6979435,726.0,0.0,1.0,,False,False,False
-47,6979435,725.0,0.0,1.0,,False,False,False
-46,6979435,724.0,0.0,1.0,,False,False,False
-45,6979435,723.0,0.0,1.0,,False,False,False
-44,6979435,722.0,0.0,1.0,,False,False,False
-43,6979435,721.0,0.0,1.0,,False,False,False
-42,6979435,720.0,0.0,1.0,,False,False,False
-41,6979435,719.0,0.0,1.0,,False,False,False
-40,6979435,718.0,0.0,1.0,,False,False,False
-39,6979435,717.0,0.0,1.0,,False,False,False
-38,6979435,716.0,0.0,1.0,,False,False,False
-37,6979435,715.0,0.0,1.0,,False,False,False
-36,6979435,714.0,0.0,1.0,,False,False,False
-35,6979435,713.0,0.0,1.0,,False,False,False
-34,6979435,712.0,0.0,1.0,,False,False,False
-33,6979435,711.0,0.0,1.0,,False,False,False
-32,6979435,710.0,0.0,1.0,,False,False,False
-31,6979435,709.0,0.0,1.0,,False,False,False
-30,6979435,708.0,0.0,1.0,,False,False,False
-29,6979435,707.0,5.874401008104524e-06,0.9999914033155979,,False,False,False
-28,6979435,706.0,6.734069448314943e-06,0.9999802276258751,,False,False,False
-27,6979435,705.0,7.450459815156957e-06,0.9999690519361524,,False,False,False
-26,6979435,704.0,9.313074768946197e-06,0.9999561569095493,,False,False,False
-25,6979435,703.0,1.1032411649367033e-05,0.9999408261556989,,False,False,False
-24,6979435,702.0,1.1032411649367033e-05,0.9999263550702886,,False,False,False
-23,6979435,701.0,1.1032411649367033e-05,0.9999080154768974,,False,False,False
