rel_day,rmst_real,real_lower,real_upper,rmst_sim0,rmst_sim1,rmst_sim2,rmst_sim3,rmst_sim4,rmst_sim5,rmst_sim6,rmst_sim7,rmst_sim8,rmst_sim9,rmst_sim10,rmst_sim11,rmst_sim12,rmst_sim13,rmst_sim14,rmst_sim15,rmst_sim16,rmst_sim17,rmst_sim18,rmst_sim19,rmst_sim20,rmst_sim21,rmst_sim22,rmst_sim23,rmst_sim24,rmst_sim25,rmst_sim26,rmst_sim27,rmst_sim28,rmst_sim29,rmst_placebo,placebo_lower,placebo_upper,rmst_diff
-60,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-59,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-58,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-57,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-56,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-55,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-54,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-53,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-52,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-51,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-50,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-49,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-48,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-47,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-46,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-45,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-44,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-43,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-42,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-41,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-40,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-39,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-38,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-37,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-36,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-35,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-34,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-33,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-32,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-31,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-29,29.999997267209547,29.999995971179942,29.999998563239153,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-2.7327904525975555e-06
-28,29.999984284244935,29.99998064372628,29.99998792476359,29.99990292978965,29.999894457382275,29.999922140019958,29.99986776496843,29.999855951592508,29.999872727181476,29.99988764171696,29.999939684175818,29.999882756451463,29.99988740619272,29.999897293621032,29.999874235606317,29.999853269501497,29.99989903859433,29.99989394919794,29.999869609606442,29.999884770872566,29.999839010375503,29.99987213786001,29.999903914635368,29.999872396529167,29.999890348979672,29.999874301167928,29.99987990020088,29.999874474521917,29.999935337798853,29.99988576842475,29.999924385467033,29.999856598045493,29.999868280491125,29.999885416032306,29.99984934824185,29.99993653305252,9.886821262838907e-05
-27,29.999960337092112,29.99995409901876,29.999966575165466,29.999719398998216,29.999692602109597,29.99970321843841,29.99962195053979,29.999587485198784,29.99964702620234,29.99960459009407,29.999740516559267,29.99965746738396,29.999637006892783,29.999700827674133,29.999640929362243,29.9995767693216,29.999677054066197,29.9997221386222,29.999630451423787,29.999692379158816,29.99957233286305,29.999623547734785,29.99963394021466,29.999646505867872,29.999662018035234,29.999615766228526,29.99959166820175,29.99966149996176,29.999755475276586,29.99965285045615,29.999694690148754,29.999565942819864,29.999627462130483,29.999651850399523,29.999570575601172,29.99974463020653,0.00030848669258887185
-26,29.99992636278947,29.999916513781205,29.999936211797735,29.999423008057942,29.999293619412015,29.999392882915107,29.999255172096856,29.999169539105303,29.99926524538662,29.99915856631633,29.999421795706173,29.999292052476388,29.99928009417712,29.999355202200448,29.999245275683375,29.999185880376135,29.999302861619352,29.999404312256097,29.99926837772937,29.99941191462649,29.999160710930326,29.999272592536776,29.99922511034206,29.99929100429536,29.999322092348134,29.999217747104638,29.999190253670726,29.999328929733977,29.99943404580919,29.99929349094605,29.999397571139095,29.99915194510306,29.999265230342814,29.99928921748144,29.99915674548268,29.999426043439534,0.0006371453080298295
-25,29.999878721050507,29.99986392413423,29.999893517966782,29.998944888259345,29.998789242436427,29.998898960604794,29.998749057461232,29.998660438005324,29.998790229529913,29.998635892212647,29.998972747576367,29.99884333907358,29.99879362221345,29.998884167539146,29.998763597633793,29.998708203482813,29.998829450248266,29.998995705724766,29.99880450801426,29.999015263527884,29.998625407011204,29.998825387514128,29.998707503415506,29.998881182218412,29.99889739325634,29.998697463462097,29.99869767155281,29.998866192171615,29.9990192905848,29.998829647667566,29.998963040028006,29.998608692808375,29.998790116838432,29.998816276735774,29.998620810605427,29.999016370968537,0.0010624443147335683
-24,29.99981550961079,29.999796754446123,29.99983426477546,29.99833501837982,29.99812985864662,29.998349714994912,29.998151362943577,29.998042130000808,29.99817679740885,29.998004278035204,29.99838332666848,29.998264271402054,29.998193999313784,29.998300356901904,29.998130916364243,29.998023365601707,29.99820006957485,29.998453506100354,29.99821137411642,29.998495619263824,29.998005903888274,29.998193167727166,29.998095185418837,29.998341857855454,29.998298783171744,29.998060946568366,29.998080924929546,29.998313381206717,29.998454159698547,29.998228189906573,29.99841723834205,29.997982214069523,29.998190420215458,29.998216944623866,29.997998210444642,29.998465561078998,0.0015985649869243446
-23,29.999735323796365,29.999708313068496,29.999762334524235,29.997643037274624,29.997352058740105,29.99764839551307,29.997444234723915,29.99728696792676,29.997433203701153,29.997268750544862,29.997712130341654,29.9976439473901,29.997464714714795,29.997579640458643,29.997374568991667,29.99723052572205,29.997434606706346,29.997815973751305,29.997468854501626,29.997818428047303,29.997247661336782,29.997461092837742,29.997326799736797,29.997716972949625,29.997606130774983,29.997345512487392,29.997322531500043,29.99767521037052,29.99773013521263,29.997522486212862,29.997767527439233,29.99719557799541,29.997519729952863,29.99750191359523,29.997220915097223,29.997816648682704,0.002233410201135655
-22,29.999636196913283,29.99960551241526,29.999666881411304,29.996802311742698,29.996481526662937,29.996906370339346,29.996661800856018,29.996498888631297,29.996600222964442,29.996450064180582,29.996865045713385,29.99688781796308,29.996604046929352,29.996688760756353,29.99649495936353,29.99633750598064,29.996612982495733,29.997086679230147,29.996620334347803,29.997034463302487,29.99640947905978,29.99663820224791,29.99647071223769,29.996953562350026,29.996766474537843,29.996523737295867,29.996492126701064,29.996926479231746,29.996960148077584,29.99665925269282,29.997053931096943,29.996301186434078,29.996707518001987,29.99668321971417,29.996327518105335,29.997062936833576,0.002952977199111473
