rel_day,rmst,n,rmst_se,rmst_ci_lower,rmst_ci_upper,method,rmst_km
-60,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-59,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-58,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-57,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-56,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-55,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-54,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-53,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-52,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-51,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-50,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-49,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-48,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-47,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-46,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-45,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-44,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-43,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-42,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-41,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-40,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-39,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-38,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-37,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-36,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-35,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-34,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-33,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-32,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-31,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-30,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-29,29.999997267209547,6979435,6.612395945264507e-07,29.999995971179942,29.999998563239153,bootstrap_high_tau,29.999997277716606
-28,29.999984284244935,6979435,1.8574074777412662e-06,29.99998064372628,29.99998792476359,bootstrap_high_tau,29.999984239351328
-27,29.999960337092112,6979435,3.1826904874049325e-06,29.99995409901876,29.999966575165466,bootstrap_high_tau,29.99996074161626
-26,29.99992636278947,6979435,5.0250042159173374e-06,29.999916513781205,29.999936211797735,bootstrap_high_tau,29.999926211387343
-25,29.999878721050507,6979435,7.549447080121087e-06,29.99986392413423,29.999893517966782,bootstrap_high_tau,29.99987806961469
-24,29.99981550961079,6979435,9.568961565089068e-06,29.999796754446123,29.99983426477546,bootstrap_high_tau,29.999815456596973
-23,29.999735323796365,6979435,1.3780983606573373e-05,29.999708313068496,29.999762334524235,bootstrap_high_tau,29.999734503783532
-22,29.999636196913283,6979435,1.5655356134352597e-05,29.99960551241526,29.999666881411304,bootstrap_high_tau,29.999635784292977
-21,29.99951778071967,6979435,1.9957905946200262e-05,29.999478663224018,29.999556898215324,bootstrap_high_tau,29.999516432470145
-20,29.999379380261846,6979435,2.2454975097984754e-05,29.999335368510653,29.99942339201304,bootstrap_high_tau,29.999378310942692
-19,29.99921750720491,6979435,2.6389239450166002e-05,29.999165784295588,29.999269230114233,bootstrap_high_tau,29.999217121245483
-18,29.999033755437104,6979435,3.27607655202246e-05,29.998969544336685,29.999097966537523,bootstrap_high_tau,29.999034296162385
-17,29.998827000604877,6979435,3.601248232070206e-05,29.99875641613953,29.998897585070225,bootstrap_high_tau,29.99882711331819
-16,29.99859505089759,6979435,3.9054697052673864e-05,29.998518503691365,29.99867159810381,bootstrap_high_tau,29.998594283184367
-15,29.998336671650158,6979435,4.345773805258959e-05,29.998251494483576,29.99842184881674,bootstrap_high_tau,29.998334086381707
