age_group,sex,n_at_risk,n_vacc,calendar_day,hazard
"[60,70)",0,631246,0,2020-12-27,0.0
"[60,70)",1,686110,0,2020-12-27,0.0
"[70,80)",0,466250,0,2020-12-27,0.0
"[70,80)",1,608990,0,2020-12-27,0.0
,0,4239474,0,2020-12-27,0.0
,1,4179441,0,2020-12-27,0.0
"[60,70)",0,631218,0,2020-12-28,0.0
"[60,70)",1,686089,0,2020-12-28,0.0
"[70,80)",0,466194,0,2020-12-28,0.0
"[70,80)",1,608949,0,2020-12-28,0.0
,0,4239392,0,2020-12-28,0.0
,1,4179346,0,2020-12-28,0.0
"[60,70)",0,631183,0,2020-12-29,0.0
"[60,70)",1,686076,0,2020-12-29,0.0
"[70,80)",0,466145,0,2020-12-29,0.0
"[70,80)",1,608899,0,2020-12-29,0.0
,0,4239306,0,2020-12-29,0.0
,1,4179239,0,2020-12-29,0.0
"[60,70)",0,631145,0,2020-12-30,0.0
"[60,70)",1,686070,0,2020-12-30,0.0
"[70,80)",0,466079,0,2020-12-30,0.0
"[70,80)",1,608866,0,2020-12-30,0.0
,0,4239236,0,2020-12-30,0.0
,1,4179131,0,2020-12-30,0.0
"[60,70)",0,631107,0,2020-12-31,0.0
"[60,70)",1,686050,0,2020-12-31,0.0
"[70,80)",0,466028,0,2020-12-31,0.0
"[70,80)",1,608833,0,2020-12-31,0.0
,0,4239158,0,2020-12-31,0.0
,1,4179006,0,2020-12-31,0.0
"[60,70)",0,629548,0,2021-01-01,0.0
"[60,70)",1,673587,0,2021-01-01,0.0
"[70,80)",0,499362,0,2021-01-01,0.0
"[70,80)",1,639231,0,2021-01-01,0.0
,0,4207196,0,2021-01-01,0.0
,1,4160950,0,2021-01-01,0.0
"[60,70)",0,629521,0,2021-01-02,0.0
"[60,70)",1,673568,0,2021-01-02,0.0
"[70,80)",0,499311,0,2021-01-02,0.0
"[70,80)",1,639188,0,2021-01-02,0.0
,0,4207121,0,2021-01-02,0.0
,1,4160832,0,2021-01-02,0.0
"[60,70)",0,629496,0,2021-01-03,0.0
"[60,70)",1,673548,0,2021-01-03,0.0
"[70,80)",0,499268,0,2021-01-03,0.0
"[70,80)",1,639145,0,2021-01-03,0.0
,0,4207021,0,2021-01-03,0.0
,1,4160697,0,2021-01-03,0.0
"[60,70)",0,629467,0,2021-01-04,0.0
"[60,70)",1,673533,0,2021-01-04,0.0
"[70,80)",0,499207,0,2021-01-04,0.0
"[70,80)",1,639114,0,2021-01-04,0.0
,0,4206932,0,2021-01-04,0.0
,1,4160593,0,2021-01-04,0.0
"[60,70)",0,629431,0,2021-01-05,0.0
"[60,70)",1,673517,0,2021-01-05,0.0
"[70,80)",0,499153,0,2021-01-05,0.0
"[70,80)",1,639080,0,2021-01-05,0.0
,0,4206863,0,2021-01-05,0.0
,1,4160466,0,2021-01-05,0.0
"[60,70)",0,629407,0,2021-01-06,0.0
"[60,70)",1,673507,0,2021-01-06,0.0
"[70,80)",0,499102,0,2021-01-06,0.0
"[70,80)",1,639056,0,2021-01-06,0.0
,0,4206773,0,2021-01-06,0.0
,1,4160354,0,2021-01-06,0.0
"[60,70)",0,629368,0,2021-01-07,0.0
"[60,70)",1,673490,0,2021-01-07,0.0
"[70,80)",0,499046,0,2021-01-07,0.0
"[70,80)",1,639017,0,2021-01-07,0.0
,0,4206700,0,2021-01-07,0.0
,1,4160236,0,2021-01-07,0.0
"[60,70)",0,629350,0,2021-01-08,0.0
"[60,70)",1,673477,0,2021-01-08,0.0
"[70,80)",0,498978,0,2021-01-08,0.0
"[70,80)",1,638980,0,2021-01-08,0.0
,0,4206617,0,2021-01-08,0.0
,1,4160132,0,2021-01-08,0.0
"[60,70)",0,629318,0,2021-01-09,0.0
"[60,70)",1,673459,0,2021-01-09,0.0
"[70,80)",0,498929,0,2021-01-09,0.0
"[70,80)",1,638945,0,2021-01-09,0.0
,0,4206536,0,2021-01-09,0.0
,1,4160027,0,2021-01-09,0.0
"[60,70)",0,629290,0,2021-01-10,0.0
"[60,70)",1,673444,0,2021-01-10,0.0
"[70,80)",0,498866,0,2021-01-10,0.0
"[70,80)",1,638900,0,2021-01-10,0.0
,0,4206448,0,2021-01-10,0.0
,1,4159913,0,2021-01-10,0.0
"[60,70)",0,629250,0,2021-01-11,0.0
"[60,70)",1,673430,0,2021-01-11,0.0
"[70,80)",0,498828,0,2021-01-11,0.0
"[70,80)",1,638868,0,2021-01-11,0.0
,0,4206370,0,2021-01-11,0.0
,1,4159824,0,2021-01-11,0.0
"[60,70)",0,629216,0,2021-01-12,0.0
"[60,70)",1,673414,0,2021-01-12,0.0
"[70,80)",0,498776,0,2021-01-12,0.0
"[70,80)",1,638829,0,2021-01-12,0.0
,0,4206295,0,2021-01-12,0.0
,1,4159715,0,2021-01-12,0.0
"[60,70)",0,629190,0,2021-01-13,0.0
"[60,70)",1,673400,0,2021-01-13,0.0
"[70,80)",0,498725,0,2021-01-13,0.0
"[70,80)",1,638801,0,2021-01-13,0.0
,0,4206221,0,2021-01-13,0.0
,1,4159606,0,2021-01-13,0.0
"[60,70)",0,629157,0,2021-01-14,0.0
"[60,70)",1,673387,0,2021-01-14,0.0
"[70,80)",0,498678,0,2021-01-14,0.0
"[70,80)",1,638768,0,2021-01-14,0.0
,0,4206136,0,2021-01-14,0.0
,1,4159487,0,2021-01-14,0.0
"[60,70)",0,629128,0,2021-01-15,0.0
"[60,70)",1,673372,0,2021-01-15,0.0
"[70,80)",0,498612,0,2021-01-15,0.0
"[70,80)",1,638732,0,2021-01-15,0.0
,0,4206049,0,2021-01-15,0.0
,1,4159376,0,2021-01-15,0.0
"[60,70)",0,629095,0,2021-01-16,0.0
"[60,70)",1,673359,0,2021-01-16,0.0
"[70,80)",0,498557,0,2021-01-16,0.0
"[70,80)",1,638703,0,2021-01-16,0.0
,0,4205946,0,2021-01-16,0.0
,1,4159246,0,2021-01-16,0.0
"[60,70)",0,629069,0,2021-01-17,0.0
"[60,70)",1,673340,0,2021-01-17,0.0
"[70,80)",0,498513,0,2021-01-17,0.0
"[70,80)",1,638664,0,2021-01-17,0.0
,0,4205860,0,2021-01-17,0.0
,1,4159155,0,2021-01-17,0.0
"[60,70)",0,629036,0,2021-01-18,0.0
"[60,70)",1,673322,0,2021-01-18,0.0
"[70,80)",0,498450,0,2021-01-18,0.0
"[70,80)",1,638624,0,2021-01-18,0.0
,0,4205772,0,2021-01-18,0.0
,1,4159054,0,2021-01-18,0.0
"[60,70)",0,629006,0,2021-01-19,0.0
"[60,70)",1,673306,0,2021-01-19,0.0
"[70,80)",0,498407,0,2021-01-19,0.0
"[70,80)",1,638588,0,2021-01-19,0.0
,0,4205681,0,2021-01-19,0.0
,1,4158933,0,2021-01-19,0.0
"[60,70)",0,628979,0,2021-01-20,0.0
"[60,70)",1,673295,0,2021-01-20,0.0
"[70,80)",0,498340,0,2021-01-20,0.0
"[70,80)",1,638539,0,2021-01-20,0.0
,0,4205603,0,2021-01-20,0.0
,1,4158829,0,2021-01-20,0.0
"[60,70)",0,628945,0,2021-01-21,0.0
"[60,70)",1,673283,0,2021-01-21,0.0
"[70,80)",0,498294,0,2021-01-21,0.0
"[70,80)",1,638500,0,2021-01-21,0.0
,0,4205518,0,2021-01-21,0.0
,1,4158736,0,2021-01-21,0.0
"[60,70)",0,628907,0,2021-01-22,0.0
"[60,70)",1,673273,0,2021-01-22,0.0
"[70,80)",0,498249,0,2021-01-22,0.0
"[70,80)",1,638469,0,2021-01-22,0.0
,0,4205423,0,2021-01-22,0.0
,1,4158626,0,2021-01-22,0.0
"[60,70)",0,628882,0,2021-01-23,0.0
"[60,70)",1,673259,0,2021-01-23,0.0
"[70,80)",0,498183,0,2021-01-23,0.0
"[70,80)",1,638440,0,2021-01-23,0.0
,0,4205338,0,2021-01-23,0.0
,1,4158515,0,2021-01-23,0.0
"[60,70)",0,628849,0,2021-01-24,0.0
"[60,70)",1,673240,0,2021-01-24,0.0
"[70,80)",0,498134,0,2021-01-24,0.0
"[70,80)",1,638402,0,2021-01-24,0.0
,0,4205241,0,2021-01-24,0.0
,1,4158414,0,2021-01-24,0.0
"[60,70)",0,628814,0,2021-01-25,0.0
"[60,70)",1,673229,0,2021-01-25,0.0
"[70,80)",0,498070,0,2021-01-25,0.0
"[70,80)",1,638365,0,2021-01-25,0.0
,0,4205165,0,2021-01-25,0.0
,1,4158311,0,2021-01-25,0.0
"[60,70)",0,628782,0,2021-01-26,0.0
"[60,70)",1,673212,0,2021-01-26,0.0
"[70,80)",0,498015,0,2021-01-26,0.0
"[70,80)",1,638330,0,2021-01-26,0.0
,0,4205084,0,2021-01-26,0.0
,1,4158200,0,2021-01-26,0.0
"[60,70)",0,628754,0,2021-01-27,0.0
"[60,70)",1,673191,0,2021-01-27,0.0
"[70,80)",0,497954,0,2021-01-27,0.0
"[70,80)",1,638289,0,2021-01-27,0.0
,0,4204994,0,2021-01-27,0.0
,1,4158085,0,2021-01-27,0.0
"[60,70)",0,628717,0,2021-01-28,0.0
"[60,70)",1,673179,0,2021-01-28,0.0
"[70,80)",0,497898,0,2021-01-28,0.0
"[70,80)",1,638254,0,2021-01-28,0.0
,0,4204899,0,2021-01-28,0.0
,1,4157965,0,2021-01-28,0.0
"[60,70)",0,628687,0,2021-01-29,0.0
"[60,70)",1,673162,0,2021-01-29,0.0
"[70,80)",0,497843,0,2021-01-29,0.0
"[70,80)",1,638218,0,2021-01-29,0.0
,0,4204800,0,2021-01-29,0.0
,1,4157846,0,2021-01-29,0.0
"[60,70)",0,628653,0,2021-01-30,0.0
"[60,70)",1,673151,0,2021-01-30,0.0
"[70,80)",0,497784,0,2021-01-30,0.0
"[70,80)",1,638180,0,2021-01-30,0.0
,0,4204720,0,2021-01-30,0.0
,1,4157719,0,2021-01-30,0.0
"[60,70)",0,628621,0,2021-01-31,0.0
"[60,70)",1,673131,0,2021-01-31,0.0
"[70,80)",0,497726,0,2021-01-31,0.0
"[70,80)",1,638147,0,2021-01-31,0.0
,0,4204644,0,2021-01-31,0.0
,1,4157622,0,2021-01-31,0.0
"[60,70)",0,628580,0,2021-02-01,0.0
"[60,70)",1,673112,0,2021-02-01,0.0
"[70,80)",0,497663,0,2021-02-01,0.0
"[70,80)",1,638118,0,2021-02-01,0.0
,0,4204574,0,2021-02-01,0.0
,1,4157516,0,2021-02-01,0.0
"[60,70)",0,628550,0,2021-02-02,0.0
"[60,70)",1,673081,0,2021-02-02,0.0
"[70,80)",0,497606,0,2021-02-02,0.0
"[70,80)",1,638072,0,2021-02-02,0.0
,0,4204494,0,2021-02-02,0.0
,1,4157405,0,2021-02-02,0.0
"[60,70)",0,628524,0,2021-02-03,0.0
"[60,70)",1,673068,0,2021-02-03,0.0
"[70,80)",0,497557,0,2021-02-03,0.0
"[70,80)",1,638039,0,2021-02-03,0.0
,0,4204397,0,2021-02-03,0.0
,1,4157296,0,2021-02-03,0.0
"[60,70)",0,628491,0,2021-02-04,0.0
"[60,70)",1,673056,0,2021-02-04,0.0
"[70,80)",0,497503,0,2021-02-04,0.0
"[70,80)",1,638000,0,2021-02-04,0.0
,0,4204315,0,2021-02-04,0.0
,1,4157192,0,2021-02-04,0.0
"[60,70)",0,628451,0,2021-02-05,0.0
"[60,70)",1,673040,0,2021-02-05,0.0
"[70,80)",0,497451,0,2021-02-05,0.0
"[70,80)",1,637963,0,2021-02-05,0.0
,0,4204255,0,2021-02-05,0.0
,1,4157073,0,2021-02-05,0.0
"[60,70)",0,628415,0,2021-02-06,0.0
"[60,70)",1,673020,0,2021-02-06,0.0
"[70,80)",0,497380,0,2021-02-06,0.0
"[70,80)",1,637921,0,2021-02-06,0.0
,0,4204146,0,2021-02-06,0.0
,1,4156953,0,2021-02-06,0.0
"[60,70)",0,628381,0,2021-02-07,0.0
"[60,70)",1,673005,0,2021-02-07,0.0
"[70,80)",0,497320,0,2021-02-07,0.0
"[70,80)",1,637880,0,2021-02-07,0.0
,0,4204063,0,2021-02-07,0.0
,1,4156804,0,2021-02-07,0.0
"[60,70)",0,628358,0,2021-02-08,0.0
"[60,70)",1,672994,0,2021-02-08,0.0
"[70,80)",0,497276,0,2021-02-08,0.0
"[70,80)",1,637833,0,2021-02-08,0.0
,0,4203970,0,2021-02-08,0.0
,1,4156695,0,2021-02-08,0.0
"[60,70)",0,628330,0,2021-02-09,0.0
"[60,70)",1,672977,0,2021-02-09,0.0
"[70,80)",0,497236,0,2021-02-09,0.0
"[70,80)",1,637786,0,2021-02-09,0.0
,0,4203897,0,2021-02-09,0.0
,1,4156585,0,2021-02-09,0.0
"[60,70)",0,628300,0,2021-02-10,0.0
"[60,70)",1,672961,0,2021-02-10,0.0
"[70,80)",0,497182,0,2021-02-10,0.0
"[70,80)",1,637749,0,2021-02-10,0.0
,0,4203798,0,2021-02-10,0.0
,1,4156475,0,2021-02-10,0.0
"[60,70)",0,628276,0,2021-02-11,0.0
"[60,70)",1,672953,0,2021-02-11,0.0
"[70,80)",0,497143,0,2021-02-11,0.0
"[70,80)",1,637708,0,2021-02-11,0.0
,0,4203702,0,2021-02-11,0.0
,1,4156384,0,2021-02-11,0.0
"[60,70)",0,628248,0,2021-02-12,0.0
"[60,70)",1,672941,0,2021-02-12,0.0
"[70,80)",0,497086,0,2021-02-12,0.0
"[70,80)",1,637672,0,2021-02-12,0.0
,0,4203610,0,2021-02-12,0.0
,1,4156267,0,2021-02-12,0.0
"[60,70)",0,628219,0,2021-02-13,0.0
"[60,70)",1,672929,0,2021-02-13,0.0
"[70,80)",0,497030,0,2021-02-13,0.0
"[70,80)",1,637636,0,2021-02-13,0.0
,0,4203523,0,2021-02-13,0.0
,1,4156150,0,2021-02-13,0.0
"[60,70)",0,628188,0,2021-02-14,0.0
"[60,70)",1,672919,0,2021-02-14,0.0
"[70,80)",0,496966,0,2021-02-14,0.0
"[70,80)",1,637597,0,2021-02-14,0.0
,0,4203427,0,2021-02-14,0.0
,1,4156029,0,2021-02-14,0.0
"[60,70)",0,628161,0,2021-02-15,0.0
"[60,70)",1,672906,0,2021-02-15,0.0
"[70,80)",0,496906,0,2021-02-15,0.0
"[70,80)",1,637558,0,2021-02-15,0.0
,0,4203330,0,2021-02-15,0.0
,1,4155929,0,2021-02-15,0.0
"[60,70)",0,628116,0,2021-02-16,0.0
"[60,70)",1,672894,0,2021-02-16,0.0
"[70,80)",0,496868,0,2021-02-16,0.0
"[70,80)",1,637521,0,2021-02-16,0.0
,0,4203243,0,2021-02-16,0.0
,1,4155818,0,2021-02-16,0.0
"[60,70)",0,628086,0,2021-02-17,0.0
"[60,70)",1,672874,0,2021-02-17,0.0
"[70,80)",0,496821,0,2021-02-17,0.0
"[70,80)",1,637475,0,2021-02-17,0.0
,0,4203163,0,2021-02-17,0.0
,1,4155720,0,2021-02-17,0.0
"[60,70)",0,628056,0,2021-02-18,0.0
"[60,70)",1,672858,0,2021-02-18,0.0
"[70,80)",0,496779,0,2021-02-18,0.0
"[70,80)",1,637440,0,2021-02-18,0.0
,0,4203077,0,2021-02-18,0.0
,1,4155606,0,2021-02-18,0.0
"[60,70)",0,628017,0,2021-02-19,0.0
"[60,70)",1,672838,0,2021-02-19,0.0
"[70,80)",0,496722,0,2021-02-19,0.0
"[70,80)",1,637401,0,2021-02-19,0.0
,0,4202995,0,2021-02-19,0.0
,1,4155484,0,2021-02-19,0.0
"[60,70)",0,627988,0,2021-02-20,0.0
"[60,70)",1,672816,0,2021-02-20,0.0
"[70,80)",0,496670,0,2021-02-20,0.0
"[70,80)",1,637364,0,2021-02-20,0.0
,0,4202909,0,2021-02-20,0.0
,1,4155368,0,2021-02-20,0.0
"[60,70)",0,627952,0,2021-02-21,0.0
"[60,70)",1,672805,0,2021-02-21,0.0
"[70,80)",0,496611,0,2021-02-21,0.0
"[70,80)",1,637323,0,2021-02-21,0.0
,0,4202821,0,2021-02-21,0.0
,1,4155267,0,2021-02-21,0.0
"[60,70)",0,627916,0,2021-02-22,0.0
"[60,70)",1,672793,0,2021-02-22,0.0
"[70,80)",0,496569,0,2021-02-22,0.0
"[70,80)",1,637295,0,2021-02-22,0.0
,0,4202738,0,2021-02-22,0.0
,1,4155160,0,2021-02-22,0.0
"[60,70)",0,627874,0,2021-02-23,0.0
"[60,70)",1,672777,0,2021-02-23,0.0
"[70,80)",0,496523,0,2021-02-23,0.0
"[70,80)",1,637265,0,2021-02-23,0.0
,0,4202656,0,2021-02-23,0.0
,1,4155054,0,2021-02-23,0.0
"[60,70)",0,627833,0,2021-02-24,0.0
"[60,70)",1,672762,0,2021-02-24,0.0
"[70,80)",0,496462,0,2021-02-24,0.0
"[70,80)",1,637231,0,2021-02-24,0.0
,0,4202586,0,2021-02-24,0.0
,1,4154947,0,2021-02-24,0.0
"[60,70)",0,627800,0,2021-02-25,0.0
"[60,70)",1,672749,0,2021-02-25,0.0
"[70,80)",0,496408,0,2021-02-25,0.0
"[70,80)",1,637189,0,2021-02-25,0.0
,0,4202483,0,2021-02-25,0.0
,1,4154827,0,2021-02-25,0.0
"[60,70)",0,627763,0,2021-02-26,0.0
"[60,70)",1,672731,0,2021-02-26,0.0
"[70,80)",0,496357,0,2021-02-26,0.0
"[70,80)",1,637156,0,2021-02-26,0.0
,0,4202409,0,2021-02-26,0.0
,1,4154714,0,2021-02-26,0.0
"[60,70)",0,627716,0,2021-02-27,0.0
"[60,70)",1,672714,0,2021-02-27,0.0
"[70,80)",0,496295,0,2021-02-27,0.0
"[70,80)",1,637115,0,2021-02-27,0.0
,0,4202318,0,2021-02-27,0.0
,1,4154591,0,2021-02-27,0.0
"[60,70)",0,627690,0,2021-02-28,0.0
"[60,70)",1,672696,0,2021-02-28,0.0
"[70,80)",0,496250,0,2021-02-28,0.0
"[70,80)",1,637084,0,2021-02-28,0.0
,0,4202216,0,2021-02-28,0.0
,1,4154479,0,2021-02-28,0.0
"[60,70)",0,627664,0,2021-03-01,0.0
"[60,70)",1,672679,0,2021-03-01,0.0
"[70,80)",0,496191,0,2021-03-01,0.0
"[70,80)",1,637049,0,2021-03-01,0.0
,0,4202145,0,2021-03-01,0.0
,1,4154377,0,2021-03-01,0.0
