rel_day,rmst_real,real_lower,real_upper,rmst_sim0,rmst_sim1,rmst_sim2,rmst_sim3,rmst_sim4,rmst_sim5,rmst_sim6,rmst_sim7,rmst_sim8,rmst_sim9,rmst_sim10,rmst_sim11,rmst_sim12,rmst_sim13,rmst_sim14,rmst_sim15,rmst_sim16,rmst_sim17,rmst_sim18,rmst_sim19,rmst_sim20,rmst_sim21,rmst_sim22,rmst_sim23,rmst_sim24,rmst_sim25,rmst_sim26,rmst_sim27,rmst_sim28,rmst_sim29,rmst_placebo,placebo_lower,placebo_upper,rmst_diff
-30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
-29,29.999997277716606,29.999996087162764,29.999998468270448,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,-2.7222833942630587e-06
-28,29.999984244605002,29.999981096503383,29.999987392706622,29.999907326720663,29.99988642984521,29.99985218963358,29.99991131927589,29.999861525755072,29.999901155671594,29.99990076014047,29.999869738162207,29.999921412579546,29.99989465333126,29.999855393420905,29.999815763482093,29.9998904568031,29.99988691417384,29.999865997792313,29.99988468825582,29.999886312545787,29.99988895080753,29.999852472800146,29.999895759424593,29.999873501140005,29.999862979250388,29.999889622968926,29.999886174919084,29.999859883794368,29.999864201649242,29.999848564107232,29.999893242618,29.999892393236575,29.999870994179563,29.999879025949493,29.99983954393532,29.999914094934393,0.000105218655509276
-27,29.999960589264415,29.999953771116754,29.999967407412075,29.999676287613003,29.99967319195833,29.999578005696275,29.99969040756472,29.99959394779779,29.999664493457608,29.999733281832615,29.99963559748592,29.999716103416855,29.999679374211226,29.999599563652172,29.999508370024024,29.999674620510966,29.999619638787664,29.999647324745048,29.999659228546587,29.999647584046883,29.99965058930122,29.999565029934068,29.999635588000576,29.999660699968057,29.99959198321834,29.999646316453696,29.99962510845145,29.999585613237336,29.99960784388055,29.999555952308746,29.99967142239516,29.999614992752818,29.999597223592378,29.999633512828073,29.99954286718045,29.999720827481188,0.0003270764363421108
-26,29.999926230487837,29.999915804027093,29.99993665694858,29.99928732000192,29.999363660836497,29.999200892316082,29.999335318062293,29.999206295684502,29.999306647641607,29.999405949342478,29.999288366180043,29.999398194773626,29.999336312197048,29.999214156781843,29.999052938160087,29.999326600781156,29.999213960059503,29.99927634775642,29.999272590584454,29.99931318986638,29.999331266008813,29.999154626661863,29.99923167790396,29.999328898480634,29.999194454975108,29.999264729452594,29.999240896708763,29.999173562728515,29.99925913009196,29.99916060164968,29.999351542135347,29.999245538231268,29.99919937976025,29.999264501527158,29.999126662323874,29.99940032728006,0.0006617289606793975
-25,29.999877520373538,29.99986127033542,29.999893770411656,29.998793931582306,29.998930068635953,29.99871558352045,29.998838474378257,29.998733788784023,29.998802176902768,29.998961852849344,29.998837188354386,29.99892476105454,29.99885860513829,29.998746078998483,29.99846133697301,29.99883052924062,29.998648983091982,29.9987886693347,29.998750870213403,29.998873769693226,29.998882379267293,29.9985976144883,29.99875463834334,29.99887478253809,29.998681664019337,29.998785458823537,29.998761257268022,29.998656684122725,29.998806445661927,29.9986381353394,29.998889994671565,29.998738441384116,29.99868192414298,29.998774869627216,29.998560138171595,29.998938809294636,0.001102650746322098
-24,29.999815100770807,29.999794823658778,29.999835377882835,29.998247636044436,29.99835631232973,29.998104340623904,29.998205918744084,29.998120842664868,29.99814122649519,29.99840119298408,29.998269921958393,29.998323769189852,29.998249206908046,29.998151326887687,29.997755325019693,29.998215724412997,29.997980776468296,29.998237912370968,29.99807577750346,29.998294604980266,29.998308439060736,29.997942911724884,29.998176617584704,29.99831365297065,29.998045181344494,29.998201927636067,29.998177144920337,29.998010042363457,29.998236029342095,29.99803103274559,29.99836744705865,29.9981354585952,29.998072843470837,29.998171684813453,29.997891325380955,29.998376727188145,0.0016434159573535112
-23,29.99973517146209,29.99970972064875,29.999760622275428,29.99758211407866,29.997646839222938,29.997378611729275,29.997452908367602,29.997373934648518,29.99738348942282,29.9977044144212,29.99758665149344,29.99763740970051,29.997531664417778,29.99741493378926,29.99694227800053,29.99745717708382,29.997170358518208,29.99756067840631,29.99728753259283,29.99764055816675,29.99758864413266,29.997173195890777,29.99744306550293,29.997534876337248,29.99730991389359,29.997515422223103,29.99746001216694,29.997257482979148,29.997564040154757,29.99734622903526,29.997644316840923,29.9974285923953,29.997352407618266,29.997445658441045,29.997107636375848,29.99766267240246,0.002289513021043632
-22,29.9996360756229,29.99960376036477,29.999668390881027,29.99678839775548,29.99680514800583,29.996442510530613,29.99658537173635,29.99649579518597,29.99647932633806,29.996892371384323,29.99674436691259,29.996831968816466,29.996710323682564,29.996641927423205,29.995977294774264,29.996587270749423,29.996206568550708,29.996835129118566,29.99644697379784,29.99678566165548,29.996793781161273,29.99625542516717,29.996601874534324,29.996651064162954,29.99646551109164,29.996686478433894,29.996580927481492,29.99632628997564,29.996705447779416,29.99651127126436,29.996880876826726,29.99660906166476,29.996498515912542,29.996594097729133,29.996143518262187,29.996884037830064,0.0030419778937655906
-21,29.999515260460125,29.99947815457765,29.999552366342602,29.995897021178767,29.99586499581674,29.995469160557125,29.99555633328045,29.995508313092685,29.995443333277173,29.995905392974915,29.99579420046619,29.995915023909347,29.995785040483085,29.99566378237733,29.994926888104523,29.995586304795726,29.995157925159667,29.995906975883845,29.995446774437102,29.995863017052432,29.995878559300547,29.995264390696782,29.99562221321227,29.995628637722948,29.995488922258872,29.995781274391604,29.995594055318005,29.995268930912328,29.995785234669402,29.995555991642025,29.995914615004633,29.99570666341274,29.995510704914885,29.995623022543466,29.995094389969502,29.995914727453428,0.003892237916659269
-20,29.99937894663152,29.99933475977988,29.99942313348316,29.994830893003442,29.99477890997726,29.99430010764109,29.99438697699398,29.994384646457924,29.994310846454113,29.994845570736544,29.994693374109023,29.99485159457482,29.994726687429743,29.994589452608647,29.993739188993338,29.99445664783342,29.994012953684237,29.99497103644831,29.994365174636005,29.99478200960549,29.994801751495967,29.99410314060574,29.994545308694118,29.99445330785396,29.994409365167012,29.994723067098548,29.994511866284842,29.99405566276332,29.99460994073846,29.99451747783097,29.9949088811161,29.99466813289782,29.9944195264137,29.9945251166716,29.99393766839424,29.99492597383246,0.0048538299599201196
-19,29.99921229132016,29.999162034637934,29.999262548002385,29.99366717910419,29.993573150744115,29.99304285164247,29.993138876786723,29.99315889489901,29.993075498791985,29.993685367688087,29.993475060002798,29.993719418478904,29.99358630000864,29.993427527472292,29.992344662224436,29.993233620790797,29.992709209088716,29.99393659830901,29.993130905575107,29.99356981466049,29.993652430322168,29.992908704630665,29.993314994548577,29.993147454040344,29.99320959211634,29.993572282733016,29.99332286355267,29.992810723647853,29.993381989850864,29.993340368138185,29.993741078182364,29.993464156514808,29.993177892144505,29.993317315556336,29.992608958701037,29.99379484621719,0.00589497576382314
-18,29.999033679163876,29.99897513641087,29.999092221916882,29.9922885342661,29.99218464205225,29.991506490135933,29.991714665862425,29.9917836846652,29.991706609662398,29.9924028172989,29.992135266054017,29.992298426922748,29.992272204145525,29.99213443913241,29.990944171544264,29.99185392365386,29.991288719474955,29.992758823851837,29.991799356601575,29.992291055295052,29.99239742506769,29.9915442629195,29.99205699539778,29.99170545082144,29.991860704475076,29.992247970106472,29.99201823559275,29.99138420453649,29.991973873620488,29.99200207667556,29.992468370684605,29.992169431179803,29.991835915877417,29.99196762491916,29.991193968794015,29.992548245305596,0.007066054244717179
-17,29.998826258029204,29.998758592137353,29.998893923921056,29.990823481064023,29.99068687316951,29.98994789748882,29.990252389448766,29.990245884651117,29.99015476892742,29.99099960929449,29.990746245967397,29.99083246258594,29.990806977322368,29.99061116695003,29.989253061689922,29.990294885322413,29.989679846231944,29.991401614524154,29.99031722411118,29.990804748063915,29.990988762599105,29.990085270851573,29.990561975465436,29.990108017454258,29.99039345639466,29.990895989260135,29.99058223737977,29.98978519722443,29.990466281232752,29.990574341329037,29.991029139120457,29.990715282961926,29.990374256874063,29.990480644832033,29.98956248048289,29.991131569856474,0.00834561319717153
-16,29.998597332209464,29.998524450865492,29.998670213553435,29.989271532221384,29.989091751472557,29.988298313956438,29.988630699789454,29.988616476017864,29.988486781343198,29.98945693955042,29.989225067007016,29.989300671100917,29.989314155989366,29.98910111565634,29.987551851601886,29.98876411873317,29.98812080005076,29.989989850314622,29.98879543426695,29.989229667878043,29.989463767759027,29.988426249335436,29.98904498877816,29.988398900173113,29.988746904932874,29.989312215165715,29.988980012845882,29.98818225127251,29.988828897895484,29.989150926780475,29.989557977326935,29.989243678209785,29.988815929398516,29.98891326422747,29.987964339227318,29.98967674239855,0.009684067981993394
-15,29.998335222695022,29.998249765911236,29.99842067947881,29.98758098384341,29.987304560813147,29.986440087225855,29.986841258079984,29.98696041060469,29.98684866906498,29.98783076324403,29.987671044470662,29.987635517013853,29.98779578836346,29.987355849145267,29.985840671395163,29.987080747807873,29.986337704029804,29.988396267357796,29.987089654280293,29.987543438588535,29.987865497473365,29.98678681042813,29.987506112636936,29.986567693204353,29.987142995220324,29.987673250474085,29.98739568341484,29.986493127895372,29.98708591545524,29.987421039946614,29.98794269316886,29.987584207752157,29.98702052564045,29.987234632267995,29.98620102005528,29.988067426070817,0.011100590427027157
-14,29.99804496078764,29.997936911816137,29.998153009759147,29.98570410415318,29.98556611677638,29.9846229248503,29.985040379645433,29.985052116841853,29.98500876323657,29.986052254033613,29.98586996542325,29.985718166178522,29.98595115111851,29.985540132591133,29.98381519923006,29.985258809842804,29.984364292572973,29.98673393123283,29.98524842237199,29.985786071081325,29.98599564678692,29.9849149841875,29.98564006141645,29.984627978505717,29.985334536584922,29.986047075841725,29.98549367344738,29.984556062454832,29.98520676585404,29.985670918180414,29.986132676843965,29.985799700118502,29.985213660674212,29.98539888473591,29.98421329190367,29.986298021800902,0.012646076051730404
