rel_day,rmst,n,rmst_se,rmst_ci_lower,rmst_ci_upper,method,rmst_km
-30,30.0,6979435,0.0,30.0,30.0,bootstrap_high_tau,30.0
-29,29.999997277716606,6979435,6.074254298628256e-07,29.999996087162764,29.999998468270448,bootstrap_high_tau,29.999997277716606
-28,29.999984244605002,6979435,1.606174295526694e-06,29.999981096503383,29.999987392706622,bootstrap_high_tau,29.999984239351328
-27,29.999960589264415,6979435,3.4786467661616906e-06,29.999953771116754,29.999967407412075,bootstrap_high_tau,29.99996074161626
-26,29.999926230487837,6979435,5.319622829255246e-06,29.999915804027093,29.99993665694858,bootstrap_high_tau,29.999926211387343
-25,29.999877520373538,6979435,8.29083577521499e-06,29.99986127033542,29.999893770411656,bootstrap_high_tau,29.99987806961469
-24,29.999815100770807,6979435,1.0345465320933422e-05,29.999794823658778,29.999835377882835,bootstrap_high_tau,29.999815456596973
-23,29.99973517146209,6979435,1.298510884689864e-05,29.99970972064875,29.999760622275428,bootstrap_high_tau,29.999734503783532
-22,29.9996360756229,6979435,1.6487376595937428e-05,29.99960376036477,29.999668390881027,bootstrap_high_tau,29.999635784292977
-21,29.999515260460125,6979435,1.8931572692826964e-05,29.99947815457765,29.999552366342602,bootstrap_high_tau,29.999516432470145
-20,29.99937894663152,6979435,2.2544312060413175e-05,29.99933475977988,29.99942313348316,bootstrap_high_tau,29.999378310942692
-19,29.99921229132016,6979435,2.5641164401640143e-05,29.999162034637934,29.999262548002385,bootstrap_high_tau,29.999217121245483
-18,29.999033679163876,6979435,2.9868751533812168e-05,29.99897513641087,29.999092221916882,bootstrap_high_tau,29.999034296162385
-17,29.998826258029204,6979435,3.45234142104349e-05,29.998758592137353,29.998893923921056,bootstrap_high_tau,29.99882711331819
-16,29.998597332209464,6979435,3.718435916879271e-05,29.998524450865492,29.998670213553435,bootstrap_high_tau,29.998594283184367
-15,29.998335222695022,6979435,4.360039989147816e-05,29.998249765911236,29.99842067947881,bootstrap_high_tau,29.998334086381707
-14,29.99804496078764,6979435,5.512702627867027e-05,29.997936911816137,29.998153009759147,bootstrap_high_tau,29.99804795568292
-13,29.99773743877045,6979435,5.312011781032457e-05,29.997633323339542,29.997841554201358,bootstrap_high_tau,29.997735891058284
-12,29.99739861489327,6979435,6.434119025153517e-05,29.997272506160378,29.997524723626164,bootstrap_high_tau,29.997398179011682
-11,29.997029115512376,6979435,7.003286106698767e-05,29.996891851104685,29.997166379920067,bootstrap_high_tau,29.997034532938866
-10,29.99663138107415,6979435,7.185654217815885e-05,29.99649054225148,29.99677221989682,bootstrap_high_tau,29.99663563943466
-9,29.996205521914998,6979435,8.175388355966933e-05,29.99604528430322,29.996365759526775,bootstrap_high_tau,29.996206943224244
-8,29.99574399487916,6979435,8.986532944760504e-05,29.995567858833443,29.995920130924876,bootstrap_high_tau,29.99574686820296
-7,29.9952498764962,6979435,9.174596569749264e-05,29.99507005440343,29.995429698588968,bootstrap_high_tau,29.9952524052367
-6,29.994723952862806,6979435,0.00010038320178577563,29.994527201787307,29.994920703938305,bootstrap_high_tau,29.99472455722105
-5,29.994160011534454,6979435,0.00011917280214854305,29.993926432842244,29.994393590226665,bootstrap_high_tau,29.994167765856563
-4,29.993584002170017,6979435,0.00011132945372740208,29.993365796440713,29.99380220789932,bootstrap_high_tau,29.993585899758347
-3,29.992982920427092,6979435,0.00012668056071556133,29.99273462652809,29.993231214326094,bootstrap_high_tau,29.992976523020186
-2,29.992346238760454,6979435,0.00012596111627281956,29.99209935497256,29.99259312254835,bootstrap_high_tau,29.992341068487914
-1,29.991682221504973,6979435,0.00013921378522816763,29.991409362485925,29.991955080524022,bootstrap_high_tau,29.991679392873184
0,29.991071492847052,6979416,0.0001537615582712324,29.990770120192842,29.991372865501262,bootstrap_high_tau,29.991068984985212
1,29.990673038132908,6979303,0.00016180766133072874,29.9903558951167,29.990990181149115,bootstrap_high_tau,29.990662819005266
2,29.99023562433198,6979224,0.00015564989618410056,29.98993055053546,29.990540698128502,bootstrap_high_tau,29.990241024267867
3,29.98982808190222,6979142,0.00015584678002088042,29.98952262221338,29.990133541591064,bootstrap_high_tau,29.989818640540502
