age_group,sex,n_at_risk,n_vacc,calendar_day,hazard
"[60,70)",0,3124,0,2020-12-27,0.0
"[60,70)",1,3329,0,2020-12-27,0.0
"[70,80)",0,2314,0,2020-12-27,0.0
"[70,80)",1,3101,0,2020-12-27,0.0
,0,21107,0,2020-12-27,0.0
,1,21083,0,2020-12-27,0.0
"[60,70)",0,3123,0,2020-12-28,0.0
"[60,70)",1,3329,0,2020-12-28,0.0
"[70,80)",0,2314,0,2020-12-28,0.0
"[70,80)",1,3101,0,2020-12-28,0.0
,0,21107,0,2020-12-28,0.0
,1,21082,0,2020-12-28,0.0
"[60,70)",0,3123,0,2020-12-29,0.0
"[60,70)",1,3329,0,2020-12-29,0.0
"[70,80)",0,2314,0,2020-12-29,0.0
"[70,80)",1,3100,0,2020-12-29,0.0
,0,21107,0,2020-12-29,0.0
,1,21081,0,2020-12-29,0.0
"[60,70)",0,3123,0,2020-12-30,0.0
"[60,70)",1,3329,0,2020-12-30,0.0
"[70,80)",0,2312,0,2020-12-30,0.0
"[70,80)",1,3099,0,2020-12-30,0.0
,0,21106,0,2020-12-30,0.0
,1,21080,0,2020-12-30,0.0
"[60,70)",0,3123,0,2020-12-31,0.0
"[60,70)",1,3329,0,2020-12-31,0.0
"[70,80)",0,2312,0,2020-12-31,0.0
"[70,80)",1,3099,0,2020-12-31,0.0
,0,21105,0,2020-12-31,0.0
,1,21080,0,2020-12-31,0.0
"[60,70)",0,3133,0,2021-01-01,0.0
"[60,70)",1,3313,0,2021-01-01,0.0
"[70,80)",0,2493,0,2021-01-01,0.0
"[70,80)",1,3236,0,2021-01-01,0.0
,0,20913,0,2021-01-01,0.0
,1,20956,0,2021-01-01,0.0
"[60,70)",0,3133,0,2021-01-02,0.0
"[60,70)",1,3313,0,2021-01-02,0.0
"[70,80)",0,2493,0,2021-01-02,0.0
"[70,80)",1,3236,0,2021-01-02,0.0
,0,20912,0,2021-01-02,0.0
,1,20956,0,2021-01-02,0.0
"[60,70)",0,3132,0,2021-01-03,0.0
"[60,70)",1,3313,0,2021-01-03,0.0
"[70,80)",0,2493,0,2021-01-03,0.0
"[70,80)",1,3236,0,2021-01-03,0.0
,0,20912,0,2021-01-03,0.0
,1,20956,0,2021-01-03,0.0
"[60,70)",0,3132,0,2021-01-04,0.0
"[60,70)",1,3313,0,2021-01-04,0.0
"[70,80)",0,2493,0,2021-01-04,0.0
"[70,80)",1,3235,0,2021-01-04,0.0
,0,20912,0,2021-01-04,0.0
,1,20954,0,2021-01-04,0.0
"[60,70)",0,3131,0,2021-01-05,0.0
"[60,70)",1,3313,0,2021-01-05,0.0
"[70,80)",0,2493,0,2021-01-05,0.0
"[70,80)",1,3235,0,2021-01-05,0.0
,0,20912,0,2021-01-05,0.0
,1,20953,0,2021-01-05,0.0
"[60,70)",0,3131,0,2021-01-06,0.0
"[60,70)",1,3313,0,2021-01-06,0.0
"[70,80)",0,2493,0,2021-01-06,0.0
"[70,80)",1,3235,0,2021-01-06,0.0
,0,20912,0,2021-01-06,0.0
,1,20951,0,2021-01-06,0.0
"[60,70)",0,3131,0,2021-01-07,0.0
"[60,70)",1,3313,0,2021-01-07,0.0
"[70,80)",0,2492,0,2021-01-07,0.0
"[70,80)",1,3235,0,2021-01-07,0.0
,0,20912,0,2021-01-07,0.0
,1,20951,0,2021-01-07,0.0
"[60,70)",0,3131,0,2021-01-08,0.0
"[60,70)",1,3313,0,2021-01-08,0.0
"[70,80)",0,2492,0,2021-01-08,0.0
"[70,80)",1,3234,0,2021-01-08,0.0
,0,20912,0,2021-01-08,0.0
,1,20950,0,2021-01-08,0.0
"[60,70)",0,3131,0,2021-01-09,0.0
"[60,70)",1,3313,0,2021-01-09,0.0
"[70,80)",0,2492,0,2021-01-09,0.0
"[70,80)",1,3234,0,2021-01-09,0.0
,0,20912,0,2021-01-09,0.0
,1,20949,0,2021-01-09,0.0
"[60,70)",0,3131,0,2021-01-10,0.0
"[60,70)",1,3313,0,2021-01-10,0.0
"[70,80)",0,2491,0,2021-01-10,0.0
"[70,80)",1,3234,0,2021-01-10,0.0
,0,20911,0,2021-01-10,0.0
,1,20949,0,2021-01-10,0.0
"[60,70)",0,3131,0,2021-01-11,0.0
"[60,70)",1,3313,0,2021-01-11,0.0
"[70,80)",0,2491,0,2021-01-11,0.0
"[70,80)",1,3233,0,2021-01-11,0.0
,0,20911,0,2021-01-11,0.0
,1,20947,0,2021-01-11,0.0
"[60,70)",0,3131,0,2021-01-12,0.0
"[60,70)",1,3313,0,2021-01-12,0.0
"[70,80)",0,2491,0,2021-01-12,0.0
"[70,80)",1,3233,0,2021-01-12,0.0
,0,20910,0,2021-01-12,0.0
,1,20947,0,2021-01-12,0.0
"[60,70)",0,3131,0,2021-01-13,0.0
"[60,70)",1,3313,0,2021-01-13,0.0
"[70,80)",0,2491,0,2021-01-13,0.0
"[70,80)",1,3232,0,2021-01-13,0.0
,0,20910,0,2021-01-13,0.0
,1,20946,0,2021-01-13,0.0
"[60,70)",0,3130,0,2021-01-14,0.0
"[60,70)",1,3313,0,2021-01-14,0.0
"[70,80)",0,2491,0,2021-01-14,0.0
"[70,80)",1,3232,0,2021-01-14,0.0
,0,20910,0,2021-01-14,0.0
,1,20946,0,2021-01-14,0.0
"[60,70)",0,3130,0,2021-01-15,0.0
"[60,70)",1,3313,0,2021-01-15,0.0
"[70,80)",0,2491,0,2021-01-15,0.0
"[70,80)",1,3232,0,2021-01-15,0.0
,0,20910,0,2021-01-15,0.0
,1,20945,0,2021-01-15,0.0
"[60,70)",0,3130,0,2021-01-16,0.0
"[60,70)",1,3313,0,2021-01-16,0.0
"[70,80)",0,2491,0,2021-01-16,0.0
"[70,80)",1,3232,0,2021-01-16,0.0
,0,20910,0,2021-01-16,0.0
,1,20945,0,2021-01-16,0.0
"[60,70)",0,3130,0,2021-01-17,0.0
"[60,70)",1,3313,0,2021-01-17,0.0
"[70,80)",0,2490,0,2021-01-17,0.0
"[70,80)",1,3232,0,2021-01-17,0.0
,0,20910,0,2021-01-17,0.0
,1,20945,0,2021-01-17,0.0
"[60,70)",0,3130,0,2021-01-18,0.0
"[60,70)",1,3313,0,2021-01-18,0.0
"[70,80)",0,2489,0,2021-01-18,0.0
"[70,80)",1,3231,0,2021-01-18,0.0
,0,20909,0,2021-01-18,0.0
,1,20942,0,2021-01-18,0.0
"[60,70)",0,3130,0,2021-01-19,0.0
"[60,70)",1,3313,0,2021-01-19,0.0
"[70,80)",0,2489,0,2021-01-19,0.0
"[70,80)",1,3230,0,2021-01-19,0.0
,0,20909,0,2021-01-19,0.0
,1,20941,0,2021-01-19,0.0
"[60,70)",0,3130,0,2021-01-20,0.0
"[60,70)",1,3313,0,2021-01-20,0.0
"[70,80)",0,2489,0,2021-01-20,0.0
"[70,80)",1,3229,0,2021-01-20,0.0
,0,20909,0,2021-01-20,0.0
,1,20940,0,2021-01-20,0.0
"[60,70)",0,3129,0,2021-01-21,0.0
"[60,70)",1,3313,0,2021-01-21,0.0
"[70,80)",0,2487,0,2021-01-21,0.0
"[70,80)",1,3229,0,2021-01-21,0.0
,0,20909,0,2021-01-21,0.0
,1,20939,0,2021-01-21,0.0
"[60,70)",0,3129,0,2021-01-22,0.0
"[60,70)",1,3313,0,2021-01-22,0.0
"[70,80)",0,2486,0,2021-01-22,0.0
"[70,80)",1,3229,0,2021-01-22,0.0
,0,20909,0,2021-01-22,0.0
,1,20938,0,2021-01-22,0.0
"[60,70)",0,3129,0,2021-01-23,0.0
"[60,70)",1,3313,0,2021-01-23,0.0
"[70,80)",0,2486,0,2021-01-23,0.0
"[70,80)",1,3228,0,2021-01-23,0.0
,0,20908,0,2021-01-23,0.0
,1,20938,0,2021-01-23,0.0
"[60,70)",0,3129,0,2021-01-24,0.0
"[60,70)",1,3313,0,2021-01-24,0.0
"[70,80)",0,2486,0,2021-01-24,0.0
"[70,80)",1,3228,0,2021-01-24,0.0
,0,20907,0,2021-01-24,0.0
,1,20938,0,2021-01-24,0.0
"[60,70)",0,3129,0,2021-01-25,0.0
"[60,70)",1,3313,0,2021-01-25,0.0
"[70,80)",0,2486,0,2021-01-25,0.0
"[70,80)",1,3228,0,2021-01-25,0.0
,0,20907,0,2021-01-25,0.0
,1,20938,0,2021-01-25,0.0
"[60,70)",0,3128,0,2021-01-26,0.0
"[60,70)",1,3313,0,2021-01-26,0.0
"[70,80)",0,2486,0,2021-01-26,0.0
"[70,80)",1,3227,0,2021-01-26,0.0
,0,20906,0,2021-01-26,0.0
,1,20937,0,2021-01-26,0.0
"[60,70)",0,3127,0,2021-01-27,0.0
"[60,70)",1,3313,0,2021-01-27,0.0
"[70,80)",0,2486,0,2021-01-27,0.0
"[70,80)",1,3227,0,2021-01-27,0.0
,0,20906,0,2021-01-27,0.0
,1,20936,0,2021-01-27,0.0
"[60,70)",0,3127,0,2021-01-28,0.0
