rel_day,n,median_censor_time,prop_censored_before_tau,prop_at_tau,min_Y,flag_median_censor_lt_tau,flag_prop_censored_gt_50pct,flag_unreliable
-15,34911,693.0,2.8644266849989973e-05,0.9997708458652,,False,False,False
-14,34911,692.0,2.8644266849989973e-05,0.9997422015983501,,False,False,False
-13,34911,691.0,2.8644266849989973e-05,0.9997422015983501,,False,False,False
-12,34911,690.0,2.8644266849989973e-05,0.9997135573315001,,False,False,False
-11,34911,689.0,2.8644266849989973e-05,0.9997135573315001,,False,False,False
-10,34911,688.0,2.8644266849989973e-05,0.9996562687978001,,False,False,False
-9,34911,687.0,2.8644266849989973e-05,0.9995989802641001,,False,False,False
-8,34911,686.0,5.7288533699979946e-05,0.9994557589298502,,False,False,False
-7,34911,685.0,5.7288533699979946e-05,0.9994271146630002,,False,False,False
-6,34911,684.0,5.7288533699979946e-05,0.9994271146630002,,False,False,False
-5,34911,683.0,5.7288533699979946e-05,0.9994271146630002,,False,False,False
-4,34911,682.0,5.7288533699979946e-05,0.9994271146630002,,False,False,False
-3,34911,681.0,5.7288533699979946e-05,0.9993698261293003,,False,False,False
-2,34911,680.0,5.7288533699979946e-05,0.9993698261293003,,False,False,False
-1,34911,679.0,5.7288533699979946e-05,0.9993411818624502,,False,False,False
0,34911,678.0,5.7288533699979946e-05,0.9993411818624502,,False,False,False
1,34910,677.0,2.864508736751647e-05,0.9993411629905471,,False,False,False
2,34910,676.0,2.864508736751647e-05,0.9992838728158121,,False,False,False
3,34910,675.0,2.864508736751647e-05,0.9992838728158121,,False,False,False
4,34910,674.0,2.864508736751647e-05,0.9991979375537096,,False,False,False
5,34910,673.0,2.864508736751647e-05,0.999112002291607,,False,False,False
6,34910,672.0,2.864508736751647e-05,0.9990260670295045,,False,False,False
7,34910,671.0,2.864508736751647e-05,0.9989974219421369,,False,False,False
8,34909,670.0,2.8645907932051906e-05,0.9990260391303102,,False,False,False
9,34908,669.0,2.8646728543600322e-05,0.998997364500974,,False,False,False
10,34907,668.0,2.8647549202165755e-05,0.9989973357779242,,False,False,False
11,34907,667.0,2.8647549202165755e-05,0.9989973357779242,,False,False,False
12,34907,666.0,2.8647549202165755e-05,0.9989973357779242,,False,False,False
13,34904,665.0,2.8650011460004585e-05,0.9990545496218198,,False,False,False
14,34903,664.0,2.865083230667851e-05,0.999025871701573,,False,False,False
15,34902,663.0,2.8651653200389662e-05,0.9990258437911868,,False,False,False
