rel_day,rmst_real,real_lower,real_upper,rmst_sim0,rmst_sim1,rmst_sim2,rmst_placebo,placebo_lower,placebo_upper,rmst_diff
-15,29.99930487305827,29.998840951349052,29.99976879476749,29.97948717948718,29.995858895705524,29.99226686884003,29.98920431467758,29.98012616395482,29.99567929436225,0.010100558380692348
-14,29.99912823179926,29.998399826838572,29.99985663675995,29.97567910637218,29.992791411042948,29.989638615112465,29.986036377509198,29.976377081809193,29.992633771246425,0.013091854290063765
-13,29.998933459345984,29.99824810440553,29.99961881428644,29.970982482863676,29.98793456032719,29.987945413191813,29.98228748546089,29.97183008673685,29.98794487054858,0.016645973885093923
-12,29.99869090588493,29.997898362092357,29.999483449677506,29.977050012693574,29.98941717791411,29.98622693960071,29.984231376736133,29.97750885903893,29.98925766599844,0.014459529148798111
-11,29.998085548566902,29.997259872459114,29.99891122467469,29.97161716171617,29.987474437627817,29.980768258781904,29.979953286041965,29.97207471656946,29.98713912868552,0.018132262524936493
-10,29.997783820669234,29.996331351800656,29.999236289537812,29.96689515105357,29.986835378323114,29.983093252463984,29.978941260613556,29.967705056124093,29.98664827203016,0.018842560055677637
-9,29.997663509797704,29.99619767071488,29.999129348880526,29.965041888804265,29.98473926380368,29.97894869850897,29.97624328370564,29.965737229289502,29.98444973553894,0.021420226092065064
-8,29.99701137855023,29.995167776897127,29.998854980203333,29.960751459761365,29.98445807770961,29.972731867576446,29.972647135015805,29.96135048015212,29.983871767202952,0.0243642435344249
-7,29.99674113035113,29.994760573843127,29.99872168685913,29.957755775577557,29.980112474437625,29.969370735405604,29.96907966180693,29.95833652356896,29.979575387486022,0.027661468544199153
-6,29.995902790417702,29.993676419630155,29.99812916120525,29.963340949479566,29.971676891615534,29.965832701541576,29.966950180878893,29.963465537082666,29.971384682111836,0.02895260953880907
-5,29.995793024811487,29.993289546890576,29.998296502732398,29.95798425996447,29.971983640081792,29.96340662117766,29.96445817374131,29.95825537802513,29.971554789136587,0.031334851070177194
-4,29.995196203169606,29.992460454140637,29.997931952198574,29.951408987052556,29.9683026584867,29.95913570887036,29.959615784803205,29.951795323143447,29.967844311005884,0.03558041836640058
-3,29.994721649089097,29.992399253957835,29.99704404422036,29.950418888042655,29.966053169734145,29.955168056608542,29.95721337146178,29.95065634647095,29.965508914077866,0.037508277627317455
-2,29.994027498451885,29.991205575305184,29.996849421598586,29.941177342157168,29.959483640081796,29.954586808188022,29.951749263475662,29.94184781545871,29.959238798487107,0.04227823497622296
-1,29.993519501582576,29.990666801543618,29.996372201621533,29.946356244686065,29.956569529652345,29.95905989385898,29.953995222732463,29.94686690893438,29.95893537564865,0.03952427885011289
0,29.992414808338843,29.989373520447344,29.995456096230342,29.92188174258897,29.946242331288335,29.948647965630524,29.938924013169274,29.92309977202394,29.948527683913415,0.05349079516956934
1,29.99148379502666,29.987654416403856,29.995313173649464,29.91550884796112,29.940005112474427,29.94334091483447,29.932951625090002,29.916733661186786,29.943174124716467,0.05853216993665811
2,29.991388307053416,29.987670611381855,29.995106002724977,29.951977954416904,29.94562883435582,29.94609552691433,29.947900771895686,29.945652168983745,29.951683833041777,0.043487535157730406
3,29.991132403412283,29.987580497415063,29.994684309409504,29.941077298105856,29.935710633946822,29.939499620924945,29.93876251765921,29.935900083295728,29.94099841424681,0.05236988575307322
4,29.99016132485353,29.98606179037901,29.99426085932805,29.957582558937386,29.93928936605316,29.94030831437958,29.94572674645671,29.93934031346948,29.956718846709496,0.04443457839682097
5,29.989133919110273,29.984650094189046,29.9936177440315,29.95285207411444,29.920756646216763,29.963808801213965,29.94580584051506,29.922361417611647,29.96326096485899,0.043328078595212816
6,29.988029151434414,29.983895514744194,29.992162788124634,29.95818817489854,29.91467280163598,29.956727364693982,29.94319611374284,29.91677552978888,29.958115134388315,0.04483303769157487
7,29.987313013990217,29.98130526714724,29.993320760833196,29.940437483850268,29.907592024539863,29.941704602933736,29.92991137044129,29.90923429750538,29.941641246979565,0.057401643548928405
8,29.987787210106987,29.983190027686625,29.99238439252735,29.943236523765446,29.903246421267884,29.949165402124432,29.931882782385923,29.905245926392762,29.948868958206482,0.055904427721063854
9,29.986428947810605,29.981085140107652,29.99177275551356,29.93380270480761,29.916244563827068,29.943196762771876,29.931081343802187,29.917122470876095,29.94272705987366,0.05534760400841776
10,29.98672649931863,29.98102258934086,29.992430409296404,29.924418676109454,29.916551547710405,29.939908952959026,29.926959725592962,29.916944904130357,29.939134439116547,0.059766773725669964
11,29.985165243418002,29.979419236384963,29.990911250451042,29.921236819831048,29.915016628293674,29.942185128983304,29.926146192369345,29.915327637870543,29.94113771352569,0.0590190510486579
12,29.98458747626756,29.9795764559388,29.98959849659632,29.944660477448988,29.914837554361725,29.948533131006574,29.936010387605762,29.91632870051609,29.948339498328693,0.048577088661797774
13,29.987489345608065,29.982383504276413,29.992595186939717,29.93732361897882,29.932053251408096,29.939074355083452,29.93615040849012,29.93231676978663,29.93898681827822,0.05133893711794357
14,29.985377334127733,29.97927662236398,29.991478045891487,29.932833824151878,29.934331797235025,29.961047835990904,29.942737819125938,29.932908722806037,29.95971203405311,0.0426395150017953
15,29.985798096036735,29.980122091003032,29.991474101070438,29.931535791168514,29.919175627240147,29.954644393824363,29.935118604077676,29.919793635436566,29.95348896369157,0.050679491959058964
