rel_day,rmst,n,rmst_se,rmst_ci_lower,rmst_ci_upper,method,rmst_km
-15,29.99930487305827,34911,0.00023669474960211448,29.998840951349052,29.99976879476749,bootstrap_high_tau,29.999283872815813
-14,29.99912823179926,34911,0.00037163518402560334,29.998399826838572,29.99985663675995,bootstrap_high_tau,29.999054712116873
-13,29.998933459345984,34911,0.00034967088798643206,29.99824810440553,29.99961881428644,bootstrap_high_tau,29.99882555141793
-12,29.99869090588493,34911,0.0004043590778447339,29.997898362092357,29.999483449677506,bootstrap_high_tau,29.99856774563162
-11,29.998085548566902,34911,0.00042126332029930797,29.997259872459114,29.99891122467469,bootstrap_high_tau,29.998309939845313
-10,29.997783820669234,34911,0.0007410555451927488,29.996331351800656,29.999236289537812,bootstrap_high_tau,29.99799484388427
-9,29.997663509797704,34911,0.000747877083071862,29.99619767071488,29.999129348880526,bootstrap_high_tau,29.997622457748495
-8,29.99701137855023,34911,0.0009406130883172576,29.995167776897127,29.998854980203333,bootstrap_high_tau,29.997135491263247
-7,29.99674113035113,34911,0.0010104880142864996,29.994760573843127,29.99872168685913,bootstrap_high_tau,29.996619878869666
-6,29.995902790417702,34911,0.0011359034630337515,29.993676419630155,29.99812916120525,bootstrap_high_tau,29.996104266476088
-5,29.995793024811487,34911,0.0012772846535266402,29.993289546890576,29.998296502732398,bootstrap_high_tau,29.995588654082507
-4,29.995196203169606,34911,0.0013957903209015422,29.992460454140637,29.997931952198574,bootstrap_high_tau,29.995073041688926
-3,29.994721649089097,34911,0.0011848954751346229,29.992399253957835,29.99704404422036,bootstrap_high_tau,29.99450013747868
-2,29.994027498451885,34911,0.0014397567075006637,29.991205575305184,29.996849421598586,bootstrap_high_tau,29.993927233268437
-1,29.993519501582576,34911,0.0014554592035490356,29.990666801543618,29.996372201621533,bootstrap_high_tau,29.993325683149862
0,29.992414808338843,34911,0.0015516774956630811,29.989373520447344,29.995456096230342,bootstrap_high_tau,29.992724133031285
1,29.99148379502666,34910,0.001953764603470802,29.987654416403856,29.995313173649464,bootstrap_high_tau,29.992093937004377
2,29.991388307053416,34910,0.0018967835058980914,29.987670611381855,29.995106002724977,bootstrap_high_tau,29.991406449160806
3,29.991132403412283,34910,0.0018121969373573743,29.987580497415063,29.994684309409504,bootstrap_high_tau,29.990718961317235
4,29.99016132485353,34910,0.0020915992216943543,29.98606179037901,29.99426085932805,bootstrap_high_tau,29.989945535748667
5,29.989133919110273,34910,0.002287665776135723,29.984650094189046,29.9936177440315,bootstrap_high_tau,29.989086172455103
6,29.988029151434414,34910,0.0021089983113366487,29.983895514744194,29.992162788124634,bootstrap_high_tau,29.988140871436546
7,29.987313013990217,34910,0.003065176960704173,29.98130526714724,29.993320760833196,bootstrap_high_tau,29.987166924509655
8,29.987787210106987,34909,0.002345501234878023,29.983190027686625,29.99238439252735,bootstrap_high_tau,29.987051959306008
9,29.986428947810605,34908,0.002726432501507109,29.981085140107652,29.99177275551356,bootstrap_high_tau,29.986908339145096
10,29.98672649931863,34907,0.002910158151923594,29.98102258934086,29.992430409296404,bootstrap_high_tau,29.98676470993439
11,29.985165243418002,34907,0.0029316362413470023,29.979419236384963,29.990911250451042,bootstrap_high_tau,29.98579067684082
12,29.98458747626756,34907,0.0025566430248768397,29.9795764559388,29.98959849659632,bootstrap_high_tau,29.984816643747248
13,29.987489345608065,34904,0.0026050210875776737,29.982383504276413,29.992595186939717,bootstrap_high_tau,29.986391072124324
14,29.985377334127733,34903,0.003112608042731269,29.97927662236398,29.991478045891487,bootstrap_high_tau,29.986276060002037
15,29.985798096036735,34902,0.002895920935561675,29.980122091003032,29.991474101070438,bootstrap_high_tau,29.986161040467994
