rel_bin,coef_log_hr,se,ci_lower,ci_upper,n_at_risk,n_deaths
-60,0.04004200645392509,0.023190681665802713,-0.005411729611048223,0.08549574251889841,10798475,3800
-53,0.05502522534893112,0.02310813538419322,0.009733279995912406,0.10031717070194983,10794654,3856
-46,-0.014433356154435684,0.023510350582658646,-0.06051364329644664,0.03164693098757526,10790880,3596
-39,0.013060884494036216,0.02335135576402565,-0.032707772803454056,0.05882954179152649,10787257,3695
-32,-0.022127735833355856,0.02356005240548836,-0.06830543854811304,0.02404996688140133,10783510,3566
-25,-0.04506750159858348,0.02369970944730996,-0.091518932115311,0.0013839289181440395,10780020,3484
-18,-0.030208863500325284,0.023612184415153743,-0.07648874495402662,0.01607101795337605,10776502,3535
-11,-0.008611751666085363,0.02348577057162155,-0.05464386198646359,0.03742035865429287,10772993,3611
3,-0.031755674532345,0.023627469367098402,-0.07806551449185786,0.014554165427167864,10765705,3526
10,-0.048013938592934284,0.02372763064086811,-0.09452009464903578,-0.0015077825368327857,10762177,3468
17,-0.10434802845847958,0.024079181410410783,-0.15154322402288473,-0.05715283289407445,10758781,3277
24,-0.16021409161690153,0.024442559553414272,-0.20812150834159351,-0.11230667489220955,10755494,3098
31,-0.17456101560554582,0.024539692273161696,-0.22265881246094274,-0.1264632187501489,10752428,3053
38,-0.2184787066779837,0.024839451126065688,-0.26716403088507246,-0.16979338247089495,10749407,2921
45,-0.21036412858474446,0.024785554956540848,-0.25894381629956453,-0.16178444086992438,10746490,2944
52,-0.23659073504555,0.024968910128645452,-0.2855297988976951,-0.18765167119340492,10743520,2867
59,-0.2682200298287616,0.02519425826834612,-0.31760077603472,-0.2188392836228032,10740666,2777
66,-0.359140973295183,0.025867491935015877,-0.40984125748781414,-0.3084406891025519,10737910,2535
73,-0.3760139267307378,0.025998729403465877,-0.4269714363615309,-0.3250564170999447,10735386,2492
80,-0.5118455081465026,0.027100183293078332,-0.5649618674009362,-0.4587291488920691,10732967,2175
87,-0.519491129682777,0.027166925641005507,-0.5727383039391478,-0.4662439554264062,10730808,2158
94,-0.5267291047980438,0.02723055685521439,-0.580100996234264,-0.47335721336182357,10728620,2142
101,-0.5665366311305772,0.02757822443361209,-0.6205899510204569,-0.5124833112406975,10726498,2058
108,-0.568291955722322,0.027595375167014376,-0.6223788910496703,-0.5142050203949738,10724458,2054
115,-0.5932396435946643,0.027819074938140422,-0.6477650304734195,-0.5387142567159091,10722363,2003
122,-0.5955575137356064,0.027841521272804044,-0.6501268954303023,-0.5409881320409105,10720417,1998
