rel_bin,coef_log_hr,se,ci_lower,ci_upper,n_at_risk,n_deaths
-60,-2.2149849630633786e-05,1.0000000000000133,-1.9600221498496568,1.9599778501503955,677213,2
-53,-1.9196564702354356e-05,1.000000000000009,-1.96001919656472,1.9599808034353154,677211,2
-46,-22.656795779658076,35661.11570038724,-69918.44356853866,69873.12997697933,677209,0
-39,-1.476662093459194e-05,1.000000000000009,-1.9600147666209524,1.959985233379083,677208,2
-32,0.4054518181395103,0.9128709291752843,-1.3837752030440469,2.1946788393230676,677207,3
-25,-22.65678839635577,35661.11570077687,-69918.44356191902,69873.1299851263,677204,0
-18,-22.656788396442693,35661.11570128401,-69918.4435629131,69873.12998612021,677204,0
-11,0.9162818718754278,0.8366600265340811,-0.7235717801313712,2.5561355238822268,677204,5
3,-0.6931457038858625,1.2247448713915894,-3.0936456518133775,1.7073542440416527,677197,1
10,0.4054680614585181,0.9128709291752845,-1.3837589597250393,2.1946950826420757,677196,3
17,7.3833922449738886e-06,1.00000000000001,-1.9599926166077746,1.9600073833922644,677193,2
24,-0.6931368437955431,1.2247448713916846,-3.0936367917232452,1.7073631041321589,677191,1
31,0.40547839825345283,0.9128709291752853,-1.3837486229301064,2.194705419437012,677189,3
38,-0.6931309370250575,1.2247448713915199,-3.0936308849524363,1.7073690109023212,677187,1
45,0.6931663774931618,0.8660254037844466,-1.0042434139243535,2.390576168910677,677185,4
52,-22.656755909342024,35661.11570098906,-69918.4435298479,69873.13001802922,677182,0
59,-22.656755909341836,35661.11570096809,-69918.4435298068,69873.13001798812,677182,0
66,-22.656755909341808,35661.11570095541,-69918.44352978194,69873.13001796327,677182,0
73,0.6931708076070073,0.8660254037844468,-1.0042389838105084,2.3905805990245232,677182,4
80,3.101061375590886e-05,1.000000000000009,-1.9599689893862617,1.9600310106137737,677177,2
87,0.6931796678935751,0.866025403784446,-1.004230123523939,2.390589459311089,677176,4
94,0.6931855747949052,0.8660254037844464,-1.0042242166226096,2.3905953662124197,677172,4
101,-0.6931028793887704,1.224744871391599,-3.093602827316304,1.7073970685387634,677168,1
108,-0.6931014026492619,1.2247448713916,-3.093601350576798,1.707398545278274,677167,1
115,0.4055123627605379,0.9128709291752841,-1.3837146584230189,2.1947393839440945,677166,3
122,1.0986654503090438,0.8164965809277329,-0.5016678483093127,2.6989987489274005,677162,6
